"ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","query_id","query_symbol_count","query_mapped_symbol_count","query_entrez_count","background_symbol_count","background_mapped_symbol_count","background_entrez_count","clusterprofiler_pool","multiple_testing_scope"
"MF","GO:0046873","metal ion transmembrane transporter activity","13/210","38/1569",0.00076184178941454,0.0180843755913484,0.0153945942261333,"Cacna2d3/Cpox/Kcnd2/Kcns1/Pkd1/Trpv2/Trpm3/Kcnq5/Nalcn/Slc25a37/Kcnip4/Atp1a2/Kcnb2",13,"s10_phase_3",218,210,210,2000,1725,1725,TRUE,"one BH family across pooled BP+MF+CC terms per query"
"CC","GO:0043679","axon terminus","9/210","21/1569",0.000799795445760048,0.0188309561863504,0.0160301320836118,"Cdh1/Chrm3/Dbh/Prph/Snca/Ush2a/Kcnq5/Syt7/Nts",9,"s10_phase_3",218,210,210,2000,1725,1725,TRUE,"one BH family across pooled BP+MF+CC terms per query"
"BP","GO:0099537","trans-synaptic signaling","21/210","78/1569",0.000820513263380578,0.0191629549254045,0.0163127509578719,"Grm5/Car2/Cdh1/Chrm3/Epha7/Grm1/Lama2/Syt12/Mapt/Nefl/Nrg3/Nrxn1/Ntrk1/Rgs4/Snca/Gabrp/Dlg2/Mctp2/Il1rapl1/Nalcn/Syt7",21,"s10_phase_3",218,210,210,2000,1725,1725,TRUE,"one BH family across pooled BP+MF+CC terms per query"
"BP","GO:0055080","monoatomic cation homeostasis","14/210","43/1569",0.000842494786619737,0.019364007159133,0.016483899668032,"Tmem64/Alas2/Car2/Cyb561/Grm1/Mt1/Mt2/Slc4a1/Snca/Trf/Kel/Sgcd/Tmtc2/Atp1a2",14,"s10_phase_3",218,210,210,2000,1725,1725,TRUE,"one BH family across pooled BP+MF+CC terms per query"
"BP","GO:0007600","sensory perception","14/210","43/1569",0.000842494786619737,0.019364007159133,0.016483899668032,"Cdh1/Col11a1/Col11a2/Col1a1/Grm1/Jag2/Kcnd2/Ntrk1/Ush2a/Dlg2/Cntn5/Ptges/Piezo2/Myh14",14,"s10_phase_3",218,210,210,2000,1725,1725,TRUE,"one BH family across pooled BP+MF+CC terms per query"
"BP","GO:0023052","signaling","82/210","462/1569",0.000853822125876502,0.0194698336735303,0.0165739860655016,"Pcsk9/Tmem64/Itga9/Dennd3/Grm5/Afp/Ahsg/Alk/Car2/Runx2/Cdh1/Chrm3/Col3a1/Col1a1/Col1a2/Dbh/Dcn/Epha7/Fga/Gja1/Grm1/Igf2/Jag2/Krt19/Krt6a/Lama2/Lama5/Anxa1/Slc2a10/Il17rc/Syt12/Mog/Mpl/Mt1/Mt2/Mapt/Ppp1r15a/Nefl/Nrg3/Nrxn1/Ntrk1/Pkd1/Serpinf2/Prrx1/Ptprm/Itgb4/Rgs4/S100a9/Snca/Rbms3/Sema6d/Gabrp/Tgfbr3/Tle2/Trf/Trp63/Wnt6/Rhov/Dlg2/Sgcd/Olfml2a/Iqsec3/Mctp2/Arhgap20/Rbm47/Robo2/Ermap/Il1rapl1/Nalcn/Mafa/Flrt2/Rgs6/Syt7/Pde3a/Sfn/Htra1/Srpk3/Il1rapl2/Perp/Ptges/Nts/C1qtnf2",82,"s10_phase_3",218,210,210,2000,1725,1725,TRUE,"one BH family across pooled BP+MF+CC terms per query"
"CC","GO:0032991","protein-containing complex","73/210","402/1569",0.000970295764647719,0.0219529416751546,0.0186877687566197,"Pcsk9/Itga9/Acta1/Ahsg/Alb/Alk/Cacna2d3/Runx2/Cdh1/Col11a1/Col11a2/Col3a1/Col1a1/Col1a2/Dcn/Dpp6/Fga/Gja1/Grm1/Gypa/Hba-a1/Kcnd2/Kcns1/Krt19/Lama2/Lama3/Lama5/Anxa1/Matn2/Mapt/Ppp1r15a/Myh11/Myh3/Myh8/Mylpf/Nrxn1/Ntrk1/Pax1/Pkd1/Serpinf2/Itgb4/Rgs4/Slc4a1/Snca/Rbms3/Esrp1/Stfa1/Gabrp/Tgfbr3/Tle2/Tnni2/Tnnt3/Trf/Trp63/Ush2a/Ranbp3l/Kcnq5/Sgcd/Bnc2/Lrrtm4/Sgcz/Rbm47/Brpf3/Cdh18/Rgs6/Pkp3/Col6a4/C1qtnf2/Epn3/Myh14/Kcnip4/Atp1a2/Kcnb2",73,"s10_phase_3",218,210,210,2000,1725,1725,TRUE,"one BH family across pooled BP+MF+CC terms per query"
"BP","GO:0040012","regulation of locomotion","23/210","90/1569",0.0010268259965899,0.0230518456288709,0.0196232271237335,"Mylk/Krt5/Cdh1/Col3a1/Col1a1/Dcn/Fga/Igf2/Lama2/Lama3/Lama5/Anxa1/Nrg3/Ptprm/Snca/Sparc/Sema6d/Tgfbr3/Trf/Robo2/Flrt2/Tacstd2/Cxcl14",23,"s10_phase_3",218,210,210,2000,1725,1725,TRUE,"one BH family across pooled BP+MF+CC terms per query"
"CC","GO:0031594","neuromuscular junction","7/210","14/1569",0.00104350581556391,0.0232460987836391,0.0197885880166047,"Epha7/Lama2/Lama5/Nefl/Nefm/Nrxn1/Dlg2",7,"s10_phase_3",218,210,210,2000,1725,1725,TRUE,"one BH family across pooled BP+MF+CC terms per query"
"BP","GO:0007166","cell surface receptor signaling pathway","48/210","239/1569",0.00107155192048213,0.0236886592497423,0.0201653242086713,"Tmem64/Itga9/Grm5/Afp/Ahsg/Alk/Runx2/Cdh1/Col3a1/Col1a1/Col1a2/Dbh/Dcn/Epha7/Fga/Grm1/Igf2/Jag2/Krt19/Krt6a/Lama2/Lama5/Anxa1/Slc2a10/Il17rc/Mog/Mpl/Nrg3/Nrxn1/Ntrk1/Pkd1/Prrx1/Itgb4/Rgs4/Snca/Rbms3/Sema6d/Tgfbr3/Tle2/Trf/Trp63/Wnt6/Rbm47/Robo2/Ermap/Flrt2/Htra1/Perp",48,"s10_phase_3",218,210,210,2000,1725,1725,TRUE,"one BH family across pooled BP+MF+CC terms per query"
