time,pair_id,ligand,receptor,pair,sender_type,receiver_type,ligand_mean,receptor_mean,communication_weight,lr_score,sender_expression_supported,receiver_expression_supported,expression_supported_edge,expression_source
0.0,"[""Wnt3a"",""Fzd7_Lrp6""]",Wnt3a,Fzd7_Lrp6,Wnt3a_Fzd7_Lrp6,Cartilage primordium,Kidney,0.0023204274475574493,0.22017186880111694,0.0036744710535054,1.8772609797511999e-06,True,True,True,observed
0.0,"[""Wnt3a"",""Fzd7_Lrp6""]",Wnt3a,Fzd7_Lrp6,Wnt3a_Fzd7_Lrp6,Cartilage primordium,Liver,0.0023204274475574493,0.044163767248392105,0.013295910468868,1.3625491852370147e-06,True,True,True,observed
0.0,"[""Wnt3a"",""Fzd7_Lrp6""]",Wnt3a,Fzd7_Lrp6,Wnt3a_Fzd7_Lrp6,Cartilage primordium,Lung primordium,0.0023204274475574493,0.2471616268157959,0.0,0.0,True,True,True,observed
0.0,"[""Wnt3a"",""Fzd7_Lrp6""]",Wnt3a,Fzd7_Lrp6,Wnt3a_Fzd7_Lrp6,Cartilage primordium,Meninges,0.0023204274475574493,0.09415308386087418,1.0293936785300355,0.000224897195739122,True,True,True,observed
0.0,"[""Wnt3a"",""Fzd7_Lrp6""]",Wnt3a,Fzd7_Lrp6,Wnt3a_Fzd7_Lrp6,Cartilage primordium,Mesentery,0.0023204274475574493,0.1379539668560028,0.0038957129707128,1.2470651373960986e-06,True,True,True,observed
0.0,"[""Wnt3a"",""Fzd7_Lrp6""]",Wnt3a,Fzd7_Lrp6,Wnt3a_Fzd7_Lrp6,Cartilage primordium,Mesothelium,0.0023204274475574493,0.20694556832313538,0.0127760160196704,6.13507070459375e-06,True,True,True,observed
0.0,"[""Wnt3a"",""Fzd7_Lrp6""]",Wnt3a,Fzd7_Lrp6,Wnt3a_Fzd7_Lrp6,Cartilage primordium,Mucosal epithelium,0.0023204274475574493,0.16626812517642975,0.5716673476657036,0.00022055676375580362,True,True,True,observed
0.0,"[""Wnt3a"",""Fzd7_Lrp6""]",Wnt3a,Fzd7_Lrp6,Wnt3a_Fzd7_Lrp6,Cartilage primordium,Muscle,0.0023204274475574493,0.183630108833313,7.833031042273753,0.003337657227431088,True,True,True,observed
0.0,"[""Wnt3a"",""Fzd7_Lrp6""]",Wnt3a,Fzd7_Lrp6,Wnt3a_Fzd7_Lrp6,Cartilage primordium,Ovary,0.0023204274475574493,0.09168989211320877,0.0,0.0,True,True,True,observed
0.0,"[""Wnt3a"",""Fzd7_Lrp6""]",Wnt3a,Fzd7_Lrp6,Wnt3a_Fzd7_Lrp6,Cartilage primordium,Pancreas,0.0023204274475574493,0.4485943019390106,0.0,0.0,True,True,True,observed
0.0,"[""Wnt3a"",""Fzd7_Lrp6""]",Wnt3a,Fzd7_Lrp6,Wnt3a_Fzd7_Lrp6,Cartilage primordium,Sympathetic nerve,0.0023204274475574493,0.09011421352624893,0.0123179512874956,2.5757266590665073e-06,True,True,True,observed
0.0,"[""Wnt3a"",""Fzd7_Lrp6""]",Wnt3a,Fzd7_Lrp6,Wnt3a_Fzd7_Lrp6,Cartilage primordium,Urogenital ridge,0.0023204274475574493,0.22845786809921265,0.3837754539313043,0.0002034470082339609,True,True,True,observed
0.0,"[""Wnt3a"",""Fzd7_Lrp6""]",Wnt3a,Fzd7_Lrp6,Wnt3a_Fzd7_Lrp6,Cavity,Blood vessel,0.006966204848140478,0.17154569923877716,0.4791453686851936,0.0005725894875883414,True,True,True,observed
