variant,metric,time,mean,sem,n
remove_EVL,w1,2.5500000000000003,0.2051373332787857,0.0170120572001701,5
remove_EVL,w1,2.6,0.2049195108007757,0.0155971427055096,5
remove_EVL,w1,2.6500000000000004,0.1996897707905393,0.012516407139407,5
remove_EVL,w1,2.7,0.1961670754116115,0.0174133448793931,5
remove_EVL,w1,2.75,0.2084714504954933,0.0110484659614563,5
remove_EVL,w1,2.8000000000000003,0.2023306913861282,0.0138128569235184,5
remove_EVL,w1,2.85,0.207971481419577,0.0138104143049106,5
remove_EVL,w1,2.9000000000000004,0.2062154997825845,0.014082160727871,5
remove_EVL,w1,2.95,0.2066015167650574,0.0136054024494533,5
remove_EVL,w1,3.0,0.1941441349694272,0.0100787894989308,5
remove_EVL,w1,3.0500000000000003,0.1959610771856244,0.0108606090184188,5
remove_EVL,w1,3.1,0.1960214016360586,0.0191930201673196,5
remove_EVL,w1,3.1500000000000004,0.1915064345412396,0.0159935786667538,5
remove_EVL,w1,3.2,0.2072188849983525,0.0125474308995095,5
remove_EVL,w1,3.25,0.2188838792103097,0.0160534215603198,5
remove_EVL,w1,3.3000000000000003,0.2144196810242495,0.0143334085354845,5
remove_EVL,w1,3.35,0.2128520891426026,0.0170587881247557,5
remove_EVL,w1,3.4000000000000004,0.2022877388649155,0.0165371343628911,5
remove_EVL,w1,3.45,0.2229946032145313,0.0133755134838599,5
remove_EVL,w1,3.5,0.1965097907735612,0.0150350175214714,5
remove_EVL,w1,3.5500000000000003,0.2157070082087666,0.0128784209976698,5
remove_EVL,w1,3.6,0.2304128531192869,0.0110246087438764,5
remove_EVL,w1,3.65,0.2180664987408183,0.0100956769668874,5
remove_EVL,w1,3.7,0.2132501880104492,0.009403088404871,5
remove_EVL,w1,3.75,0.2190080622720027,0.0131471947390651,5
remove_EVL,w1,3.8,0.22252516018263,0.0248671506968498,5
remove_EVL,w1,3.85,0.2295159177436684,0.0122968950769728,5
remove_EVL,w1,3.9,0.2460400358581577,0.0202872812674495,5
remove_EVL,w1,3.95,0.2407273005403863,0.0248026942729085,5
remove_EVL,w1,4.0,0.2386651595268593,0.0217935753387784,5
