profile,pair_id,ligand,receptor,cluster
Col4a3_Itga1_Itgb1,"[""Col4a3"",""Itga1_Itgb1""]",Col4a3,Itga1_Itgb1,1
Col4a3_Itga2_Itgb1,"[""Col4a3"",""Itga2_Itgb1""]",Col4a3,Itga2_Itgb1,1
Col4a3_Itga3_Itgb1,"[""Col4a3"",""Itga3_Itgb1""]",Col4a3,Itga3_Itgb1,1
Col4a3_Itga9_Itgb1,"[""Col4a3"",""Itga9_Itgb1""]",Col4a3,Itga9_Itgb1,1
Col4a3_Itgav_Itgb8,"[""Col4a3"",""Itgav_Itgb8""]",Col4a3,Itgav_Itgb8,1
Col4a3_Sdc1,"[""Col4a3"",""Sdc1""]",Col4a3,Sdc1,1
Col4a3_Sdc4,"[""Col4a3"",""Sdc4""]",Col4a3,Sdc4,1
Col4a4_Cd44,"[""Col4a4"",""Cd44""]",Col4a4,Cd44,2
Col4a4_Gp6,"[""Col4a4"",""Gp6""]",Col4a4,Gp6,1
Col4a4_Itga10_Itgb1,"[""Col4a4"",""Itga10_Itgb1""]",Col4a4,Itga10_Itgb1,1
Col4a4_Itga11_Itgb1,"[""Col4a4"",""Itga11_Itgb1""]",Col4a4,Itga11_Itgb1,1
Col4a4_Itga1_Itgb1,"[""Col4a4"",""Itga1_Itgb1""]",Col4a4,Itga1_Itgb1,1
Col4a4_Itga2_Itgb1,"[""Col4a4"",""Itga2_Itgb1""]",Col4a4,Itga2_Itgb1,1
Col4a4_Itga3_Itgb1,"[""Col4a4"",""Itga3_Itgb1""]",Col4a4,Itga3_Itgb1,1
Col4a4_Itga9_Itgb1,"[""Col4a4"",""Itga9_Itgb1""]",Col4a4,Itga9_Itgb1,1
Col4a4_Itgav_Itgb8,"[""Col4a4"",""Itgav_Itgb8""]",Col4a4,Itgav_Itgb8,1
Col4a4_Sdc1,"[""Col4a4"",""Sdc1""]",Col4a4,Sdc1,1
Col4a4_Sdc4,"[""Col4a4"",""Sdc4""]",Col4a4,Sdc4,1
Col4a5_Cd44,"[""Col4a5"",""Cd44""]",Col4a5,Cd44,1
Col4a5_Gp6,"[""Col4a5"",""Gp6""]",Col4a5,Gp6,1
Col4a5_Itga10_Itgb1,"[""Col4a5"",""Itga10_Itgb1""]",Col4a5,Itga10_Itgb1,1
Col4a5_Itga11_Itgb1,"[""Col4a5"",""Itga11_Itgb1""]",Col4a5,Itga11_Itgb1,1
Col4a5_Itga1_Itgb1,"[""Col4a5"",""Itga1_Itgb1""]",Col4a5,Itga1_Itgb1,1
Col4a5_Itga2_Itgb1,"[""Col4a5"",""Itga2_Itgb1""]",Col4a5,Itga2_Itgb1,1
Col4a5_Itga3_Itgb1,"[""Col4a5"",""Itga3_Itgb1""]",Col4a5,Itga3_Itgb1,1
Col4a5_Itga9_Itgb1,"[""Col4a5"",""Itga9_Itgb1""]",Col4a5,Itga9_Itgb1,1
Col4a5_Itgav_Itgb8,"[""Col4a5"",""Itgav_Itgb8""]",Col4a5,Itgav_Itgb8,1
Col4a5_Sdc1,"[""Col4a5"",""Sdc1""]",Col4a5,Sdc1,1
Col4a5_Sdc4,"[""Col4a5"",""Sdc4""]",Col4a5,Sdc4,1
Col4a6_Cd44,"[""Col4a6"",""Cd44""]",Col4a6,Cd44,2
Col4a6_Gp6,"[""Col4a6"",""Gp6""]",Col4a6,Gp6,1
Col4a6_Itga10_Itgb1,"[""Col4a6"",""Itga10_Itgb1""]",Col4a6,Itga10_Itgb1,1
Col4a6_Itga11_Itgb1,"[""Col4a6"",""Itga11_Itgb1""]",Col4a6,Itga11_Itgb1,1
Col4a6_Itga1_Itgb1,"[""Col4a6"",""Itga1_Itgb1""]",Col4a6,Itga1_Itgb1,1
Col4a6_Itga2_Itgb1,"[""Col4a6"",""Itga2_Itgb1""]",Col4a6,Itga2_Itgb1,1
Col4a6_Itga3_Itgb1,"[""Col4a6"",""Itga3_Itgb1""]",Col4a6,Itga3_Itgb1,1
Col4a6_Itga9_Itgb1,"[""Col4a6"",""Itga9_Itgb1""]",Col4a6,Itga9_Itgb1,1
Col4a6_Itgav_Itgb8,"[""Col4a6"",""Itgav_Itgb8""]",Col4a6,Itgav_Itgb8,1
Col4a6_Sdc1,"[""Col4a6"",""Sdc1""]",Col4a6,Sdc1,1
Col4a6_Sdc4,"[""Col4a6"",""Sdc4""]",Col4a6,Sdc4,1
Col6a1_Cd44,"[""Col6a1"",""Cd44""]",Col6a1,Cd44,3
Col6a1_Gp6,"[""Col6a1"",""Gp6""]",Col6a1,Gp6,1
Col6a1_Itga10_Itgb1,"[""Col6a1"",""Itga10_Itgb1""]",Col6a1,Itga10_Itgb1,1
Col6a1_Itga11_Itgb1,"[""Col6a1"",""Itga11_Itgb1""]",Col6a1,Itga11_Itgb1,1
Col6a1_Itga1_Itgb1,"[""Col6a1"",""Itga1_Itgb1""]",Col6a1,Itga1_Itgb1,1
Col6a1_Itga2_Itgb1,"[""Col6a1"",""Itga2_Itgb1""]",Col6a1,Itga2_Itgb1,1
Col6a1_Itga3_Itgb1,"[""Col6a1"",""Itga3_Itgb1""]",Col6a1,Itga3_Itgb1,1
Col6a1_Itga9_Itgb1,"[""Col6a1"",""Itga9_Itgb1""]",Col6a1,Itga9_Itgb1,1
Col6a1_Itgav_Itgb8,"[""Col6a1"",""Itgav_Itgb8""]",Col6a1,Itgav_Itgb8,1
Col6a1_Sdc1,"[""Col6a1"",""Sdc1""]",Col6a1,Sdc1,1
Col6a1_Sdc4,"[""Col6a1"",""Sdc4""]",Col6a1,Sdc4,1
Col6a2_Cd44,"[""Col6a2"",""Cd44""]",Col6a2,Cd44,3
Col6a2_Gp6,"[""Col6a2"",""Gp6""]",Col6a2,Gp6,1
Col6a2_Itga10_Itgb1,"[""Col6a2"",""Itga10_Itgb1""]",Col6a2,Itga10_Itgb1,1
Col6a2_Itga11_Itgb1,"[""Col6a2"",""Itga11_Itgb1""]",Col6a2,Itga11_Itgb1,1
Col6a2_Itga1_Itgb1,"[""Col6a2"",""Itga1_Itgb1""]",Col6a2,Itga1_Itgb1,1
Col6a2_Itga2_Itgb1,"[""Col6a2"",""Itga2_Itgb1""]",Col6a2,Itga2_Itgb1,1
Col6a2_Itga3_Itgb1,"[""Col6a2"",""Itga3_Itgb1""]",Col6a2,Itga3_Itgb1,1
Col6a2_Itga9_Itgb1,"[""Col6a2"",""Itga9_Itgb1""]",Col6a2,Itga9_Itgb1,1
Col6a2_Itgav_Itgb8,"[""Col6a2"",""Itgav_Itgb8""]",Col6a2,Itgav_Itgb8,1
Col6a2_Sdc1,"[""Col6a2"",""Sdc1""]",Col6a2,Sdc1,1
Col6a2_Sdc4,"[""Col6a2"",""Sdc4""]",Col6a2,Sdc4,1
Col6a3_Cd44,"[""Col6a3"",""Cd44""]",Col6a3,Cd44,2
Col6a3_Gp6,"[""Col6a3"",""Gp6""]",Col6a3,Gp6,1
Col6a3_Itga10_Itgb1,"[""Col6a3"",""Itga10_Itgb1""]",Col6a3,Itga10_Itgb1,1
Col6a3_Itga11_Itgb1,"[""Col6a3"",""Itga11_Itgb1""]",Col6a3,Itga11_Itgb1,1
Col6a3_Itga1_Itgb1,"[""Col6a3"",""Itga1_Itgb1""]",Col6a3,Itga1_Itgb1,1
Col6a3_Itga2_Itgb1,"[""Col6a3"",""Itga2_Itgb1""]",Col6a3,Itga2_Itgb1,1
Col6a3_Itga3_Itgb1,"[""Col6a3"",""Itga3_Itgb1""]",Col6a3,Itga3_Itgb1,1
Col6a3_Itga9_Itgb1,"[""Col6a3"",""Itga9_Itgb1""]",Col6a3,Itga9_Itgb1,1
Col6a3_Itgav_Itgb8,"[""Col6a3"",""Itgav_Itgb8""]",Col6a3,Itgav_Itgb8,1
Col6a3_Sdc1,"[""Col6a3"",""Sdc1""]",Col6a3,Sdc1,1
Col6a3_Sdc4,"[""Col6a3"",""Sdc4""]",Col6a3,Sdc4,1
Col6a4_Cd44,"[""Col6a4"",""Cd44""]",Col6a4,Cd44,3
Col6a4_Gp6,"[""Col6a4"",""Gp6""]",Col6a4,Gp6,1
Col6a4_Itga10_Itgb1,"[""Col6a4"",""Itga10_Itgb1""]",Col6a4,Itga10_Itgb1,1
Col6a4_Itga11_Itgb1,"[""Col6a4"",""Itga11_Itgb1""]",Col6a4,Itga11_Itgb1,1
Col6a4_Itga1_Itgb1,"[""Col6a4"",""Itga1_Itgb1""]",Col6a4,Itga1_Itgb1,1
Col6a4_Itga2_Itgb1,"[""Col6a4"",""Itga2_Itgb1""]",Col6a4,Itga2_Itgb1,1
Col6a4_Itga3_Itgb1,"[""Col6a4"",""Itga3_Itgb1""]",Col6a4,Itga3_Itgb1,1
Col6a4_Itga9_Itgb1,"[""Col6a4"",""Itga9_Itgb1""]",Col6a4,Itga9_Itgb1,1
Col6a4_Itgav_Itgb8,"[""Col6a4"",""Itgav_Itgb8""]",Col6a4,Itgav_Itgb8,1
Col6a4_Sdc1,"[""Col6a4"",""Sdc1""]",Col6a4,Sdc1,1
Col6a4_Sdc4,"[""Col6a4"",""Sdc4""]",Col6a4,Sdc4,1
Col6a5_Cd44,"[""Col6a5"",""Cd44""]",Col6a5,Cd44,2
Col6a5_Gp6,"[""Col6a5"",""Gp6""]",Col6a5,Gp6,1
Col6a5_Itga10_Itgb1,"[""Col6a5"",""Itga10_Itgb1""]",Col6a5,Itga10_Itgb1,1
Col6a5_Itga11_Itgb1,"[""Col6a5"",""Itga11_Itgb1""]",Col6a5,Itga11_Itgb1,1
Col6a5_Itga1_Itgb1,"[""Col6a5"",""Itga1_Itgb1""]",Col6a5,Itga1_Itgb1,1
Col6a5_Itga2_Itgb1,"[""Col6a5"",""Itga2_Itgb1""]",Col6a5,Itga2_Itgb1,1
Col6a5_Itga3_Itgb1,"[""Col6a5"",""Itga3_Itgb1""]",Col6a5,Itga3_Itgb1,1
Col6a5_Itga9_Itgb1,"[""Col6a5"",""Itga9_Itgb1""]",Col6a5,Itga9_Itgb1,1
Col6a5_Itgav_Itgb8,"[""Col6a5"",""Itgav_Itgb8""]",Col6a5,Itgav_Itgb8,1
Col6a5_Sdc1,"[""Col6a5"",""Sdc1""]",Col6a5,Sdc1,1
Col6a5_Sdc4,"[""Col6a5"",""Sdc4""]",Col6a5,Sdc4,1
Col6a6_Cd44,"[""Col6a6"",""Cd44""]",Col6a6,Cd44,2
Col6a6_Gp6,"[""Col6a6"",""Gp6""]",Col6a6,Gp6,1
Col6a6_Itga10_Itgb1,"[""Col6a6"",""Itga10_Itgb1""]",Col6a6,Itga10_Itgb1,1
Col6a6_Itga11_Itgb1,"[""Col6a6"",""Itga11_Itgb1""]",Col6a6,Itga11_Itgb1,1
Col6a6_Itga1_Itgb1,"[""Col6a6"",""Itga1_Itgb1""]",Col6a6,Itga1_Itgb1,1
Col6a6_Itga2_Itgb1,"[""Col6a6"",""Itga2_Itgb1""]",Col6a6,Itga2_Itgb1,1
Col6a6_Itga3_Itgb1,"[""Col6a6"",""Itga3_Itgb1""]",Col6a6,Itga3_Itgb1,1
Col6a6_Itga9_Itgb1,"[""Col6a6"",""Itga9_Itgb1""]",Col6a6,Itga9_Itgb1,1
Col6a6_Itgav_Itgb8,"[""Col6a6"",""Itgav_Itgb8""]",Col6a6,Itgav_Itgb8,1
Col6a6_Sdc1,"[""Col6a6"",""Sdc1""]",Col6a6,Sdc1,1
Col6a6_Sdc4,"[""Col6a6"",""Sdc4""]",Col6a6,Sdc4,1
Col9a1_Cd44,"[""Col9a1"",""Cd44""]",Col9a1,Cd44,1
Col9a1_Gp6,"[""Col9a1"",""Gp6""]",Col9a1,Gp6,1
Col9a1_Itga10_Itgb1,"[""Col9a1"",""Itga10_Itgb1""]",Col9a1,Itga10_Itgb1,1
Col9a1_Itga11_Itgb1,"[""Col9a1"",""Itga11_Itgb1""]",Col9a1,Itga11_Itgb1,1
Col9a1_Itga1_Itgb1,"[""Col9a1"",""Itga1_Itgb1""]",Col9a1,Itga1_Itgb1,1
Col9a1_Itga2_Itgb1,"[""Col9a1"",""Itga2_Itgb1""]",Col9a1,Itga2_Itgb1,1
Col9a1_Itga3_Itgb1,"[""Col9a1"",""Itga3_Itgb1""]",Col9a1,Itga3_Itgb1,1
Col9a1_Itga9_Itgb1,"[""Col9a1"",""Itga9_Itgb1""]",Col9a1,Itga9_Itgb1,1
Col9a1_Itgav_Itgb8,"[""Col9a1"",""Itgav_Itgb8""]",Col9a1,Itgav_Itgb8,1
Col9a1_Sdc1,"[""Col9a1"",""Sdc1""]",Col9a1,Sdc1,1
Col9a1_Sdc4,"[""Col9a1"",""Sdc4""]",Col9a1,Sdc4,1
Col9a2_Cd44,"[""Col9a2"",""Cd44""]",Col9a2,Cd44,2
Col9a2_Gp6,"[""Col9a2"",""Gp6""]",Col9a2,Gp6,1
Col9a2_Itga10_Itgb1,"[""Col9a2"",""Itga10_Itgb1""]",Col9a2,Itga10_Itgb1,1
Col9a2_Itga11_Itgb1,"[""Col9a2"",""Itga11_Itgb1""]",Col9a2,Itga11_Itgb1,1
Col9a2_Itga1_Itgb1,"[""Col9a2"",""Itga1_Itgb1""]",Col9a2,Itga1_Itgb1,1
Col9a2_Itga2_Itgb1,"[""Col9a2"",""Itga2_Itgb1""]",Col9a2,Itga2_Itgb1,1
Col9a2_Itga3_Itgb1,"[""Col9a2"",""Itga3_Itgb1""]",Col9a2,Itga3_Itgb1,1
Col9a2_Itga9_Itgb1,"[""Col9a2"",""Itga9_Itgb1""]",Col9a2,Itga9_Itgb1,1
Col9a2_Itgav_Itgb8,"[""Col9a2"",""Itgav_Itgb8""]",Col9a2,Itgav_Itgb8,1
Col9a2_Sdc1,"[""Col9a2"",""Sdc1""]",Col9a2,Sdc1,1
Col9a2_Sdc4,"[""Col9a2"",""Sdc4""]",Col9a2,Sdc4,1
Col9a3_Cd44,"[""Col9a3"",""Cd44""]",Col9a3,Cd44,2
Col9a3_Gp6,"[""Col9a3"",""Gp6""]",Col9a3,Gp6,1
Col9a3_Itga10_Itgb1,"[""Col9a3"",""Itga10_Itgb1""]",Col9a3,Itga10_Itgb1,1
Col9a3_Itga11_Itgb1,"[""Col9a3"",""Itga11_Itgb1""]",Col9a3,Itga11_Itgb1,1
Col9a3_Itga1_Itgb1,"[""Col9a3"",""Itga1_Itgb1""]",Col9a3,Itga1_Itgb1,1
Col9a3_Itga2_Itgb1,"[""Col9a3"",""Itga2_Itgb1""]",Col9a3,Itga2_Itgb1,1
Col9a3_Itga3_Itgb1,"[""Col9a3"",""Itga3_Itgb1""]",Col9a3,Itga3_Itgb1,1
Col9a3_Itga9_Itgb1,"[""Col9a3"",""Itga9_Itgb1""]",Col9a3,Itga9_Itgb1,1
Col9a3_Itgav_Itgb8,"[""Col9a3"",""Itgav_Itgb8""]",Col9a3,Itgav_Itgb8,1
Col9a3_Sdc1,"[""Col9a3"",""Sdc1""]",Col9a3,Sdc1,1
Col9a3_Sdc4,"[""Col9a3"",""Sdc4""]",Col9a3,Sdc4,1
Comp_Cd36,"[""Comp"",""Cd36""]",Comp,Cd36,1
Comp_Cd47,"[""Comp"",""Cd47""]",Comp,Cd47,1
Comp_Itga3_Itgb1,"[""Comp"",""Itga3_Itgb1""]",Comp,Itga3_Itgb1,1
Comp_Itgav_Itgb3,"[""Comp"",""Itgav_Itgb3""]",Comp,Itgav_Itgb3,1
Comp_Sdc1,"[""Comp"",""Sdc1""]",Comp,Sdc1,1
Comp_Sdc4,"[""Comp"",""Sdc4""]",Comp,Sdc4,1
Cort_Sstr1,"[""Cort"",""Sstr1""]",Cort,Sstr1,1
Cort_Sstr2,"[""Cort"",""Sstr2""]",Cort,Sstr2,1
Cort_Sstr3,"[""Cort"",""Sstr3""]",Cort,Sstr3,1
Cort_Sstr4,"[""Cort"",""Sstr4""]",Cort,Sstr4,1
Cort_Sstr5,"[""Cort"",""Sstr5""]",Cort,Sstr5,1
Crh_Crhr1,"[""Crh"",""Crhr1""]",Crh,Crhr1,2
Crh_Crhr2,"[""Crh"",""Crhr2""]",Crh,Crhr2,1
Csf1_Csf1r,"[""Csf1"",""Csf1r""]",Csf1,Csf1r,1
Cspg4_Itga3_Itgb1,"[""Cspg4"",""Itga3_Itgb1""]",Cspg4,Itga3_Itgb1,1
Ctf1_Lifr_Il6st,"[""Ctf1"",""Lifr_Il6st""]",Ctf1,Lifr_Il6st,1
Cx3cl1_Cx3cr1,"[""Cx3cl1"",""Cx3cr1""]",Cx3cl1,Cx3cr1,1
Cxcl1_Ackr1,"[""Cxcl1"",""Ackr1""]",Cxcl1,Ackr1,2
Cxcl1_Cxcr2,"[""Cxcl1"",""Cxcr2""]",Cxcl1,Cxcr2,1
Cxcl10_Ackr1,"[""Cxcl10"",""Ackr1""]",Cxcl10,Ackr1,2
Cxcl12_Ackr3,"[""Cxcl12"",""Ackr3""]",Cxcl12,Ackr3,1
Cxcl12_Cxcr4,"[""Cxcl12"",""Cxcr4""]",Cxcl12,Cxcr4,1
Cxcl13_Ackr1,"[""Cxcl13"",""Ackr1""]",Cxcl13,Ackr1,2
Cxcl13_Cxcr5,"[""Cxcl13"",""Cxcr5""]",Cxcl13,Cxcr5,1
Cxcl16_Cxcr6,"[""Cxcl16"",""Cxcr6""]",Cxcl16,Cxcr6,1
Cxcl2_Ackr1,"[""Cxcl2"",""Ackr1""]",Cxcl2,Ackr1,2
Cxcl2_Cxcr2,"[""Cxcl2"",""Cxcr2""]",Cxcl2,Cxcr2,1
Cxcl3_Ackr1,"[""Cxcl3"",""Ackr1""]",Cxcl3,Ackr1,1
Cxcl3_Cxcr2,"[""Cxcl3"",""Cxcr2""]",Cxcl3,Cxcr2,1
Cxcl5_Ackr1,"[""Cxcl5"",""Ackr1""]",Cxcl5,Ackr1,2
Cxcl5_Cxcr2,"[""Cxcl5"",""Cxcr2""]",Cxcl5,Cxcr2,1
Dhh_Ptch1_Smo,"[""Dhh"",""Ptch1_Smo""]",Dhh,Ptch1_Smo,1
Dhh_Ptch2_Smo,"[""Dhh"",""Ptch2_Smo""]",Dhh,Ptch2_Smo,1
Dlk1_Notch1,"[""Dlk1"",""Notch1""]",Dlk1,Notch1,1
Dlk1_Notch2,"[""Dlk1"",""Notch2""]",Dlk1,Notch2,1
Dlk1_Notch3,"[""Dlk1"",""Notch3""]",Dlk1,Notch3,1
Dlk1_Notch4,"[""Dlk1"",""Notch4""]",Dlk1,Notch4,1
Dll1_Notch1,"[""Dll1"",""Notch1""]",Dll1,Notch1,1
Dll1_Notch2,"[""Dll1"",""Notch2""]",Dll1,Notch2,1
Dll1_Notch3,"[""Dll1"",""Notch3""]",Dll1,Notch3,1
Dll1_Notch4,"[""Dll1"",""Notch4""]",Dll1,Notch4,1
Dll3_Notch1,"[""Dll3"",""Notch1""]",Dll3,Notch1,1
Dll3_Notch2,"[""Dll3"",""Notch2""]",Dll3,Notch2,1
Dll3_Notch3,"[""Dll3"",""Notch3""]",Dll3,Notch3,1
Dll3_Notch4,"[""Dll3"",""Notch4""]",Dll3,Notch4,1
Dll4_Notch1,"[""Dll4"",""Notch1""]",Dll4,Notch1,1
Dll4_Notch2,"[""Dll4"",""Notch2""]",Dll4,Notch2,1
Dll4_Notch3,"[""Dll4"",""Notch3""]",Dll4,Notch3,1
Dll4_Notch4,"[""Dll4"",""Notch4""]",Dll4,Notch4,1
Dmp1_Itgav_Itgb3,"[""Dmp1"",""Itgav_Itgb3""]",Dmp1,Itgav_Itgb3,1
Dsc2_Dsg1c,"[""Dsc2"",""Dsg1c""]",Dsc2,Dsg1c,1
Dsc2_Dsg2,"[""Dsc2"",""Dsg2""]",Dsc2,Dsg2,1
Dsg1c_Dsc3,"[""Dsg1c"",""Dsc3""]",Dsg1c,Dsc3,1
Dsg2_Dsc3,"[""Dsg2"",""Dsc3""]",Dsg2,Dsc3,1
Dspp_Itgav_Itgb1,"[""Dspp"",""Itgav_Itgb1""]",Dspp,Itgav_Itgb1,1
Dspp_Itgav_Itgb6,"[""Dspp"",""Itgav_Itgb6""]",Dspp,Itgav_Itgb6,1
Eda_Eda2r,"[""Eda"",""Eda2r""]",Eda,Eda2r,1
Eda_Edar,"[""Eda"",""Edar""]",Eda,Edar,1
Edn1_Ednra,"[""Edn1"",""Ednra""]",Edn1,Ednra,1
Edn1_Ednrb,"[""Edn1"",""Ednrb""]",Edn1,Ednrb,1
Edn2_Ednra,"[""Edn2"",""Ednra""]",Edn2,Ednra,1
Edn2_Ednrb,"[""Edn2"",""Ednrb""]",Edn2,Ednrb,1
Edn3_Ednra,"[""Edn3"",""Ednra""]",Edn3,Ednra,1
Edn3_Ednrb,"[""Edn3"",""Ednrb""]",Edn3,Ednrb,1
Efna1_Epha1,"[""Efna1"",""Epha1""]",Efna1,Epha1,1
Efna1_Epha2,"[""Efna1"",""Epha2""]",Efna1,Epha2,1
Efna1_Epha3,"[""Efna1"",""Epha3""]",Efna1,Epha3,1
Efna1_Epha4,"[""Efna1"",""Epha4""]",Efna1,Epha4,1
Efna1_Epha5,"[""Efna1"",""Epha5""]",Efna1,Epha5,1
Efna1_Epha7,"[""Efna1"",""Epha7""]",Efna1,Epha7,1
Efna1_Epha8,"[""Efna1"",""Epha8""]",Efna1,Epha8,1
Efna2_Epha1,"[""Efna2"",""Epha1""]",Efna2,Epha1,1
Efna2_Epha2,"[""Efna2"",""Epha2""]",Efna2,Epha2,1
Efna2_Epha3,"[""Efna2"",""Epha3""]",Efna2,Epha3,1
Efna2_Epha4,"[""Efna2"",""Epha4""]",Efna2,Epha4,1
Efna2_Epha5,"[""Efna2"",""Epha5""]",Efna2,Epha5,1
Efna2_Epha7,"[""Efna2"",""Epha7""]",Efna2,Epha7,1
Efna2_Epha8,"[""Efna2"",""Epha8""]",Efna2,Epha8,1
Efna3_Epha1,"[""Efna3"",""Epha1""]",Efna3,Epha1,1
Efna3_Epha2,"[""Efna3"",""Epha2""]",Efna3,Epha2,1
Efna3_Epha3,"[""Efna3"",""Epha3""]",Efna3,Epha3,1
Efna3_Epha4,"[""Efna3"",""Epha4""]",Efna3,Epha4,1
Efna3_Epha5,"[""Efna3"",""Epha5""]",Efna3,Epha5,1
Efna3_Epha7,"[""Efna3"",""Epha7""]",Efna3,Epha7,1
Efna3_Epha8,"[""Efna3"",""Epha8""]",Efna3,Epha8,2
Efna4_Epha1,"[""Efna4"",""Epha1""]",Efna4,Epha1,1
Efna4_Epha2,"[""Efna4"",""Epha2""]",Efna4,Epha2,1
Efna4_Epha3,"[""Efna4"",""Epha3""]",Efna4,Epha3,1
Efna4_Epha4,"[""Efna4"",""Epha4""]",Efna4,Epha4,1
Efna4_Epha5,"[""Efna4"",""Epha5""]",Efna4,Epha5,1
Efna4_Epha7,"[""Efna4"",""Epha7""]",Efna4,Epha7,1
Efna4_Epha8,"[""Efna4"",""Epha8""]",Efna4,Epha8,1
Efna5_Epha1,"[""Efna5"",""Epha1""]",Efna5,Epha1,1
Efna5_Epha2,"[""Efna5"",""Epha2""]",Efna5,Epha2,1
Efna5_Epha3,"[""Efna5"",""Epha3""]",Efna5,Epha3,1
Efna5_Epha4,"[""Efna5"",""Epha4""]",Efna5,Epha4,1
Efna5_Epha5,"[""Efna5"",""Epha5""]",Efna5,Epha5,1
Efna5_Epha7,"[""Efna5"",""Epha7""]",Efna5,Epha7,1
Efna5_Epha8,"[""Efna5"",""Epha8""]",Efna5,Epha8,1
Efna5_Ephb2,"[""Efna5"",""Ephb2""]",Efna5,Ephb2,1
Efnb1_Epha4,"[""Efnb1"",""Epha4""]",Efnb1,Epha4,1
Efnb1_Ephb1,"[""Efnb1"",""Ephb1""]",Efnb1,Ephb1,1
Efnb1_Ephb2,"[""Efnb1"",""Ephb2""]",Efnb1,Ephb2,1
Efnb1_Ephb3,"[""Efnb1"",""Ephb3""]",Efnb1,Ephb3,1
Efnb1_Ephb4,"[""Efnb1"",""Ephb4""]",Efnb1,Ephb4,1
Efnb2_Epha4,"[""Efnb2"",""Epha4""]",Efnb2,Epha4,1
Efnb2_Ephb1,"[""Efnb2"",""Ephb1""]",Efnb2,Ephb1,1
Efnb2_Ephb2,"[""Efnb2"",""Ephb2""]",Efnb2,Ephb2,1
Efnb2_Ephb3,"[""Efnb2"",""Ephb3""]",Efnb2,Ephb3,1
Efnb2_Ephb4,"[""Efnb2"",""Ephb4""]",Efnb2,Ephb4,1
Efnb3_Epha4,"[""Efnb3"",""Epha4""]",Efnb3,Epha4,1
Efnb3_Ephb1,"[""Efnb3"",""Ephb1""]",Efnb3,Ephb1,1
Efnb3_Ephb2,"[""Efnb3"",""Ephb2""]",Efnb3,Ephb2,1
Efnb3_Ephb3,"[""Efnb3"",""Ephb3""]",Efnb3,Ephb3,1
Efnb3_Ephb4,"[""Efnb3"",""Ephb4""]",Efnb3,Ephb4,1
Efnb3_Ephb6,"[""Efnb3"",""Ephb6""]",Efnb3,Ephb6,1
Egf_Egfr,"[""Egf"",""Egfr""]",Egf,Egfr,1
Egf_Egfr_Erbb2,"[""Egf"",""Egfr_Erbb2""]",Egf,Egfr_Erbb2,1
Enho_Gpr19,"[""Enho"",""Gpr19""]",Enho,Gpr19,1
Entpd1_Adora1,"[""Entpd1"",""Adora1""]",Entpd1,Adora1,1
Entpd1_Adora2a,"[""Entpd1"",""Adora2a""]",Entpd1,Adora2a,1
Entpd1_Adora2b,"[""Entpd1"",""Adora2b""]",Entpd1,Adora2b,1
Entpd1_Tmigd3,"[""Entpd1"",""Tmigd3""]",Entpd1,Tmigd3,1
Epgn_Egfr,"[""Epgn"",""Egfr""]",Epgn,Egfr,1
Epo_Epor,"[""Epo"",""Epor""]",Epo,Epor,1
Ereg_Egfr,"[""Ereg"",""Egfr""]",Ereg,Egfr,1
Ereg_Egfr_Erbb2,"[""Ereg"",""Egfr_Erbb2""]",Ereg,Egfr_Erbb2,1
Ereg_Erbb2_Erbb4,"[""Ereg"",""Erbb2_Erbb4""]",Ereg,Erbb2_Erbb4,1
Ereg_Erbb4,"[""Ereg"",""Erbb4""]",Ereg,Erbb4,1
Esam_Esam,"[""Esam"",""Esam""]",Esam,Esam,1
F11r_F11r,"[""F11r"",""F11r""]",F11r,F11r,1
F11r_Itgal_Itgb2,"[""F11r"",""Itgal_Itgb2""]",F11r,Itgal_Itgb2,1
F11r_Jam2,"[""F11r"",""Jam2""]",F11r,Jam2,1
F11r_Jam3,"[""F11r"",""Jam3""]",F11r,Jam3,1
F2_F2r,"[""F2"",""F2r""]",F2,F2r,1
F2_F2rl1,"[""F2"",""F2rl1""]",F2,F2rl1,1
F2_F2rl2,"[""F2"",""F2rl2""]",F2,F2rl2,1
F2_F2rl3,"[""F2"",""F2rl3""]",F2,F2rl3,1
F2_Pard3,"[""F2"",""Pard3""]",F2,Pard3,1
Fasl_Fas,"[""Fasl"",""Fas""]",Fasl,Fas,2
Fcer2a_Cr2,"[""Fcer2a"",""Cr2""]",Fcer2a,Cr2,1
Fcer2a_Itgam_Itgb2,"[""Fcer2a"",""Itgam_Itgb2""]",Fcer2a,Itgam_Itgb2,1
Fcer2a_Itgav_Itgb3,"[""Fcer2a"",""Itgav_Itgb3""]",Fcer2a,Itgav_Itgb3,1
Fcer2a_Itgax_Itgb2,"[""Fcer2a"",""Itgax_Itgb2""]",Fcer2a,Itgax_Itgb2,1
Fgf1_Fgfr1,"[""Fgf1"",""Fgfr1""]",Fgf1,Fgfr1,1
Fgf1_Fgfr2,"[""Fgf1"",""Fgfr2""]",Fgf1,Fgfr2,1
Fgf1_Fgfr3,"[""Fgf1"",""Fgfr3""]",Fgf1,Fgfr3,1
Fgf1_Fgfr4,"[""Fgf1"",""Fgfr4""]",Fgf1,Fgfr4,1
Fgf10_Fgfr1,"[""Fgf10"",""Fgfr1""]",Fgf10,Fgfr1,1
