time,pair_id,ligand,receptor,pair,score,max_edge,nonzero_edges,n_cell_types,n_expression_supported_cell_types,n_expression_unsupported_cell_types,n_expression_supported_type_edges,peak_sender,peak_receiver
3.0,"[""Amh"",""Amhr2_Acvr1""]",Amh,Amhr2_Acvr1,Amh_Amhr2_Acvr1,0.021330888051439643,0.0033074233858315697,246,26,26,0,676,Connective tissue,Connective tissue
0.0,"[""Amh"",""Amhr2_Bmpr1a""]",Amh,Amhr2_Bmpr1a,Amh_Amhr2_Bmpr1a,0.46797194278078014,0.09376574267855396,179,23,23,0,529,Muscle,Muscle
0.5,"[""Amh"",""Amhr2_Bmpr1a""]",Amh,Amhr2_Bmpr1a,Amh_Amhr2_Bmpr1a,0.2023884506484069,0.036916867456734906,230,24,24,0,576,Muscle,Muscle
1.0,"[""Amh"",""Amhr2_Bmpr1a""]",Amh,Amhr2_Bmpr1a,Amh_Amhr2_Bmpr1a,0.08354267332512458,0.011550493480385808,223,23,23,0,529,Muscle,Muscle
1.5,"[""Amh"",""Amhr2_Bmpr1a""]",Amh,Amhr2_Bmpr1a,Amh_Amhr2_Bmpr1a,0.04473756156317373,0.006056779130530656,248,25,25,0,625,Jaw and tooth,Jaw and tooth
2.0,"[""Amh"",""Amhr2_Bmpr1a""]",Amh,Amhr2_Bmpr1a,Amh_Amhr2_Bmpr1a,0.02930090658775948,0.004028381370694538,236,27,27,0,729,Connective tissue,Connective tissue
2.5,"[""Amh"",""Amhr2_Bmpr1a""]",Amh,Amhr2_Bmpr1a,Amh_Amhr2_Bmpr1a,0.023290644117625686,0.003602662211381551,242,26,26,0,676,Connective tissue,Connective tissue
3.0,"[""Amh"",""Amhr2_Bmpr1a""]",Amh,Amhr2_Bmpr1a,Amh_Amhr2_Bmpr1a,0.021330888051439643,0.0033074233858315697,246,26,26,0,676,Connective tissue,Connective tissue
0.0,"[""Angpt1"",""Tek""]",Angpt1,Tek,Angpt1_Tek,1560.8867498578159,303.1334924752501,179,23,23,0,529,Heart,Heart
0.5,"[""Angpt1"",""Tek""]",Angpt1,Tek,Angpt1_Tek,822.3950548146781,149.14421348405625,230,24,24,0,576,Heart,Heart
1.0,"[""Angpt1"",""Tek""]",Angpt1,Tek,Angpt1_Tek,399.2967003361251,64.58443153972054,223,23,23,0,529,Heart,Heart
1.5,"[""Angpt1"",""Tek""]",Angpt1,Tek,Angpt1_Tek,251.24167301997463,32.023232987688694,248,25,25,0,625,Heart,Heart
2.0,"[""Angpt1"",""Tek""]",Angpt1,Tek,Angpt1_Tek,189.68080796577448,29.177227223194457,236,27,27,0,729,Connective tissue,Connective tissue
2.5,"[""Angpt1"",""Tek""]",Angpt1,Tek,Angpt1_Tek,155.50275673815537,26.97351450217062,242,26,26,0,676,Connective tissue,Connective tissue
3.0,"[""Angpt1"",""Tek""]",Angpt1,Tek,Angpt1_Tek,134.56307919600488,20.234357635478467,246,26,26,0,676,Connective tissue,Connective tissue
0.0,"[""Angpt2"",""Itga5_Itgb1""]",Angpt2,Itga5_Itgb1,Angpt2_Itga5_Itgb1,234.95262387058233,36.40870327534682,179,23,23,0,529,Muscle,Muscle
0.5,"[""Angpt2"",""Itga5_Itgb1""]",Angpt2,Itga5_Itgb1,Angpt2_Itga5_Itgb1,125.58278705398115,22.246257692244832,230,24,24,0,576,Muscle,Muscle
1.0,"[""Angpt2"",""Itga5_Itgb1""]",Angpt2,Itga5_Itgb1,Angpt2_Itga5_Itgb1,62.783107332247916,9.410053383340033,223,23,23,0,529,Muscle,Muscle
1.5,"[""Angpt2"",""Itga5_Itgb1""]",Angpt2,Itga5_Itgb1,Angpt2_Itga5_Itgb1,40.4304037354024,4.024646003638451,248,25,25,0,625,Cavity,Cavity
2.0,"[""Angpt2"",""Itga5_Itgb1""]",Angpt2,Itga5_Itgb1,Angpt2_Itga5_Itgb1,29.77191487886254,4.989009901105417,236,27,27,0,729,Connective tissue,Connective tissue
