"test_ligand","auroc","aupr","aupr_corrected","pearson","activity_rank","window","baseline_model_time","response_model_time","n_background","n_targets"
"Col1a1",0.543061224489796,0.198416587233475,0.0530677500241724,0.0802186707132128,5,"t0p30_to_t0p35",0.3,0.35,344,50
"Clu",0.545374149659864,0.198415803375725,0.053066966166423,0.0816206360048539,6,"t0p30_to_t0p35",0.3,0.35,344,50
"Igf2",0.51843537414966,0.197854373471809,0.052505536262507,0.0270270239728344,7,"t0p30_to_t0p35",0.3,0.35,344,50
"Igf1",0.515714285714285,0.196748981293706,0.0514001440844037,0.0804624123597713,8,"t0p30_to_t0p35",0.3,0.35,344,50
"Fn1",0.545510204081633,0.196320039971131,0.0509712027618286,0.0729882707682322,9,"t0p30_to_t0p35",0.3,0.35,344,50
"Vcan",0.548163265306122,0.19504743387311,0.0496985966638074,0.0764775097243619,10,"t0p30_to_t0p35",0.3,0.35,344,50
"C1qa",0.538503401360544,0.194347124618661,0.0489982874093582,0.0754430918918399,11,"t0p30_to_t0p35",0.3,0.35,344,50
"Ccn2",0.526462585034013,0.193345154582522,0.0479963173732199,0.0690974025812698,12,"t0p30_to_t0p35",0.3,0.35,344,50
"C3",0.544557823129251,0.187275567126646,0.041926729917344,0.0821456448029929,13,"t0p30_to_t0p35",0.3,0.35,344,50
"Pecam1",0.552653061224489,0.186512515416184,0.0411636782068813,0.0718754919519015,14,"t0p30_to_t0p35",0.3,0.35,344,50
"Lcn2",0.553537414965987,0.185972764376085,0.0406239271667829,0.0153865306144678,15,"t0p30_to_t0p35",0.3,0.35,344,50
"Sema3e",0.530068027210884,0.184827487158535,0.0394786499492322,0.0607463729138406,16,"t0p30_to_t0p35",0.3,0.35,344,50
"Cd300c2",0.559659863945578,0.183917772409135,0.0385689351998331,0.0200043725670222,17,"t0p30_to_t0p35",0.3,0.35,344,50
"Spp1",0.563061224489796,0.182977910135916,0.0376290729266135,0.0177153899258585,18,"t0p30_to_t0p35",0.3,0.35,344,50
"Cdh4",0.547891156462585,0.178278214089699,0.0329293768803964,0.0487257594167743,19,"t0p30_to_t0p35",0.3,0.35,344,50
"Apoe",0.540612244897959,0.175921892998576,0.0305730557892734,0.0361280903155683,20,"t0p30_to_t0p35",0.3,0.35,344,50
"Sema3d",0.536666666666667,0.175091057697659,0.0297422204883568,0.0539030737401435,21,"t0p30_to_t0p35",0.3,0.35,344,50
"Ntng1",0.544013605442178,0.170884100507563,0.0255352632982606,0.0594703981303571,22,"t0p30_to_t0p35",0.3,0.35,344,50
"Lgals3bp",0.527891156462585,0.168939832579647,0.023590995370345,0.0275393224611073,23,"t0p30_to_t0p35",0.3,0.35,344,50
"Dcn",0.534761904761905,0.189055824681686,0.0437069874723841,0.0813705207820506,1,"t0p35_to_t0p40",0.35,0.4,344,50
"Sema3a",0.548095238095238,0.179611641180573,0.034262803971271,0.0758200369507841,2,"t0p35_to_t0p40",0.35,0.4,344,50
"Nts",0.532176870748299,0.176493728518253,0.0311448913089507,0.124619394377529,3,"t0p35_to_t0p40",0.35,0.4,344,50
"Clu",0.530748299319728,0.173508851981159,0.0281600147718565,0.0564188827192562,4,"t0p35_to_t0p40",0.35,0.4,344,50
"C1qa",0.526530612244898,0.172105098487448,0.0267562612781459,0.0532457706363295,5,"t0p35_to_t0p40",0.35,0.4,344,50
"Cd300c2",0.581700680272109,0.171131734342588,0.0257828971332858,0.0203019346115708,6,"t0p35_to_t0p40",0.35,0.4,344,50
"Vcan",0.534829931972788,0.170790926576331,0.0254420893670291,0.0493821639562864,7,"t0p35_to_t0p40",0.35,0.4,344,50
"Fn1",0.534965986394558,0.170407182049429,0.0250583448401271,0.0526321154529825,8,"t0p35_to_t0p40",0.35,0.4,344,50
"Col1a1",0.530612244897959,0.1695818534656,0.024233016256298,0.0464009620714941,9,"t0p35_to_t0p40",0.35,0.4,344,50
"Pecam1",0.531972789115646,0.166693532990337,0.0213446957810345,0.0473159208722879,10,"t0p35_to_t0p40",0.35,0.4,344,50
"Cdh4",0.532312925170068,0.164989041929065,0.0196402047197631,0.0382060372071622,11,"t0p35_to_t0p40",0.35,0.4,344,50
"Ccn2",0.503265306122449,0.163718818849499,0.0183699816401964,0.0256381342253211,12,"t0p35_to_t0p40",0.35,0.4,344,50
"Spp1",0.549659863945578,0.161445182636553,0.0160963454272503,0.00575869945679124,13,"t0p35_to_t0p40",0.35,0.4,344,50
"Igf2",0.511904761904762,0.161328843811859,0.0159800066025571,0.0236309958875295,14,"t0p35_to_t0p40",0.35,0.4,344,50
"Sema3e",0.512925170068027,0.161271869143087,0.0159230319337851,0.0207801741216971,15,"t0p35_to_t0p40",0.35,0.4,344,50
"C3",0.533741496598639,0.158663732651986,0.0133148954426838,0.0544256283364333,16,"t0p35_to_t0p40",0.35,0.4,344,50
"C1qb",0.523265306122449,0.157753298167726,0.0124044609584234,0.0443850980719596,17,"t0p35_to_t0p40",0.35,0.4,344,50
"Apoe",0.534489795918367,0.156367515569856,0.0110186783605533,0.0243484406894777,18,"t0p35_to_t0p40",0.35,0.4,344,50
"Lcn2",0.539319727891157,0.156159708043904,0.0108108708346018,-0.000954038613026484,19,"t0p35_to_t0p40",0.35,0.4,344,50
"Ntng1",0.528027210884354,0.154622250935484,0.0092734137261819,0.0361149122188885,20,"t0p35_to_t0p40",0.35,0.4,344,50
"Igf1",0.505986394557823,0.151341223583584,0.00599238637428184,0.0246835542454399,21,"t0p35_to_t0p40",0.35,0.4,344,50
"Sema3d",0.52,0.14811339531881,0.00276455810950793,0.0151807621283554,22,"t0p35_to_t0p40",0.35,0.4,344,50
"Lgals3bp",0.507891156462585,0.147356049905665,0.00200721269636242,0.00647657633804331,23,"t0p35_to_t0p40",0.35,0.4,344,50
"Dcn",0.548979591836734,0.19737764818055,0.0520288109712476,0.0925480333523353,1,"t0p40_to_t0p45",0.4,0.45,344,50
"Sema3a",0.540068027210884,0.178538721743333,0.033189884534031,0.0684769760947541,2,"t0p40_to_t0p45",0.4,0.45,344,50
"Cd300c2",0.577074829931972,0.177112051744962,0.03176321453566,0.0215729388690818,3,"t0p40_to_t0p45",0.4,0.45,344,50
"Pecam1",0.535306122448979,0.173265032790557,0.0279161955812545,0.0546941712484495,4,"t0p40_to_t0p45",0.4,0.45,344,50
"Vcan",0.535918367346938,0.172608619739307,0.0272597825300046,0.0454367917848095,5,"t0p40_to_t0p45",0.4,0.45,344,50
"Col1a1",0.533401360544218,0.171908868911997,0.0265600317026949,0.0436007895486374,6,"t0p40_to_t0p45",0.4,0.45,344,50
"C1qa",0.525510204081632,0.171368457238388,0.0260196200290853,0.0440409200914809,7,"t0p40_to_t0p45",0.4,0.45,344,50
"Cdh4",0.536530612244898,0.168415450517679,0.0230666133083763,0.0384414089488817,8,"t0p40_to_t0p45",0.4,0.45,344,50
"Clu",0.513537414965986,0.166816033057099,0.0214671958477967,0.0344964897914191,9,"t0p40_to_t0p45",0.4,0.45,344,50
"Ccn2",0.506666666666666,0.166658042305512,0.0213092050962095,0.0291297219147267,10,"t0p40_to_t0p45",0.4,0.45,344,50
"Nts",0.507687074829932,0.166426338828099,0.0210775016187962,0.113719550184403,11,"t0p40_to_t0p45",0.4,0.45,344,50
"Fn1",0.51673469387755,0.165533158916525,0.0201843217072227,0.0323433997780172,12,"t0p40_to_t0p45",0.4,0.45,344,50
"Sema3e",0.519727891156462,0.164964185318588,0.0196153481092858,0.0262167450850226,13,"t0p40_to_t0p45",0.4,0.45,344,50
"Lcn2",0.547482993197279,0.161208693730828,0.0158598565215258,0.00241630572760815,14,"t0p40_to_t0p45",0.4,0.45,344,50
"Spp1",0.543673469387755,0.160916388472216,0.0155675512629136,0.00450007560347196,15,"t0p40_to_t0p45",0.4,0.45,344,50
"C3",0.530136054421769,0.158207870674353,0.0128590334650508,0.0450613374738451,16,"t0p40_to_t0p45",0.4,0.45,344,50
"Ntng1",0.530544217687075,0.157474839576599,0.0121260023672966,0.0394920840411513,17,"t0p40_to_t0p45",0.4,0.45,344,50
"Igf1",0.519931972789115,0.157140034788695,0.0117911975793928,0.0370864037104493,18,"t0p40_to_t0p45",0.4,0.45,344,50
"C1qb",0.527959183673469,0.156078347345892,0.0107295101365893,0.0366803149306326,19,"t0p40_to_t0p45",0.4,0.45,344,50
"Sema3d",0.529523809523809,0.153415816420236,0.0080669792109333,0.0232910221440712,20,"t0p40_to_t0p45",0.4,0.45,344,50
"Apoe",0.524353741496598,0.152568361881146,0.00721952467184411,0.0123981235018307,21,"t0p40_to_t0p45",0.4,0.45,344,50
"Lgals3bp",0.513673469387755,0.14954036930621,0.00419153209690734,0.00482381398600676,22,"t0p40_to_t0p45",0.4,0.45,344,50
"Igf2",0.47952380952381,0.145317484580888,-3.13526284139165e-05,-0.0280751126571883,23,"t0p40_to_t0p45",0.4,0.45,344,50
"Dcn",0.572380952380952,0.206680324906517,0.0613314876972151,0.122288730652553,1,"t0p45_to_t0p50",0.45,0.5,344,50
"Igf2",0.558299319727891,0.192333850154609,0.0469850129453066,0.0763520301150366,2,"t0p45_to_t0p50",0.45,0.5,344,50
"Sema3a",0.586870748299319,0.191852005221393,0.0465031680120904,0.109559948957349,3,"t0p45_to_t0p50",0.45,0.5,344,50
"Cd300c2",0.625442176870748,0.191294766468236,0.045945929258934,0.0386632259841318,4,"t0p45_to_t0p50",0.45,0.5,344,50
"Clu",0.565238095238095,0.187327503624093,0.0419786664147906,0.0919461911481244,5,"t0p45_to_t0p50",0.45,0.5,344,50
"Vcan",0.575850340136054,0.187033886143059,0.0416850489337564,0.0878596957649431,6,"t0p45_to_t0p50",0.45,0.5,344,50
"Igf1",0.567210884353741,0.185908837477016,0.0405600002677133,0.0817808935842456,7,"t0p45_to_t0p50",0.45,0.5,344,50
"Pecam1",0.56,0.185562833780564,0.0402139965712617,0.0856531817252293,8,"t0p45_to_t0p50",0.45,0.5,344,50
"C1qa",0.564081632653061,0.18530250178495,0.039953664575648,0.0899674650054377,9,"t0p45_to_t0p50",0.45,0.5,344,50
"Col1a1",0.568163265306122,0.18492013883569,0.0395713016263873,0.0827186975167584,10,"t0p45_to_t0p50",0.45,0.5,344,50
"Cdh4",0.561428571428571,0.183622636993884,0.0382737997845815,0.0810050882939163,11,"t0p45_to_t0p50",0.45,0.5,344,50
"Ccn2",0.550748299319727,0.182095498388787,0.036746661179485,0.0751608074950676,12,"t0p45_to_t0p50",0.45,0.5,344,50
"Nts",0.55047619047619,0.181104279879777,0.0357554426704745,0.131808078995632,13,"t0p45_to_t0p50",0.45,0.5,344,50
"Fn1",0.561020408163265,0.18021467941182,0.034865842202518,0.0807247596779005,14,"t0p45_to_t0p50",0.45,0.5,344,50
"Sema3e",0.557142857142857,0.178448636275171,0.0330997990658686,0.064069138706491,15,"t0p45_to_t0p50",0.45,0.5,344,50
"Ntng1",0.566598639455782,0.173067395134534,0.0277185579252313,0.0811660214500861,16,"t0p45_to_t0p50",0.45,0.5,344,50
"Lcn2",0.578367346938775,0.171998157793007,0.0266493205837051,0.0160816169232259,17,"t0p45_to_t0p50",0.45,0.5,344,50
"Spp1",0.579183673469387,0.171865855137473,0.0265170179281707,0.018282308945107,18,"t0p45_to_t0p50",0.45,0.5,344,50
"C3",0.567891156462585,0.171357776023356,0.0260089388140538,0.0863347255314708,19,"t0p45_to_t0p50",0.45,0.5,344,50
"C1qb",0.561292517006803,0.167147629418573,0.021798792209271,0.070646897550718,20,"t0p45_to_t0p50",0.45,0.5,344,50
"Apoe",0.564217687074829,0.16704643596936,0.0216975987600576,0.0447355461484276,21,"t0p45_to_t0p50",0.45,0.5,344,50
"Sema3d",0.559047619047618,0.164407624427166,0.0190587872178642,0.0559789808316619,22,"t0p45_to_t0p50",0.45,0.5,344,50
"Lgals3bp",0.547687074829932,0.15852169390836,0.013172856699058,0.0337288348900193,23,"t0p45_to_t0p50",0.45,0.5,344,50
"Dcn",0.652244897959182,0.295456560702408,0.150107723493106,0.239345288082254,1,"t0p50_to_t0p55",0.5,0.55,344,50
"Pecam1",0.662653061224488,0.294792727432849,0.149443890223547,0.227714487748603,2,"t0p50_to_t0p55",0.5,0.55,344,50
"C1qa",0.633741496598639,0.280116201030017,0.134767363820715,0.210409096179656,3,"t0p50_to_t0p55",0.5,0.55,344,50
"Vcan",0.632108843537414,0.27994764332067,0.134598806111367,0.202308566749749,4,"t0p50_to_t0p55",0.5,0.55,344,50
"Ntng1",0.658095238095238,0.276224956329264,0.130876119119962,0.21816508341012,5,"t0p50_to_t0p55",0.5,0.55,344,50
"Spp1",0.657278911564624,0.27420343667987,0.128854599470567,0.0856955204356936,6,"t0p50_to_t0p55",0.5,0.55,344,50
