time,pair_id,ligand,receptor,pair,score,max_edge,nonzero_edges,n_cell_types,n_expression_supported_cell_types,n_expression_unsupported_cell_types,n_expression_supported_type_edges,peak_sender,peak_receiver,cluster,representativeness_rank_within_pattern,distance_to_pattern_prototype,display_order
1.0,"[""FGF8"",""FGFR1""]",FGF8,FGFR1,FGF8_FGFR1,0.0351556979100263,0.0168715872848905,95,19,19,0,361,wntEGC,wntEGC,1,11,0.41097573425697703,11
1.5,"[""FGF8"",""FGFR1""]",FGF8,FGFR1,FGF8_FGFR1,0.0651992885233706,0.0317985331906828,126,19,19,0,361,wntEGC,wntEGC,1,11,0.41097573425697703,11
2.0,"[""FGF8"",""FGFR1""]",FGF8,FGFR1,FGF8_FGFR1,0.027771608296086,0.0201571282385357,96,18,18,0,324,wntEGC,wntEGC,1,11,0.41097573425697703,11
2.5,"[""FGF8"",""FGFR1""]",FGF8,FGFR1,FGF8_FGFR1,0.0553867488025546,0.0168849728002336,191,22,22,0,484,wntEGC,sfrpEGC,1,11,0.41097573425697703,11
3.0,"[""FGF8"",""FGFR1""]",FGF8,FGFR1,FGF8_FGFR1,0.0048986491199555,0.0013149450517412,93,21,21,0,441,rIPC1,reaEGC,1,11,0.41097573425697703,11
3.5,"[""FGF8"",""FGFR1""]",FGF8,FGFR1,FGF8_FGFR1,0.0928460663971651,0.0159490976620705,197,21,21,0,441,wntEGC,sfrpEGC,1,11,0.41097573425697703,11
4.0,"[""FGF8"",""FGFR1""]",FGF8,FGFR1,FGF8_FGFR1,0.0798739651476714,0.0276760340359564,137,20,20,0,400,wntEGC,wntEGC,1,11,0.41097573425697703,11
0.0,"[""FGF8"",""FGFR3""]",FGF8,FGFR3,FGF8_FGFR3,0.0052729543019417,0.003430220611183,100,18,18,0,324,wntEGC,wntEGC,1,12,0.41719889005982236,12
0.5,"[""FGF8"",""FGFR3""]",FGF8,FGFR3,FGF8_FGFR3,0.0062988101733116,0.003014922399744,120,19,19,0,361,wntEGC,wntEGC,1,12,0.41719889005982236,12
1.0,"[""FGF8"",""FGFR3""]",FGF8,FGFR3,FGF8_FGFR3,0.0038730616829847,0.0015023027731514,94,19,19,0,361,wntEGC,wntEGC,1,12,0.41719889005982236,12
1.5,"[""FGF8"",""FGFR3""]",FGF8,FGFR3,FGF8_FGFR3,0.0092261583435424,0.0039950264722131,126,19,19,0,361,wntEGC,wntEGC,1,12,0.41719889005982236,12
2.0,"[""FGF8"",""FGFR3""]",FGF8,FGFR3,FGF8_FGFR3,0.0050494581020019,0.0036746616419251,96,18,18,0,324,wntEGC,wntEGC,1,12,0.41719889005982236,12
2.5,"[""FGF8"",""FGFR3""]",FGF8,FGFR3,FGF8_FGFR3,0.008715242490262,0.0021220116049966,191,22,22,0,484,wntEGC,sfrpEGC,1,12,0.41719889005982236,12
3.0,"[""FGF8"",""FGFR3""]",FGF8,FGFR3,FGF8_FGFR3,0.0015486266662793,0.0006007951528522,93,21,21,0,441,rIPC1,reaEGC,1,12,0.41719889005982236,12
3.5,"[""FGF8"",""FGFR3""]",FGF8,FGFR3,FGF8_FGFR3,0.0175716371915477,0.002430450556223,197,21,21,0,441,wntEGC,sfrpEGC,1,12,0.41719889005982236,12
4.0,"[""FGF8"",""FGFR3""]",FGF8,FGFR3,FGF8_FGFR3,0.0134723729385464,0.003232087837475,137,20,20,0,400,MCG,wntEGC,1,12,0.41719889005982236,12
0.0,"[""NRXN1"",""NLGN3""]",NRXN1,NLGN3,NRXN1_NLGN3,1.8836460398094412,0.4157547714136996,164,18,18,0,324,sfrpEGC,wntEGC,1,13,0.4244411975200435,13
0.5,"[""NRXN1"",""NLGN3""]",NRXN1,NLGN3,NRXN1_NLGN3,2.6984896203156907,0.9346462455552412,120,19,19,0,361,wntEGC,wntEGC,1,13,0.4244411975200435,13
1.0,"[""NRXN1"",""NLGN3""]",NRXN1,NLGN3,NRXN1_NLGN3,2.558286396563848,0.7005255334967578,140,19,19,0,361,sfrpEGC,sfrpEGC,1,13,0.4244411975200435,13
1.5,"[""NRXN1"",""NLGN3""]",NRXN1,NLGN3,NRXN1_NLGN3,3.902028787050483,1.3676458142919072,126,19,19,0,361,wntEGC,wntEGC,1,13,0.4244411975200435,13
2.0,"[""NRXN1"",""NLGN3""]",NRXN1,NLGN3,NRXN1_NLGN3,2.097652522769654,0.5198830541174124,190,18,18,0,324,sfrpEGC,sfrpEGC,1,13,0.4244411975200435,13
2.5,"[""NRXN1"",""NLGN3""]",NRXN1,NLGN3,NRXN1_NLGN3,2.4084977749190952,0.6959255814137859,191,22,22,0,484,sfrpEGC,sfrpEGC,1,13,0.4244411975200435,13
3.0,"[""NRXN1"",""NLGN3""]",NRXN1,NLGN3,NRXN1_NLGN3,1.4237993662973825,0.4098434629697222,224,21,21,0,441,wntEGC,sfrpEGC,1,13,0.4244411975200435,13
3.5,"[""NRXN1"",""NLGN3""]",NRXN1,NLGN3,NRXN1_NLGN3,4.475134098768073,1.0509966558496249,197,21,21,0,441,sfrpEGC,sfrpEGC,1,13,0.4244411975200435,13
4.0,"[""NRXN1"",""NLGN3""]",NRXN1,NLGN3,NRXN1_NLGN3,4.00366291324501,1.4181451176737832,163,20,20,0,400,wntEGC,wntEGC,1,13,0.4244411975200435,13
0.0,"[""NPY"",""GPR83""]",NPY,GPR83,NPY_GPR83,0.0014339751763472,0.0005695267519395,61,18,18,0,324,sfrpEGC,sfrpEGC,1,14,0.42841821712554823,14
0.5,"[""NPY"",""GPR83""]",NPY,GPR83,NPY_GPR83,0.0137240099167237,0.0048253756871274,120,19,19,0,361,wntEGC,wntEGC,1,14,0.42841821712554823,14
1.0,"[""NPY"",""GPR83""]",NPY,GPR83,NPY_GPR83,0.0206480550782686,0.0075718995981679,108,19,19,0,361,wntEGC,wntEGC,1,14,0.42841821712554823,14
1.5,"[""NPY"",""GPR83""]",NPY,GPR83,NPY_GPR83,0.0202716955992193,0.0068788508385935,126,19,19,0,361,wntEGC,wntEGC,1,14,0.42841821712554823,14
2.0,"[""NPY"",""GPR83""]",NPY,GPR83,NPY_GPR83,0.0174008987133632,0.0065771402441233,129,18,18,0,324,wntEGC,wntEGC,1,14,0.42841821712554823,14
2.5,"[""NPY"",""GPR83""]",NPY,GPR83,NPY_GPR83,0.0261946150620868,0.0055698494773159,191,22,22,0,484,wntEGC,sfrpEGC,1,14,0.42841821712554823,14
3.0,"[""NPY"",""GPR83""]",NPY,GPR83,NPY_GPR83,0.0045295745818797,0.0007851203901322,136,21,21,0,441,CP,reaEGC,1,14,0.42841821712554823,14
3.5,"[""NPY"",""GPR83""]",NPY,GPR83,NPY_GPR83,0.052847497157241,0.0103181477930592,197,21,21,0,441,sfrpEGC,sfrpEGC,1,14,0.42841821712554823,14
4.0,"[""NPY"",""GPR83""]",NPY,GPR83,NPY_GPR83,0.0350767301182038,0.0177888963098427,107,20,20,0,400,wntEGC,wntEGC,1,14,0.42841821712554823,14
