pair,auc,peak_time,peak_score,trough_time,start_score,end_score,delta_end_start,score_range,cluster_id,shape_rank
LAMA5_ITGA1_ITGB1,0.038237728793716765,1.5,0.017588289769645025,4.0,0.008328556031494995,0.004262872436187613,-0.004065683595307382,0.013325417333457412,2,44
GHRH_VIPR1,0.3705561880202284,0.5,0.14934809121219644,0.0,0.044687514396735684,0.07212486070564744,0.02743734630891176,0.10466057681546076,2,45
TNC_ITGAV_ITGB6,0.3354796413434381,1.5,0.13401258371141325,4.0,0.07282408077591225,0.04505662415861035,-0.0277674566173019,0.0889559595528029,2,46
COL6A6_ITGA1_ITGB1,0.0035652492486309218,1.5,0.001699042194948197,4.0,0.0008191172928454786,0.0003341908266624586,-0.00048492646618302003,0.0013648513682857383,2,47
WNT11_FZD2,0.41373243552240146,1.5,0.18792388703136093,3.0,0.08181553760994129,0.06373211674978423,-0.01808342086015706,0.14352762818482048,2,48
PTPRM_PTPRM,0.16736056783536513,1.5,0.08535627287702005,3.5,0.04095244888182337,0.021510791599438004,-0.019441657282385363,0.07423694237626743,2,49
WNT7B_FZD2_LRP5,3.895216407717473,0.5,1.9633607590194524,3.0,0.8814723017510586,0.7306827017671694,-0.1507895999838892,1.702038997897453,2,50
WNT7B_FZD2_LRP6,3.895216407717473,0.5,1.9633607590194524,3.0,0.8814723017510586,0.7306827017671694,-0.1507895999838892,1.702038997897453,2,51
PTN_ITGAV_ITGB3,0.8223787394771427,0.0,0.31844725350641484,3.0,0.31844725350641484,0.13107428918816338,-0.18737296431825146,0.23030592132494754,2,52
ANGPTL4_ITGAV_ITGB3,0.060828730797070324,1.5,0.026113650713738078,3.5,0.013810460505403388,0.007500201190475076,-0.006310259314928311,0.02017743090475392,2,53
SPP1_ITGAV_ITGB3,0.04100149044674387,1.5,0.02004252888536891,3.5,0.014628036114783785,0.0027759257317945176,-0.011852110382989268,0.018478215479056703,2,54
COL4A1_ITGA1_ITGB1,0.05628163703849571,1.5,0.02197959404254276,4.0,0.01982201718462746,0.0051364039975480905,-0.01468561318707937,0.01684319004499467,2,55
