pattern,term,term_name,term_id,query_size,background_size,set_size_in_background,overlap_count,gene_ratio,p_value,fold_enrichment,overlap_genes,adjusted_p_value,significant
2,DNA Replication (GO:0006260),DNA Replication,GO:0006260,1076,1538,5,5,0.004646840148698885,0.167133830268186,1.429368029739777,POLE4;RFC2;RNASEH2A;RPA2;RPA3,0.9997662475896321,False
2,Endoplasmic Reticulum To Golgi Vesicle-Mediated Transport (GO:0006888),Endoplasmic Reticulum To Golgi Vesicle-Mediated Transport,GO:0006888,1076,1538,5,5,0.004646840148698885,0.167133830268186,1.429368029739777,ATL3;CNIH4;PGAP1;PREB;TRAPPC2L,0.9997662475896321,False
2,Endothelial Cell Development (GO:0001885),Endothelial Cell Development,GO:0001885,1076,1538,5,5,0.004646840148698885,0.167133830268186,1.429368029739777,MET;MYADM;PECAM1;RDX;ROBO4,0.9997662475896321,False
2,Endothelium Development (GO:0003158),Endothelium Development,GO:0003158,1076,1538,5,5,0.004646840148698885,0.167133830268186,1.429368029739777,CD34;FSTL1;JAG1;KDR;PECAM1,0.9997662475896321,False
2,Glycosaminoglycan Catabolic Process (GO:0006027),Glycosaminoglycan Catabolic Process,GO:0006027,1076,1538,5,5,0.004646840148698885,0.167133830268186,1.429368029739777,FGF2;GNS;GUSB;IDUA;SGSH,0.9997662475896321,False
2,Lamellipodium Assembly (GO:0030032),Lamellipodium Assembly,GO:0030032,1076,1538,5,5,0.004646840148698885,0.167133830268186,1.429368029739777,CDH13;CYFIP1;ITGB1;S1PR1;VCL,0.9997662475896321,False
2,Lamellipodium Organization (GO:0097581),Lamellipodium Organization,GO:0097581,1076,1538,5,5,0.004646840148698885,0.167133830268186,1.429368029739777,CDH13;CYFIP1;ITGB1;S1PR1;VCL,0.9997662475896321,False
2,Long-Chain Fatty Acid Metabolic Process (GO:0001676),Long-Chain Fatty Acid Metabolic Process,GO:0001676,1076,1538,5,5,0.004646840148698885,0.167133830268186,1.429368029739777,ACSBG1;ALOX5;CYP1A1;EPHX1;FAAH2,0.9997662475896321,False
2,Macroautophagy (GO:0016236),Macroautophagy,GO:0016236,1076,1538,5,5,0.004646840148698885,0.167133830268186,1.429368029739777,CHMP3;ILRUN;PLEKHM1;TCIRG1;VAMP8,0.9997662475896321,False
2,Mesodermal Cell Differentiation (GO:0048333),Mesodermal Cell Differentiation,GO:0048333,1076,1538,5,5,0.004646840148698885,0.167133830268186,1.429368029739777,ITGA3;ITGA8;ITGB1;ITGB3;ITGB4,0.9997662475896321,False
2,Mitochondrial Transport (GO:0006839),Mitochondrial Transport,GO:0006839,1076,1538,5,5,0.004646840148698885,0.167133830268186,1.429368029739777,BAD;BCS1L;STARD3;TIMM10;TSPO,0.9997662475896321,False
2,Mitotic DNA Damage Checkpoint Signaling (GO:0044773),Mitotic DNA Damage Checkpoint Signaling,GO:0044773,1076,1538,5,5,0.004646840148698885,0.167133830268186,1.429368029739777,CCND1;CDKN1A;RPA2;TNFSF13B;TRIM39,0.9997662475896321,False
2,Mitotic G1 DNA Damage Checkpoint Signaling (GO:0031571),Mitotic G1 DNA Damage Checkpoint Signaling,GO:0031571,1076,1538,5,5,0.004646840148698885,0.167133830268186,1.429368029739777,CCND1;CDKN1A;PLK2;RPA2;RPL26,0.9997662475896321,False
2,Mitotic Metaphase Plate Congression (GO:0007080),Mitotic Metaphase Plate Congression,GO:0007080,1076,1538,5,5,0.004646840148698885,0.167133830268186,1.429368029739777,CHMP3;KIF22;KIFC1;MAD1L1;MIS12,0.9997662475896321,False
2,Morphogenesis Of An Epithelium (GO:0002009),Morphogenesis Of An Epithelium,GO:0002009,1076,1538,5,5,0.004646840148698885,0.167133830268186,1.429368029739777,DAG1;PRKX;TBX18;TNC;VCL,0.9997662475896321,False
2,Negative Regulation Of Fibroblast Growth Factor Receptor Signaling Pathway (GO:0040037),Negative Regulation Of Fibroblast Growth Factor Receptor Signaling Pathway,GO:0040037,1076,1538,5,5,0.004646840148698885,0.167133830268186,1.429368029739777,FGF2;SPRY2;SULF1;SULF2;THBS1,0.9997662475896321,False
