raw_gene,variance,rank
U2SURP,9.604899205189402e-05,650
CHIC2,9.592261600310305e-05,651
DAP,9.578304864459508e-05,652
FZD3,9.530184723497939e-05,653
RNF5,9.49606977913597e-05,654
ZBTB8,9.447510209480129e-05,655
CELSR1,9.368601063680109e-05,656
BBS2[nr] | AMEX60DD017844,9.31088639396271e-05,657
CCKAR,9.209661377409465e-05,658
CHMP3,9.113962152462456e-05,659
ARF6,9.066431776786672e-05,660
MYO16,9.023261899541494e-05,661
AVL9,8.995066763361535e-05,662
ZNF189,8.994087093194068e-05,663
RASL11A,8.968137863016528e-05,664
GFRA2,8.948023346303203e-05,665
LSS[nr] | AMEX60DD055534,8.946897097348958e-05,666
EPHB1,8.934939607327109e-05,667
PLP2,8.890083559785865e-05,668
RAPGEF6[nr] | AMEX60DD028902,8.884362942189957e-05,669
RND3,8.882788200851357e-05,670
CTSS,8.863784968311957e-05,671
CDH1,8.858865259729589e-05,672
LRATD1,8.834493362230137e-05,673
USP18,8.827665378686886e-05,674
CALCR,8.770931485133333e-05,675
CD53,8.738947506577728e-05,676
CDO1,8.726387370178898e-05,677
GPR26,8.71831365533673e-05,678
WNT8B,8.710612797682471e-05,679
ECRG4,8.624643485413774e-05,680
ADAM23,8.620943771742227e-05,681
SLC51A,8.584527138846422e-05,682
TMEM184C,8.514181287208766e-05,683
TIMP1,8.50418418314844e-05,684
PELI2,8.459573499361908e-05,685
NCAPH,8.45129871884524e-05,686
ASB6,8.384790792528713e-05,687
AMEX60DD041583,8.375075496781848e-05,688
SHC3,8.359600894026666e-05,689
COMMD9,8.333036836026135e-05,690
CIAO1,8.301674152215937e-05,691
CORO1C[nr] | AMEX60DD000739,8.235548804652514e-05,692
ALDH1A2,8.231641279540633e-05,693
AMEX60DD032087,8.202882757801803e-05,694
POLR2J,8.120131700197953e-05,695
CARTPT__2,8.083287695361623e-05,696
FEZF2,7.98331690344409e-05,697
ILRUN,7.964990067301231e-05,698
IQGAP1,7.956663484100778e-05,699
AMEX60DD039112,7.931468639084453e-05,700
HSPG2,7.900717443767203e-05,701
SCAF8,7.887117820289951e-05,702
BTBD17,7.857699963266502e-05,703
LOC115476426[nr] | AMEX60DD039154,7.775088659872135e-05,704
AKR7L,7.733881388744451e-05,705
CTHRC1,7.711325479828367e-05,706
AMEX60DD051119,7.710388002491639e-05,707
TTF1,7.704851535499677e-05,708
IGFBP1,7.690516729698713e-05,709
RAB37,7.672119133012928e-05,710
SCUBE2,7.643347734555979e-05,711
FGFBP1,7.638444064668246e-05,712
PATJ,7.635841766017462e-05,713
IFT46,7.635677431222388e-05,714
ENG,7.629163094513661e-05,715
AUP1,7.601716396521345e-05,716
BRPF1,7.590355385577676e-05,717
AMEX60DD016039,7.513036922047995e-05,718
MYADM,7.470943270419217e-05,719
CCDC92,7.450062938491908e-05,720
PRDM8,7.420831305588333e-05,721
LOC104058473[nr] | AMEX60DD012398,7.3143566252266e-05,722
LRRC20,7.305071905159764e-05,723
TMEM132B,7.305061763532442e-05,724
DLX6,7.262246282377697e-05,725
LOXL1,7.26036936460945e-05,726
TOR2A,7.24784730309867e-05,727
PKDCC,7.24330640069598e-05,728
POMGNT1,7.217771085416469e-05,729
PTPN2,7.198838170155548e-05,730
IFT80,7.181513218592581e-05,731
GUK1,7.173313771298026e-05,732
CORO1A,7.171272955089315e-05,733
F13A1,7.158145665289351e-05,734
MED8,7.152870400152069e-05,735
LOC115458015[nr] | AMEX60DD009522,7.085979277964142e-05,736
PDGFD,7.067871082700146e-05,737
