raw_gene,variance,rank,display_gene,gene_symbol,raw_cluster,pattern
TMCC1,0.00038850185710431897,331,TMCC1,TMCC1,2,1
SOX19[nr] | AMEX60DD012772,0.00038701621838609107,332,SOX19,SOX19,1,2
MYO1C,0.0003839894096285987,333,MYO1C,MYO1C,2,1
LHFPL6,0.0003733337545770173,334,LHFPL6,LHFPL6,2,1
KCNJ10,0.0003681556610134111,335,KCNJ10,KCNJ10,1,2
NPTX1,0.00036336676307699976,336,NPTX1,NPTX1,1,2
ENPP2[nr] | AMEX60DD040394,0.0003621538452394044,337,ENPP2,ENPP2,1,2
KCTD16,0.0003617601365182494,338,KCTD16,KCTD16,2,1
MED21,0.0003565155108717503,339,MED21,MED21,1,2
STOM,0.00035498540351766366,340,STOM,STOM,1,2
FKBP10,0.0003515544585451338,341,FKBP10,FKBP10,1,2
MIA,0.0003499265421627968,342,MIA,MIA,1,2
FKBP11,0.00034986258560146927,343,FKBP11,FKBP11,1,2
ALDH2,0.0003479526785388346,344,ALDH2,ALDH2,1,2
CASR,0.00034767567034709715,345,CASR,CASR,1,2
PPFIA4,0.0003454364054718284,346,PPFIA4,PPFIA4,2,1
DCN,0.00034535493251404897,347,DCN,DCN,1,2
FBN2,0.00034507267867864587,348,FBN2,FBN2,1,2
EEF1E1,0.00034442506729696356,349,EEF1E1,EEF1E1,1,2
ARPC1B,0.0003391965307881992,350,ARPC1B,ARPC1B,1,2
PHB,0.000338568183995729,351,PHB,PHB,1,2
ANO5,0.00033680493032793335,352,ANO5,ANO5,1,2
KCNG1,0.00033636262943210343,353,KCNG1,KCNG1,2,1
CDH13,0.00033546897005380227,354,CDH13,CDH13,1,2
MYG1,0.0003344563886693203,355,MYG1,MYG1,1,2
PLBD1,0.00033282755147945976,356,PLBD1,PLBD1,1,2
NTS,0.0003290931120098912,357,NTS,NTS,2,1
TYRO3,0.00032646120738440354,358,TYRO3,TYRO3,1,2
CBLN4,0.00032580331579652017,359,CBLN4,CBLN4,1,2
CTSZ,0.00032569408103437156,360,CTSZ,CTSZ,1,2
CAMKK1,0.00032282620513211265,361,CAMKK1,CAMKK1,1,2
BAG6,0.0003202893095311285,362,BAG6,BAG6,1,2
THBS1,0.0003195077450489431,363,THBS1,THBS1,1,2
AMEX60DD046228,0.00031920628653891477,364,AMEX60DD046228,,2,1
CHST8,0.0003186310234279497,365,CHST8,CHST8,2,1
DARPP32,0.0003104220417181049,366,DARPP32,DARPP32,1,2
IL1RAP,0.0003099868047561655,367,IL1RAP,IL1RAP,2,1
CHGB,0.0003070265663957012,368,CHGB,CHGB,2,1
PLPBP,0.00029948015250758395,369,PLPBP,PLPBP,1,2
UBL7,0.0002974649624846444,370,UBL7,UBL7,1,2
SRRM4,0.0002972426047615094,371,SRRM4,SRRM4,2,1
SLC25A18,0.00029683267970588795,372,SLC25A18,SLC25A18,1,2
DCHS2,0.00029646410534685063,373,DCHS2,DCHS2,1,2
STAT1,0.00029527930166024156,374,STAT1,STAT1,1,2
SEMA6A,0.00029398819939919504,375,SEMA6A,SEMA6A,2,1
SMIM18,0.00029325968873517087,376,SMIM18,SMIM18,1,2
AHCYL1,0.0002917742754174581,377,AHCYL1,AHCYL1,1,2
PXN,0.00029139871601829425,378,PXN,PXN,1,2
NPY1R,0.00028686052785340985,379,NPY1R,NPY1R,1,2
GLG1,0.0002865927526783112,380,GLG1,GLG1,1,2
CAVIN2,0.0002863920877668341,381,CAVIN2,CAVIN2,1,2
CHRDL1,0.00028605471065148796,382,CHRDL1,CHRDL1,1,2
DNAH7[nr] | AMEX60DD055246,0.00028587771469335644,383,DNAH7,DNAH7,2,1
AMEX60DD000844,0.0002854207198300422,384,AMEX60DD000844,,2,1
LSM3,0.0002820958691206172,385,LSM3,LSM3,1,2
VWC2,0.00027872669177159116,386,VWC2,VWC2,1,2
ZNF608,0.0002775517732070988,387,ZNF608,ZNF608,1,2
OLFML2A,0.00027719025014235623,388,OLFML2A,OLFML2A,1,2
TAF13,0.00027653739988042227,389,TAF13,TAF13,1,2
SLC12A2__2,0.0002763938425527793,390,SLC12A2__2,SLC12A2__2,1,2
AMEX60DD001888,0.00027522357882182446,391,AMEX60DD001888,,2,1
RNASEL,0.0002722469574490156,392,RNASEL,RNASEL,1,2
GFRA1,0.0002700234443016741,393,GFRA1,GFRA1,1,2
EPHA4,0.00026957335279098767,394,EPHA4,EPHA4,1,2
SLC38A4,0.00026913399407079363,395,SLC38A4,SLC38A4,1,2
GJB6,0.00026884506319942955,396,GJB6,GJB6,1,2
SNX6,0.0002685988660746845,397,SNX6,SNX6,1,2
DUSP12,0.000264893843513552,398,DUSP12,DUSP12,1,2
TSPO,0.00026410065349208,399,TSPO,TSPO,1,2
POLR2I,0.00026232633245688305,400,POLR2I,POLR2I,1,2
PAGR1,0.0002594128694265591,401,PAGR1,PAGR1,1,2
TIMM8A,0.00025852908356631106,402,TIMM8A,TIMM8A,1,2
HEBP1,0.000255644891963231,403,HEBP1,HEBP1,1,2
PRELID1,0.0002550621102389752,404,PRELID1,PRELID1,1,2
SLC6A9,0.0002511433683845391,405,SLC6A9,SLC6A9,1,2
