display_order,title,time,origin,celltype,count,fraction,color
6,2.0 (generated),2.0,generated_global_t0,Mesothelium,49,0.0005163493050359864,#ff8383ff
6,2.0 (generated),2.0,generated_global_t0,Adrenal gland,12,0.00012645289102922115,#d147a3ff
6,2.0 (generated),2.0,generated_global_t0,Smooth muscle,566,0.005964361360211598,#fc5151ff
6,2.0 (generated),2.0,generated_global_t0,Blood vessel,15,0.00015806611378652645,#b3a726ff
6,2.0 (generated),2.0,generated_global_t0,Mesentery,37,0.0003898964140067652,#e71d36ff
6,2.0 (generated),2.0,generated_global_t0,Pancreas,76,0.0008008683098517339,#739b1eff
6,2.0 (generated),2.0,generated_global_t0,Cartilage,25,0.00026344352297754406,#35586dff
6,2.0 (generated),2.0,generated_global_t0,Facial nerve,20,0.00021075481838203527,#dd7936ff
6,2.0 (generated),2.0,generated_global_t0,Sympathetic nerve,24,0.0002529057820584423,#cc5a0dff
6,2.0 (generated),2.0,generated_global_t0,Inner ear,1,1.0537740919101763e-05,#03fff4ff
7,2.5,2.5,generated_global_t0,Lung,1541,0.01526952041220769,#7ec136ff
7,2.5,2.5,generated_global_t0,Brain,26952,0.2670630202140309,#ef833aff
7,2.5,2.5,generated_global_t0,Spinal cord,6591,0.06530915576694411,#f9d5baff
7,2.5,2.5,generated_global_t0,Epidermis,2940,0.029131985731272295,#036df4ff
7,2.5,2.5,generated_global_t0,Liver,5803,0.05750099088386841,#c923b1ff
7,2.5,2.5,generated_global_t0,Jaw and tooth,6416,0.06357510899722553,#f062f9ff
7,2.5,2.5,generated_global_t0,Cavity,11798,0.11690447879508521,#dfdce0ff
7,2.5,2.5,generated_global_t0,Smooth muscle,1274,0.012623860483551328,#fc5151ff
7,2.5,2.5,generated_global_t0,Connective tissue,19612,0.19433214427269124,#0bd3b1ff
7,2.5,2.5,generated_global_t0,Meninges,4086,0.04048751486325802,#dfca43ff
7,2.5,2.5,generated_global_t0,Adipose tissue,1035,0.01025564803804994,#bf024fff
7,2.5,2.5,generated_global_t0,Heart,4121,0.04083432421720174,#d3245aff
7,2.5,2.5,generated_global_t0,Blood vessel,97,0.0009611573523583036,#b3a726ff
7,2.5,2.5,generated_global_t0,Cartilage primordium,2604,0.025802615933412605,#3cb44bff
7,2.5,2.5,generated_global_t0,GI tract,792,0.007847800237812128,#5c5ca6ff
7,2.5,2.5,generated_global_t0,Muscle,1523,0.015091161315893777,#af1041ff
7,2.5,2.5,generated_global_t0,Dorsal root ganglion,2287,0.02266151407055093,#b74c11ff
7,2.5,2.5,generated_global_t0,Mucosal epithelium,510,0.005053507728894174,#2f7dd1ff
7,2.5,2.5,generated_global_t0,Choroid plexus,264,0.002615933412604043,#bd3addff
7,2.5,2.5,generated_global_t0,Sympathetic nerve,25,0.00024772096710265555,#cc5a0dff
7,2.5,2.5,generated_global_t0,Adrenal gland,34,0.00033690051525961157,#d147a3ff
7,2.5,2.5,generated_global_t0,Cartilage,254,0.0025168450257629805,#35586dff
7,2.5,2.5,generated_global_t0,Kidney,261,0.002586206896551724,#62cfe8ff
7,2.5,2.5,generated_global_t0,Facial nerve,23,0.00022790328973444312,#dd7936ff
7,2.5,2.5,generated_global_t0,Pancreas,48,0.0004756242568370987,#739b1eff
7,2.5,2.5,generated_global_t0,Inner ear,22,0.0002179944510503369,#03fff4ff
