condition,condition_label,condition_order,sender_type,receiver_type,pair_label,pair_order,reference_mean_D_AB_state,condition_mean_D_AB_state,condition_percentile,condition_rank_descending,n_directed_pairs
formal_seed43_cutoff1p2,"1.2×, seed 43",9,Spinal Cord Ventral Region,Spinal Cord Ventral Region,Spinal Cord Ventral Region → Spinal Cord Ventral Region,2,8.99144364987238,3.751913010757651,99.5702005730659,4.0,698
formal_seed43_cutoff1p2,"1.2×, seed 43",9,Pigment Cell,Pigment Cell,Pigment Cell → Pigment Cell,3,5.859461148984961,2.6836967482016565,99.2836676217765,6.0,698
formal_seed43_cutoff1p2,"1.2×, seed 43",9,Spinal Cord Dorsal Region,Spinal Cord Dorsal Region,Spinal Cord Dorsal Region → Spinal Cord Dorsal Region,4,5.536850381900846,3.882504876620254,99.7134670487106,3.0,698
formal_seed43_cutoff1p2,"1.2×, seed 43",9,"Musculature System, Yolk Syncytial Layer",Yolk Syncytial Layer,"Musculature System, Yolk Syncytial Layer → Yolk Syncytial Layer",5,4.326627911006477,4.180509192041392,99.8567335243553,2.0,698
formal_seed43_cutoff1p2,"1.2×, seed 43",9,Eye,Eye,Eye → Eye,6,4.22893406444942,2.0305569726060013,98.8538681948424,9.0,698
formal_seed43_cutoff1p2,"1.2×, seed 43",9,Pronephros,Pronephros,Pronephros → Pronephros,7,4.172555226311167,2.086313616639931,98.9971346704871,8.0,698
formal_seed43_cutoff1p2,"1.2×, seed 43",9,Spinal Cord Anterior Region,Spinal Cord Anterior Region,Spinal Cord Anterior Region → Spinal Cord Anterior Region,8,3.632030316478843,2.012039919091964,98.71060171919771,10.0,698
formal_seed43_cutoff1p2,"1.2×, seed 43",9,Nervous System,Spinal Cord Anterior Region,Nervous System → Spinal Cord Anterior Region,9,3.4997444291859767,2.2718301779319114,99.14040114613181,7.0,698
formal_seed43_cutoff1p2,"1.2×, seed 43",9,Nervous System,Nervous System,Nervous System → Nervous System,10,2.5767699415755927,1.5869958560653354,98.28080229226362,13.0,698
formal_seed43_cutoff1p2,"1.2×, seed 43",9,Spinal Cord Ventral Region,Fast Muscle Cell,Spinal Cord Ventral Region → Fast Muscle Cell,11,2.30249348445646,0.9721221890990076,97.85100286532952,16.0,698
