time,cell_index,celltype,current_x,current_y,paper_x,paper_y,direct_spatial_vx,direct_spatial_vy,direct_embedded_vx,direct_embedded_vy,display_direct_embedded_vx_paper_basis,display_direct_embedded_vy_paper_basis,full_embedded_vx,full_embedded_vy,interaction_embedded_vx,interaction_embedded_vy,cosine_full_vs_interaction,in_roi,in_nested_red_display_annotation
1.0,3831,tlNBL,0.6030768,0.004635401,0.5937948226928711,-0.1242664232850074,0.010046221,0.024764057,-0.0024338763,0.0038344152,-0.0020589032081123337,0.004055456367861342,-0.006343557,0.00021986995,0.0010610505,-0.0031304073,-0.35362452,False,False
1.0,3832,VLMC,0.9275749,-0.005962439,0.9493709802627563,-0.1595428586006164,0.02648122,-0.0028311017,0.0025573005,-0.003987771,0.0021672482590518903,-0.0042201509827001415,0.0041005975,-0.0016483575,-0.0026729314,0.0004793214,-0.9791069,False,False
1.0,3833,scgnIN,0.6071154,0.02099149,0.6410812139511108,-0.1249152496457099,0.03120912,0.023524564,0.0025245245,-0.0042264857,0.0021117094057277407,-0.004454973020680668,-0.0063784937,-0.0015422679,0.0009744508,-0.0051428457,0.049960677,False,False
1.0,3834,wntEGC,-0.4786731,0.05315595,-0.4264662861824035,0.0351349934935569,-0.030943858,-0.018094411,-0.0046618986,0.002073421,-0.004448580053950018,0.002513437626750309,-0.009591915,-9.650773e-05,0.007678514,-0.0016956013,-0.9742566,False,False
1.0,3835,MSN,0.560723,0.012061276,0.5659083724021912,-0.1281786859035492,0.032991737,0.013155533,0.0029335348,-0.0034784293,0.00259108485806279,-0.0037484552626337107,-0.007394702,9.664322e-05,0.00086158025,-0.0022157978,-0.37455165,False,False
1.0,3836,scgnIN,-0.7749201,0.05443591,-0.759321928024292,0.0759534239768982,-0.036934152,-0.011412038,-0.0027554077,0.0031990807,-0.0024402782410759194,0.0034529254051286437,0.0009990181,-0.0023176128,1.0990344e-05,0.006236244,-0.9176183,False,False
1.0,3837,scgnIN,0.6244464,0.03187713,0.6471235156059265,-0.1259069293737411,0.032090373,0.0152357,0.0025809668,-0.0043591224,0.0021552685571727425,-0.004592597747830424,-0.00450868,-0.0003110249,0.0026913348,-0.0056970455,-0.36390564,False,False
1.0,3838,dpEX,-0.1605571,0.05000431,-0.1595366597175598,-0.008920818567276,-0.030910544,-0.04318472,0.003107514,-0.0029801037,0.002812249236199895,-0.0032683671434918025,0.005722313,0.0061556827,0.00054666534,-0.003945107,-0.6320346,False,False
1.0,3839,wntEGC,-0.45911852,0.0808105,-0.4111907482147217,0.0239862482994794,-0.015624661,-0.011544395,-0.0034364911,0.003307775,-0.0031088012098817557,0.003626516911236558,-0.0017498398,-0.00056565343,0.0040349215,-0.0014779042,-0.78768146,False,False
1.0,3840,obNBL,0.70092756,-0.041228533,0.6873077750205994,-0.1421312093734741,0.031519637,0.026226679,0.0033106708,-0.002979224,0.003014849399571087,-0.0032869504557134503,-0.0009034114,-0.001978519,-0.0017563296,0.004478793,-0.695233,False,False
1.0,3841,mpEX,-0.42514944,0.051451582,-0.4132589995861053,0.0448428019881248,-0.023981022,-0.026001234,0.002140375,-0.004145188,0.0017365594249391554,-0.004337134318853874,-0.009430945,0.0002737892,0.0036102335,-0.0002960021,-0.99860734,False,False
1.0,3842,scgnIN,-0.71311444,0.05582562,-0.7008653879165649,0.0413351729512214,-0.051392805,0.00109313,-0.0033296724,0.0031050032,-0.003021742753929068,0.003414152843929145,0.0015887617,-0.0008876062,-0.0012945787,-0.001976791,-0.070265144,False,False
1.0,3843,MSN,0.6326058,0.034463838,0.6607884764671326,-0.1319665759801864,0.030026406,0.032100648,-0.0028456426,0.004407263,-0.0024144980249086573,0.004665939405491529,-0.008035744,0.001206851,0.0030382434,-0.0055929045,-0.6025586,False,False
1.0,3844,ribEGC,0.52447826,-0.01514972,0.5443195104598999,-0.132813811302185,0.011252121,0.02440859,-0.003786799,0.0031441627,-0.003473676161489823,0.0034969765127093456,0.0005156356,-0.00020980004,0.0014015618,-0.0009966269,0.9732762,False,False
1.0,3845,wntEGC,0.44103283,0.01736578,0.4588038623332977,-0.0909286886453628,-0.049467657,0.0035823719,-0.0025673269,0.004700078,-0.00210901189028035,0.0049311713110935795,0.004077652,0.0037396282,0.0074625877,0.0052163783,0.99128395,False,False
1.0,3846,mpEX,-0.32169166,0.049985543,-0.318695068359375,0.0160967949777841,-0.026944935,-0.028231455,0.0034525725,-0.0035920385,0.003097602553004179,-0.003911424136853521,0.0025707302,0.0024998242,-0.007644752,-0.0018516446,-0.8608898,False,False
1.0,3847,tlNBL,-0.600761,0.016611584,-0.5767306089401245,0.0173573624342679,-0.052078,-0.0038652117,-0.0034508149,0.0034768416,-0.003106885046174647,0.0037964222903212365,0.008742745,-0.0022471573,-0.0047626914,0.0057196477,-0.8110492,False,False
1.0,3848,MSN,-0.78206986,0.051806428,-0.7761410474777222,0.057066909968853,-0.04062232,0.0016754842,-0.0031186682,0.002959392,-0.002825352212771935,0.003248789254324445,-0.0003076809,0.0006243244,-0.0016786472,0.0040578116,0.9978463,False,False
1.0,3849,mpEX,0.27332368,0.049001545,0.2844400703907013,-0.0868040919303894,-0.031909578,-0.021863876,-0.0033126685,0.0035479427,-0.0029623638483534803,0.00385406621071878,-0.000105338804,0.007459979,0.00082316576,0.0008425404,0.7053449,False,False
1.0,3850,nptxEX,-0.7283918,0.045673177,-0.7408429980278015,0.0622388198971748,-0.048109576,-0.0033726555,-0.0030882324,0.0033981677,-0.0027529825435401987,0.003683265178177853,0.0012875696,0.0007746488,0.0017351449,0.0015839629,0.980411,False,False
