pair_id,center_time,normalized_prominence
"[""Col1a2"",""Itga10_Itgb1""]",0.5,0.10151235340078446
"[""Col1a2"",""Itga11_Itgb1""]",0.5,-0.03729619876725154
"[""Col1a2"",""Itga1_Itgb1""]",0.5,-0.03160936089521238
"[""Col1a2"",""Itga2_Itgb1""]",0.5,-0.05610244526814501
"[""Col1a2"",""Itga3_Itgb1""]",0.5,-0.023982225215903097
"[""Col1a2"",""Itga9_Itgb1""]",0.5,-0.0690743092838012
"[""Col1a2"",""Itgav_Itgb8""]",0.5,-0.06406177900488252
"[""Col1a2"",""Sdc1""]",0.5,-0.034876954567754304
"[""Col1a2"",""Sdc4""]",0.5,0.12235699049715265
"[""Col2a1"",""Cd44""]",0.5,0.2527509255543836
"[""Col2a1"",""Gp6""]",0.5,-0.004998161628998465
"[""Col2a1"",""Itga10_Itgb1""]",0.5,-0.09192428597997993
"[""Col2a1"",""Itga11_Itgb1""]",0.5,-0.12435550625347513
"[""Col2a1"",""Itga1_Itgb1""]",0.5,-0.07903686775742003
"[""Col2a1"",""Itga2_Itgb1""]",0.5,-0.10139208464449267
"[""Col2a1"",""Itga3_Itgb1""]",0.5,-0.06453433231534489
"[""Col2a1"",""Itga9_Itgb1""]",0.5,-0.14203669719837092
"[""Col2a1"",""Itgav_Itgb8""]",0.5,-0.1358178859243387
"[""Col2a1"",""Sdc1""]",0.5,-0.11807407374144652
"[""Col2a1"",""Sdc4""]",0.5,-0.04753417021112316
"[""Col4a1"",""Cd44""]",0.5,0.2988873062849765
"[""Col4a1"",""Gp6""]",0.5,-0.11462795910377643
"[""Col4a1"",""Itga10_Itgb1""]",0.5,0.03951301882923608
"[""Col4a1"",""Itga11_Itgb1""]",0.5,-0.08197675082814493
"[""Col4a1"",""Itga1_Itgb1""]",0.5,-0.09770953375896818
"[""Col4a1"",""Itga2_Itgb1""]",0.5,-0.10887629035385393
"[""Col4a1"",""Itga3_Itgb1""]",0.5,-0.08913888901507805
"[""Col4a1"",""Itga9_Itgb1""]",0.5,-0.1119324579242123
"[""Col4a1"",""Itgav_Itgb8""]",0.5,-0.10902688434548907
"[""Col4a1"",""Sdc1""]",0.5,-0.0830954752851738
"[""Col4a1"",""Sdc4""]",0.5,0.031711733794981156
"[""Col4a2"",""Cd44""]",0.5,0.2927934623442021
"[""Col4a2"",""Gp6""]",0.5,-0.10773202355655753
"[""Col4a2"",""Itga10_Itgb1""]",0.5,0.029013952036714086
"[""Col4a2"",""Itga11_Itgb1""]",0.5,-0.08259278178586349
"[""Col4a2"",""Itga1_Itgb1""]",0.5,-0.0946806416262117
"[""Col4a2"",""Itga2_Itgb1""]",0.5,-0.10711904003575279
"[""Col4a2"",""Itga3_Itgb1""]",0.5,-0.089594000761542
"[""Col4a2"",""Itga9_Itgb1""]",0.5,-0.11665349952334364
"[""Col4a2"",""Itgav_Itgb8""]",0.5,-0.11514118408867152
"[""Col4a2"",""Sdc1""]",0.5,-0.08660930338325001
"[""Col4a2"",""Sdc4""]",0.5,0.021087173488533284
"[""Col4a3"",""Cd44""]",0.5,0.5872221257842319
"[""Col4a3"",""Gp6""]",0.5,-0.10803079952279182
"[""Col4a3"",""Itga10_Itgb1""]",0.5,0.030776779541061172
"[""Col4a3"",""Itga11_Itgb1""]",0.5,-0.07872752865190946
"[""Col4a3"",""Itga1_Itgb1""]",0.5,-0.08976033660867688
"[""Col4a3"",""Itga2_Itgb1""]",0.5,-0.1062562095874699
"[""Col4a3"",""Itga3_Itgb1""]",0.5,-0.09455913130261406
"[""Col4a3"",""Itga9_Itgb1""]",0.5,-0.11892329926676093
"[""Col4a3"",""Itgav_Itgb8""]",0.5,-0.12344645483655337
"[""Col4a3"",""Sdc1""]",0.5,-0.08804239918075096
"[""Col4a3"",""Sdc4""]",0.5,0.012237992453010604
"[""Col4a4"",""Cd44""]",0.5,0.8302493576696157
"[""Col4a4"",""Gp6""]",0.5,-0.08911132309436376
"[""Col4a4"",""Itga10_Itgb1""]",0.5,0.05281036969251052
"[""Col4a4"",""Itga11_Itgb1""]",0.5,-0.062219448720844506
"[""Col4a4"",""Itga1_Itgb1""]",0.5,-0.0713219890111304
