variant,reference,timepoint,velocity_key,celltype,n_cells,mean_cosine_rigid_adjusted,median_cosine_rigid_adjusted
translate_low,baseline_repeat,D10,full,MT-enriched cardiomyocytes,11,0.9937424525735278,0.9982501211066975
translate_low,baseline_repeat,D10,full,Macrophages,3,0.952223604141475,0.9710846952730681
translate_low,baseline_repeat,D10,full,Mural cells,3,0.9965550883881455,0.9958173465180514
translate_low,baseline_repeat,D10,full,TMSB4X high cells,13,0.9945478404968026,0.9989553520030725
translate_low,baseline_repeat,D10,full,Valve cells,46,0.9971473001770473,0.9989550746230411
translate_low,baseline_repeat,D10,full,Vascular endothelial cells,50,0.9974147589154023,0.9993426268401884
translate_low,baseline_repeat,D10,interaction,Cardiomyocytes-1,225,0.9624528911297133,0.9958816947793621
translate_low,baseline_repeat,D10,interaction,Endocardial cells,65,0.9723395790029188,0.9973050599606585
translate_low,baseline_repeat,D10,interaction,Epi-epithelial cells,84,0.7051580531815903,0.9766634995700427
translate_low,baseline_repeat,D10,interaction,Erythrocytes,133,0.8590695642920632,0.9941349066550179
translate_low,baseline_repeat,D10,interaction,Fibroblast cells,11,0.8517065683483659,0.9800728861460565
translate_low,baseline_repeat,D10,interaction,Immature myocardial cells,263,0.9698353955557967,0.9946400800191665
translate_low,baseline_repeat,D10,interaction,MT-enriched cardiomyocytes,11,0.9607968845833526,0.9986772015074126
translate_low,baseline_repeat,D10,interaction,Mural cells,3,0.840841019418002,0.9855904976400486
translate_low,baseline_repeat,D10,interaction,TMSB4X high cells,13,0.9852282023778396,0.9930760460295616
translate_low,baseline_repeat,D10,interaction,Valve cells,46,0.9216641718919267,0.9840727937720272
translate_low,baseline_repeat,D10,interaction,Vascular endothelial cells,50,0.9673524747673465,0.9935934302235142
translate_low,baseline_repeat,D14,full,Cardiomyocytes-1,977,0.9894387915822858,0.999313067553132
translate_low,baseline_repeat,D14,full,Cardiomyocytes-2,1,0.9930618662817188,0.9930618662817188
translate_low,baseline_repeat,D14,full,Endocardial cells,28,0.997255981724397,0.9987251213946926
translate_low,baseline_repeat,D14,full,Epi-epithelial cells,6,0.9998275865441372,0.9999196900344046
translate_low,baseline_repeat,D14,full,Erythrocytes,241,0.9932398565085442,0.9995821246952096
translate_low,baseline_repeat,D14,full,Fibroblast cells,264,0.9936943004091151,0.9990668323735907
translate_low,baseline_repeat,D14,full,Immature myocardial cells,203,0.9956145145387566,0.9996963463811044
translate_low,baseline_repeat,D14,full,Macrophages,3,0.9532876860244371,0.9570001356504784
translate_low,baseline_repeat,D14,full,Mural cells,46,0.9864301912031833,0.9987921747332237
translate_low,baseline_repeat,D14,full,TMSB4X high cells,101,0.9989630407307074,0.9998149148766649
translate_low,baseline_repeat,D14,full,Valve cells,20,0.997849078610362,0.9997014182420966
translate_low,baseline_repeat,D14,full,Vascular endothelial cells,77,0.9952557047758457,0.9973513859492439
translate_low,baseline_repeat,D14,interaction,Cardiomyocytes-1,977,0.9575590665423475,0.9963042184723566
translate_low,baseline_repeat,D14,interaction,Endocardial cells,28,0.915671322168479,0.9989060165312434
translate_low,baseline_repeat,D14,interaction,Epi-epithelial cells,6,0.9767237147410911,0.9927820372447184
translate_low,baseline_repeat,D14,interaction,Erythrocytes,241,0.8765174638495354,0.9910349630128107
translate_low,baseline_repeat,D14,interaction,Fibroblast cells,264,0.8919690864629952,0.9884965204853977
translate_low,baseline_repeat,D14,interaction,Immature myocardial cells,203,0.9627549226275733,0.9959685894452136
translate_low,baseline_repeat,D14,interaction,Mural cells,46,0.8747140589289041,0.9877580064136564
translate_low,baseline_repeat,D14,interaction,TMSB4X high cells,101,0.949290426933751,0.9922716004072187
translate_low,baseline_repeat,D14,interaction,Valve cells,20,0.7965535567172742,0.9613571074405212
translate_low,baseline_repeat,D14,interaction,Vascular endothelial cells,77,0.9660849007930904,0.9963073557071618
translate_moderate,baseline_repeat,D4,full,Cardiomyocytes-1,1,0.9937221345083196,0.9937221345083196
translate_moderate,baseline_repeat,D4,full,Endocardial cells,32,0.9966893249774025,0.998361933067064
translate_moderate,baseline_repeat,D4,full,Epi-epithelial cells,2,0.9988468929177443,0.9988468929177443
translate_moderate,baseline_repeat,D4,full,Immature myocardial cells,61,0.9985824139275273,0.999701226480272
translate_moderate,baseline_repeat,D4,full,TMSB4X high cells,5,0.9996531758716246,0.9995995921282994
translate_moderate,baseline_repeat,D4,full,Valve cells,46,0.9754405197918069,0.9971425484539622
translate_moderate,baseline_repeat,D4,interaction,Cardiomyocytes-1,1,0.9945917687612698,0.9945917687612698
translate_moderate,baseline_repeat,D4,interaction,Endocardial cells,32,0.9952333809360129,0.9995272824758517
translate_moderate,baseline_repeat,D4,interaction,Epi-epithelial cells,2,0.9999857982355678,0.9999857982355678
translate_moderate,baseline_repeat,D4,interaction,Immature myocardial cells,61,0.9933975017276949,0.9998792467330874
translate_moderate,baseline_repeat,D4,interaction,TMSB4X high cells,5,0.9998432418759524,0.999889754635012
translate_moderate,baseline_repeat,D4,interaction,Valve cells,46,0.9924336817871268,0.9972298089779041
translate_moderate,baseline_repeat,D7,full,Cardiomyocytes-1,79,0.9936354352539399,0.9981444733582808
translate_moderate,baseline_repeat,D7,full,Cardiomyocytes-2,10,0.9910472064290061,0.9960442801569587
translate_moderate,baseline_repeat,D7,full,Endocardial cells,89,0.9623457446219458,0.9956378480655798
translate_moderate,baseline_repeat,D7,full,Epi-epithelial cells,36,0.994320124723975,0.998419722541583
translate_moderate,baseline_repeat,D7,full,Erythrocytes,34,0.987381808261608,0.9934294443552971
translate_moderate,baseline_repeat,D7,full,Fibroblast cells,1,0.9997987597897308,0.9997987597897308
translate_moderate,baseline_repeat,D7,full,Immature myocardial cells,202,0.981676947984694,0.9964361359842154
translate_moderate,baseline_repeat,D7,full,MT-enriched cardiomyocytes,18,0.9989875179959946,0.9996987817304663
translate_moderate,baseline_repeat,D7,full,Macrophages,3,0.997830106392529,0.9973257265191637
translate_moderate,baseline_repeat,D7,full,Valve cells,54,0.9951197683443682,0.9983250031810325
translate_moderate,baseline_repeat,D7,full,Vascular endothelial cells,2,0.9891588208502795,0.9891588208502795
translate_moderate,baseline_repeat,D7,interaction,Cardiomyocytes-1,79,0.9842128757085556,0.9991915590892507
translate_moderate,baseline_repeat,D7,interaction,Cardiomyocytes-2,10,0.9492654603228209,0.9815287592579689
translate_moderate,baseline_repeat,D7,interaction,Endocardial cells,89,0.9960359001332797,0.9994108548240972
translate_moderate,baseline_repeat,D7,interaction,Epi-epithelial cells,36,0.9983883234723859,0.9997191040181321
translate_moderate,baseline_repeat,D7,interaction,Erythrocytes,34,0.9327429477735176,0.9988951736316161
translate_moderate,baseline_repeat,D7,interaction,Fibroblast cells,1,0.999912191984883,0.999912191984883
translate_moderate,baseline_repeat,D7,interaction,Immature myocardial cells,202,0.961992126542354,0.9981794968221412
translate_moderate,baseline_repeat,D7,interaction,MT-enriched cardiomyocytes,18,0.999177611042295,0.9999572969576369
translate_moderate,baseline_repeat,D7,interaction,Macrophages,1,0.9999993850380595,0.9999993850380595
translate_moderate,baseline_repeat,D7,interaction,Valve cells,54,0.9640534182739031,0.9920438823873754
translate_moderate,baseline_repeat,D7,interaction,Vascular endothelial cells,2,0.9977084541413147,0.9977084541413147
translate_moderate,baseline_repeat,D10,full,Cardiomyocytes-1,225,0.9855428641046515,0.9976608581508074
translate_moderate,baseline_repeat,D10,full,Endocardial cells,65,0.9936098708704332,0.9987384116514983
translate_moderate,baseline_repeat,D10,full,Epi-epithelial cells,84,0.981948967974498,0.9986342001840147
translate_moderate,baseline_repeat,D10,full,Erythrocytes,133,0.9946777948419132,0.9986795208737237
translate_moderate,baseline_repeat,D10,full,Fibroblast cells,12,0.9947440117658776,0.9971569613462645
translate_moderate,baseline_repeat,D10,full,Immature myocardial cells,263,0.980784637154978,0.9980978815136083
translate_moderate,baseline_repeat,D10,full,MT-enriched cardiomyocytes,11,0.9953148643110539,0.9974175570581124
translate_moderate,baseline_repeat,D10,full,Macrophages,3,0.9746449889125349,0.9840326145658245
translate_moderate,baseline_repeat,D10,full,Mural cells,3,0.9965595909462394,0.9968500658126209
translate_moderate,baseline_repeat,D10,full,TMSB4X high cells,13,0.9935586331371749,0.9985751062982395
translate_moderate,baseline_repeat,D10,full,Valve cells,46,0.9981026715217357,0.9995944599635571
translate_moderate,baseline_repeat,D10,full,Vascular endothelial cells,50,0.9955509754626746,0.9976802715872711
translate_moderate,baseline_repeat,D10,interaction,Cardiomyocytes-1,225,0.8707799679137657,0.9866273498088003
translate_moderate,baseline_repeat,D10,interaction,Endocardial cells,65,0.9059176299663639,0.9878110692082902
translate_moderate,baseline_repeat,D10,interaction,Epi-epithelial cells,84,0.76365545845915,0.994968510865135
translate_moderate,baseline_repeat,D10,interaction,Erythrocytes,133,0.8487661030624782,0.9848487433246467
translate_moderate,baseline_repeat,D10,interaction,Fibroblast cells,11,0.8129482293453457,0.9857402640153652
translate_moderate,baseline_repeat,D10,interaction,Immature myocardial cells,263,0.9015685691984138,0.9864093271932844
translate_moderate,baseline_repeat,D10,interaction,MT-enriched cardiomyocytes,11,0.8977201621603996,0.9974709388268783
translate_moderate,baseline_repeat,D10,interaction,Mural cells,3,0.7624110589212004,0.8358627117993983
translate_moderate,baseline_repeat,D10,interaction,TMSB4X high cells,13,0.9694946128134957,0.9932344799701242
translate_moderate,baseline_repeat,D10,interaction,Valve cells,46,0.7467063035610334,0.9139999198097064
translate_moderate,baseline_repeat,D10,interaction,Vascular endothelial cells,50,0.9244003873046541,0.9814151077370302
translate_moderate,baseline_repeat,D14,full,Cardiomyocytes-1,977,0.9891508569313774,0.9991738891300161
translate_moderate,baseline_repeat,D14,full,Cardiomyocytes-2,1,0.989681341696894,0.989681341696894
translate_moderate,baseline_repeat,D14,full,Endocardial cells,28,0.9972892735869724,0.9987915709549394
translate_moderate,baseline_repeat,D14,full,Epi-epithelial cells,6,0.9983496100959002,0.998448908888222
translate_moderate,baseline_repeat,D14,full,Erythrocytes,241,0.9964268149959846,0.9990571567603926
translate_moderate,baseline_repeat,D14,full,Fibroblast cells,264,0.9918147427903452,0.9986325578148398
translate_moderate,baseline_repeat,D14,full,Immature myocardial cells,203,0.9965905786468094,0.9992993509734228
translate_moderate,baseline_repeat,D14,full,Macrophages,3,0.5724213005752532,0.9874070733734895
translate_moderate,baseline_repeat,D14,full,Mural cells,46,0.9897317203857977,0.9993814415155644
translate_moderate,baseline_repeat,D14,full,TMSB4X high cells,101,0.9983786310693011,0.9994291939375263
translate_moderate,baseline_repeat,D14,full,Valve cells,20,0.9957577184283524,0.9971918048975372
translate_moderate,baseline_repeat,D14,full,Vascular endothelial cells,77,0.9936222866114559,0.9983650109434868
translate_moderate,baseline_repeat,D14,interaction,Cardiomyocytes-1,977,0.8874275267115813,0.9899131568127348
translate_moderate,baseline_repeat,D14,interaction,Endocardial cells,28,0.9440482434640849,0.9949732804087672
