condition,sender_type,receiver_type,raw_attention_mean,n_directed_edges,zero_completed_no_edge,rank_from_top,n_complete_directed_type_pairs
trained,"Yolk Syncytial Layer, Periderm",Hatching Gland,0.44604834914207458,1,False,17,196
trained,"Yolk Syncytial Layer, Periderm","Immature Eye, Midbrain",0,0,True,119,196
trained,"Yolk Syncytial Layer, Periderm",Nervous System,0,0,True,119,196
trained,"Yolk Syncytial Layer, Periderm",Neural Crest,0,0,True,119,196
trained,"Yolk Syncytial Layer, Periderm","Neural Crest, Otic Vesicle",0,0,True,119,196
trained,"Yolk Syncytial Layer, Periderm",Notochord,0,0,True,119,196
trained,"Yolk Syncytial Layer, Periderm",Pronephros,0,0,True,119,196
trained,"Yolk Syncytial Layer, Periderm","Segmental Plate, Tail Bud",0,0,True,119,196
trained,"Yolk Syncytial Layer, Periderm",Somite,0,0,True,119,196
trained,"Yolk Syncytial Layer, Periderm",Yolk Syncytial Layer,0,0,True,119,196
trained,"Yolk Syncytial Layer, Periderm","Yolk Syncytial Layer, Periderm",0,0,True,119,196
pre_interaction,Angioblastic Mesenchymal Cell,Angioblastic Mesenchymal Cell,0.032323741447419875,389,False,62,196
pre_interaction,Angioblastic Mesenchymal Cell,Erythroid Lineage Cell,0,0,True,119,196
pre_interaction,Angioblastic Mesenchymal Cell,Forebrain,0.033561349150877912,79,False,48,196
pre_interaction,Angioblastic Mesenchymal Cell,Hatching Gland,0.045597872273488438,11,False,7,196
pre_interaction,Angioblastic Mesenchymal Cell,"Immature Eye, Midbrain",0.03131730319000775,8,False,77,196
pre_interaction,Angioblastic Mesenchymal Cell,Nervous System,0.033093678411738575,87,False,55,196
pre_interaction,Angioblastic Mesenchymal Cell,Neural Crest,0.031555221966383086,242,False,74,196
pre_interaction,Angioblastic Mesenchymal Cell,"Neural Crest, Otic Vesicle",0.031333157585726801,9,False,76,196
pre_interaction,Angioblastic Mesenchymal Cell,Notochord,0.031177914390961282,6,False,80,196
pre_interaction,Angioblastic Mesenchymal Cell,Pronephros,0,0,True,119,196
pre_interaction,Angioblastic Mesenchymal Cell,"Segmental Plate, Tail Bud",0,0,True,119,196
pre_interaction,Angioblastic Mesenchymal Cell,Somite,0.033910755600248019,7,False,44,196
pre_interaction,Angioblastic Mesenchymal Cell,Yolk Syncytial Layer,0,0,True,119,196
pre_interaction,Angioblastic Mesenchymal Cell,"Yolk Syncytial Layer, Periderm",0,0,True,119,196
pre_interaction,Erythroid Lineage Cell,Angioblastic Mesenchymal Cell,0,0,True,119,196
pre_interaction,Erythroid Lineage Cell,Erythroid Lineage Cell,0.034968917910521292,728,False,41,196
pre_interaction,Erythroid Lineage Cell,Forebrain,0,0,True,119,196
pre_interaction,Erythroid Lineage Cell,Hatching Gland,0,0,True,119,196
pre_interaction,Erythroid Lineage Cell,"Immature Eye, Midbrain",0,0,True,119,196
pre_interaction,Erythroid Lineage Cell,Nervous System,0.038624849702630699,7,False,24,196
pre_interaction,Erythroid Lineage Cell,Neural Crest,0,0,True,119,196
pre_interaction,Erythroid Lineage Cell,"Neural Crest, Otic Vesicle",0,0,True,119,196
pre_interaction,Erythroid Lineage Cell,Notochord,0.03511258269675438,61,False,39,196
pre_interaction,Erythroid Lineage Cell,Pronephros,0.033302477313851775,49,False,52,196
