trajectory_kind,pair_id,ligand,receptor,pair,cell_type,expected_n_times,observed_n_times,requested_times,observed_times,missing_times,complete_time_grid,total_score,nonzero_n_times,requested_subunits,missing_pca_subunits,inactive_pca_subunits,retained,drop_reason,expression_unavailable_times,n_expression_unavailable_times
pair,"[""BMP5"",""BMPR1A_ACVR2B""]",BMP5,BMPR1A_ACVR2B,BMP5_BMPR1A_ACVR2B,,9,0,"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",[],"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",False,0.0,0,ACVR2B;BMP5;BMPR1A,ACVR2B,,False,not_scoreable_in_uniform_active_pca_universe,,
pair,"[""BMP5"",""BMPR1B_ACVR2A""]",BMP5,BMPR1B_ACVR2A,BMP5_BMPR1B_ACVR2A,,9,0,"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",[],"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",False,0.0,0,ACVR2A;BMP5;BMPR1B,BMPR1B,,False,not_scoreable_in_uniform_active_pca_universe,,
pair,"[""BMP5"",""BMPR1B_ACVR2B""]",BMP5,BMPR1B_ACVR2B,BMP5_BMPR1B_ACVR2B,,9,0,"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",[],"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",False,0.0,0,ACVR2B;BMP5;BMPR1B,ACVR2B;BMPR1B,,False,not_scoreable_in_uniform_active_pca_universe,,
pair,"[""BMP5"",""BMPR1B_BMPR2""]",BMP5,BMPR1B_BMPR2,BMP5_BMPR1B_BMPR2,,9,0,"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",[],"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",False,0.0,0,BMP5;BMPR1B;BMPR2,BMPR1B,,False,not_scoreable_in_uniform_active_pca_universe,,
pair,"[""BMP6"",""ACVR1_ACVR2A""]",BMP6,ACVR1_ACVR2A,BMP6_ACVR1_ACVR2A,,9,0,"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",[],"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",False,0.0,0,ACVR1;ACVR2A;BMP6,ACVR1,,False,not_scoreable_in_uniform_active_pca_universe,,
pair,"[""BMP6"",""ACVR1_ACVR2B""]",BMP6,ACVR1_ACVR2B,BMP6_ACVR1_ACVR2B,,9,0,"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",[],"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",False,0.0,0,ACVR1;ACVR2B;BMP6,ACVR1;ACVR2B,,False,not_scoreable_in_uniform_active_pca_universe,,
pair,"[""BMP6"",""ACVR1_BMPR2""]",BMP6,ACVR1_BMPR2,BMP6_ACVR1_BMPR2,,9,0,"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",[],"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",False,0.0,0,ACVR1;BMP6;BMPR2,ACVR1,,False,not_scoreable_in_uniform_active_pca_universe,,
pair,"[""BMP6"",""BMPR1A_ACVR2B""]",BMP6,BMPR1A_ACVR2B,BMP6_BMPR1A_ACVR2B,,9,0,"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",[],"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",False,0.0,0,ACVR2B;BMP6;BMPR1A,ACVR2B,,False,not_scoreable_in_uniform_active_pca_universe,,
pair,"[""BMP6"",""BMPR1B_ACVR2A""]",BMP6,BMPR1B_ACVR2A,BMP6_BMPR1B_ACVR2A,,9,0,"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",[],"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",False,0.0,0,ACVR2A;BMP6;BMPR1B,BMPR1B,,False,not_scoreable_in_uniform_active_pca_universe,,
pair,"[""BMP6"",""BMPR1B_ACVR2B""]",BMP6,BMPR1B_ACVR2B,BMP6_BMPR1B_ACVR2B,,9,0,"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",[],"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",False,0.0,0,ACVR2B;BMP6;BMPR1B,ACVR2B;BMPR1B,,False,not_scoreable_in_uniform_active_pca_universe,,
pair,"[""BMP6"",""BMPR1B_BMPR2""]",BMP6,BMPR1B_BMPR2,BMP6_BMPR1B_BMPR2,,9,0,"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",[],"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",False,0.0,0,BMP6;BMPR1B;BMPR2,BMPR1B,,False,not_scoreable_in_uniform_active_pca_universe,,
pair,"[""BMP7"",""ACVR1_ACVR2A""]",BMP7,ACVR1_ACVR2A,BMP7_ACVR1_ACVR2A,,9,0,"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",[],"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",False,0.0,0,ACVR1;ACVR2A;BMP7,ACVR1,,False,not_scoreable_in_uniform_active_pca_universe,,
pair,"[""BMP7"",""ACVR1_ACVR2B""]",BMP7,ACVR1_ACVR2B,BMP7_ACVR1_ACVR2B,,9,0,"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",[],"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",False,0.0,0,ACVR1;ACVR2B;BMP7,ACVR1;ACVR2B,,False,not_scoreable_in_uniform_active_pca_universe,,
pair,"[""BMP7"",""ACVR1_BMPR2""]",BMP7,ACVR1_BMPR2,BMP7_ACVR1_BMPR2,,9,0,"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",[],"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",False,0.0,0,ACVR1;BMP7;BMPR2,ACVR1,,False,not_scoreable_in_uniform_active_pca_universe,,
pair,"[""BMP7"",""BMPR1A_ACVR2B""]",BMP7,BMPR1A_ACVR2B,BMP7_BMPR1A_ACVR2B,,9,0,"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",[],"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",False,0.0,0,ACVR2B;BMP7;BMPR1A,ACVR2B,,False,not_scoreable_in_uniform_active_pca_universe,,
pair,"[""BMP7"",""BMPR1B_ACVR2A""]",BMP7,BMPR1B_ACVR2A,BMP7_BMPR1B_ACVR2A,,9,0,"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",[],"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",False,0.0,0,ACVR2A;BMP7;BMPR1B,BMPR1B,,False,not_scoreable_in_uniform_active_pca_universe,,
pair,"[""BMP7"",""BMPR1B_ACVR2B""]",BMP7,BMPR1B_ACVR2B,BMP7_BMPR1B_ACVR2B,,9,0,"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",[],"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",False,0.0,0,ACVR2B;BMP7;BMPR1B,ACVR2B;BMPR1B,,False,not_scoreable_in_uniform_active_pca_universe,,
