time,pair_id,ligand,receptor,pair,cell_type,incoming,outgoing,total,n_cells,n_expression_cells,expression_supported
3.5,"[""ADIPOQ"",""ADIPOR1""]",ADIPOQ,ADIPOR1,ADIPOQ_ADIPOR1,MSN,0.00014642612320904552,7.650771243575074e-05,0.00022293383564479625,2523,2523,True
3.5,"[""ADIPOQ"",""ADIPOR1""]",ADIPOQ,ADIPOR1,ADIPOQ_ADIPOR1,CMPN,7.350890435326189e-05,5.287145862087656e-05,0.00012638036297413845,1352,1352,True
3.5,"[""ADIPOQ"",""ADIPOR1""]",ADIPOQ,ADIPOR1,ADIPOQ_ADIPOR1,mpEX,6.17455092623698e-05,6.011622293154022e-05,0.00012186173219391001,1012,1012,True
3.5,"[""ADIPOQ"",""ADIPOR1""]",ADIPOQ,ADIPOR1,ADIPOQ_ADIPOR1,dpEX,4.426944398662806e-05,3.892185485563931e-05,8.319129884226738e-05,671,671,True
3.5,"[""ADIPOQ"",""ADIPOR1""]",ADIPOQ,ADIPOR1,ADIPOQ_ADIPOR1,VLMC,2.8241066902501113e-05,1.5591174247955824e-05,4.383224115045694e-05,1136,1136,True
3.5,"[""ADIPOQ"",""ADIPOR1""]",ADIPOQ,ADIPOR1,ADIPOQ_ADIPOR1,sstIN,9.517981231210727e-06,1.2726985655175901e-05,2.2244966886386628e-05,216,216,True
4.0,"[""ADIPOQ"",""ADIPOR1""]",ADIPOQ,ADIPOR1,ADIPOQ_ADIPOR1,sfrpEGC,0.0004370061578156798,0.0005747035571192307,0.0010117097149349105,337,337,True
4.0,"[""ADIPOQ"",""ADIPOR1""]",ADIPOQ,ADIPOR1,ADIPOQ_ADIPOR1,wntEGC,0.0004450883626220207,0.0002480919661946683,0.000693180328816689,968,968,True
4.0,"[""ADIPOQ"",""ADIPOR1""]",ADIPOQ,ADIPOR1,ADIPOQ_ADIPOR1,dpEX,4.64335062423539e-07,1.9472093161573544e-05,1.9936428223997085e-05,582,582,True
4.0,"[""ADIPOQ"",""ADIPOR1""]",ADIPOQ,ADIPOR1,ADIPOQ_ADIPOR1,CMPN,1.0900157459147515e-06,1.5097002211636611e-05,1.6187017957551363e-05,848,848,True
4.0,"[""ADIPOQ"",""ADIPOR1""]",ADIPOQ,ADIPOR1,ADIPOQ_ADIPOR1,nptxEX,1.0432434992743174e-07,1.4966799316455156e-05,1.5071123666382587e-05,818,818,True
4.0,"[""ADIPOQ"",""ADIPOR1""]",ADIPOQ,ADIPOR1,ADIPOQ_ADIPOR1,mpEX,2.3224013025092344e-06,1.0658112346580664e-05,1.2980513649089898e-05,874,874,True
4.0,"[""ADIPOQ"",""ADIPOR1""]",ADIPOQ,ADIPOR1,ADIPOQ_ADIPOR1,VLMC,1.049703375694504e-05,0.0,1.049703375694504e-05,1384,1384,True
4.0,"[""ADIPOQ"",""ADIPOR1""]",ADIPOQ,ADIPOR1,ADIPOQ_ADIPOR1,MCG,4.328694218243275e-06,0.0,4.328694218243275e-06,105,105,True
4.0,"[""ADIPOQ"",""ADIPOR1""]",ADIPOQ,ADIPOR1,ADIPOQ_ADIPOR1,MSN,2.1912701304495445e-06,7.870632685316432e-07,2.978333398981188e-06,1759,1759,True
4.0,"[""ADIPOQ"",""ADIPOR1""]",ADIPOQ,ADIPOR1,ADIPOQ_ADIPOR1,sstIN,5.737599677958799e-08,0.0,5.737599677958799e-08,246,246,True
0.0,"[""ADIPOQ"",""ADIPOR2""]",ADIPOQ,ADIPOR2,ADIPOQ_ADIPOR2,wntEGC,0.0037936740513419154,0.0035188705153266137,0.007312544566668529,351,351,True
0.0,"[""ADIPOQ"",""ADIPOR2""]",ADIPOQ,ADIPOR2,ADIPOQ_ADIPOR2,sfrpEGC,0.001206160909583311,0.0,0.001206160909583311,283,283,True
0.0,"[""ADIPOQ"",""ADIPOR2""]",ADIPOQ,ADIPOR2,ADIPOQ_ADIPOR2,VLMC,0.00019158497979308771,0.00018418399570862184,0.00037576897550170953,1300,1300,True
