variant,reference,timepoint,velocity_key,celltype,n_cells,mean_cosine_rigid_adjusted,median_cosine_rigid_adjusted
translate_moderate,baseline_repeat,D14,full,Fibroblast cells,264,0.9857759869387596,0.9976839573675869
translate_moderate,baseline_repeat,D14,full,Immature myocardial cells,203,0.9795303721404985,0.9978817172102694
translate_moderate,baseline_repeat,D14,full,Macrophages,3,0.8918124987041313,0.996694236550637
translate_moderate,baseline_repeat,D14,full,Mural cells,46,0.9084979796713712,0.9949423460551569
translate_moderate,baseline_repeat,D14,full,TMSB4X high cells,101,0.9951726755929384,0.9983432943114605
translate_moderate,baseline_repeat,D14,full,Valve cells,20,0.9893174757004438,0.9983031721996767
translate_moderate,baseline_repeat,D14,full,Vascular endothelial cells,77,0.9803225333318443,0.9940665082735787
translate_moderate,baseline_repeat,D14,interaction,Cardiomyocytes-1,976,0.7588821735334592,0.9520148122909957
translate_moderate,baseline_repeat,D14,interaction,Endocardial cells,28,0.8381941530816509,0.9631263868716886
translate_moderate,baseline_repeat,D14,interaction,Epi-epithelial cells,6,0.9872468342691482,0.9942924861590479
translate_moderate,baseline_repeat,D14,interaction,Erythrocytes,241,0.6884281989618828,0.9308118947216019
translate_moderate,baseline_repeat,D14,interaction,Fibroblast cells,264,0.6673313982355678,0.9350729763422507
translate_moderate,baseline_repeat,D14,interaction,Immature myocardial cells,203,0.7472532344356697,0.9486280408324596
translate_moderate,baseline_repeat,D14,interaction,Mural cells,46,0.8199052182989245,0.9597608076066045
translate_moderate,baseline_repeat,D14,interaction,TMSB4X high cells,101,0.7261148118233205,0.9485776553853539
translate_moderate,baseline_repeat,D14,interaction,Valve cells,20,0.4400262124549424,0.7399805521789984
translate_moderate,baseline_repeat,D14,interaction,Vascular endothelial cells,77,0.8497650891608663,0.9709384387661584
translate_strong,baseline_repeat,D4,full,Cardiomyocytes-1,1,0.9968423764958353,0.9968423764958353
translate_strong,baseline_repeat,D4,full,Endocardial cells,32,0.9846160691035849,0.9887579175239989
translate_strong,baseline_repeat,D4,full,Epi-epithelial cells,2,0.851606388850574,0.851606388850574
translate_strong,baseline_repeat,D4,full,Immature myocardial cells,61,0.9907066900901099,0.998403231920588
translate_strong,baseline_repeat,D4,full,TMSB4X high cells,5,0.998474987397338,0.9981256634490758
translate_strong,baseline_repeat,D4,full,Valve cells,46,0.9061268445826015,0.9920000495342578
translate_strong,baseline_repeat,D4,interaction,Cardiomyocytes-1,1,0.9996305641867111,0.9996305641867111
translate_strong,baseline_repeat,D4,interaction,Endocardial cells,32,0.9949789399422521,0.998734686003295
translate_strong,baseline_repeat,D4,interaction,Epi-epithelial cells,2,0.9824451567540498,0.9824451567540498
translate_strong,baseline_repeat,D4,interaction,Immature myocardial cells,61,0.9698739655698788,0.9966557231608564
translate_strong,baseline_repeat,D4,interaction,TMSB4X high cells,5,0.9989701654942739,0.9990039970138779
translate_strong,baseline_repeat,D4,interaction,Valve cells,46,0.8924863406734476,0.9841423187080729
translate_strong,baseline_repeat,D7,full,Cardiomyocytes-1,79,0.9641993875140128,0.9957993172351118
translate_strong,baseline_repeat,D7,full,Cardiomyocytes-2,10,0.9951399290959136,0.9974208472385746
translate_strong,baseline_repeat,D7,full,Endocardial cells,89,0.9429644292248948,0.9958811023479406
translate_strong,baseline_repeat,D7,full,Epi-epithelial cells,36,0.9687613658514819,0.9936264467493598
translate_strong,baseline_repeat,D7,full,Erythrocytes,34,0.9552644240227667,0.9981555213021573
