time,cell_index,x,y,growth,final_knn10_brain_support,retained_in_figure
1.5,37384,0.5719121,2.5733457,0.05841183,1,True
1.5,45278,0.6174855,2.7528517,0.03591021,1,True
1.5,58218,0.51120466,3.6926904,0.20215572,1,True
1.5,66275,0.6221076,3.5527556,0.2918255,1,True
1.5,66648,1.021322,2.8226542,0.2028644,1,True
1.5,75824,0.83646894,2.7163658,0.34593993,1,True
1.5,77139,0.482149,3.6651297,0.09283054,1,True
1.5,86526,-0.9972818,2.7089639,-0.038609065,1,True
1.5,86528,-1.0224193,2.7221093,-0.03402178,1,True
1.75,5356,-0.8505707,2.8073835,-0.0032232804,1,True
1.75,5443,0.297868,2.5357301,0.11270545,1,True
1.75,5603,1.009863,2.6131842,0.05207871,1,True
1.75,6834,0.5555295,2.5095758,0.019063396,1,True
1.75,6917,-0.35379365,2.6238558,0.17746979,1,True
1.75,6952,0.72923857,2.6103134,0.09908865,1,True
1.75,7742,0.28012437,2.7610137,0.101489566,1,True
1.75,9875,1.0293117,3.0652595,0.18096218,1,True
1.75,13285,0.5287124,3.6500049,0.28434262,1,True
1.75,13995,0.6286136,2.5675879,0.30385724,1,True
1.75,19396,-0.06459827,4.0190487,0.027310392,1,True
1.75,22468,0.29034245,2.7424567,0.09867165,1,True
1.75,22498,0.9359249,2.6484776,0.055200137,1,True
1.75,24272,0.5312514,2.6354928,0.0041341446,1,True
1.75,24361,0.6688327,2.5822346,0.12315809,1,True
1.75,24773,-0.98780215,3.6119528,0.11089025,1,True
1.75,26704,-0.8863076,2.9124024,0.111146964,1,True
1.75,27413,-0.9182204,2.9511337,0.059372023,1,True
1.75,29156,1.0762585,2.739011,0.18397383,1,True
1.75,29458,0.6408245,2.641526,0.07736023,1,True
1.75,35515,-0.9776569,2.8982964,0.083832555,1,True
1.75,38807,0.60002244,2.6049674,0.02474518,1,True
1.75,39629,-1.1014575,2.8771834,0.020026801,1,True
1.75,41118,0.9144826,3.298698,0.070009835,1,True
1.75,42673,0.74340093,2.6973388,0.21575335,1,True
1.75,42677,0.7428402,2.6665661,0.21193881,1,True
1.75,42815,-0.043838777,2.746978,0.21600847,1,True
1.75,46308,0.8911547,2.6004903,0.3417309,1,True
1.75,49324,0.6477259,2.578309,0.08724281,1,True
1.75,50049,-1.2947855,2.7719293,0.040390946,1,True
1.75,50097,0.3632562,3.9238346,0.13717791,1,True
1.75,51935,0.5534387,3.6274664,0.10852469,1,True
1.75,54221,0.9017773,2.571173,0.27000377,1,True
1.75,62792,0.6537808,2.725192,-0.00063845515,1,True
1.75,64659,0.5348568,2.4684944,0.21265303,1,True
1.75,72778,1.0851125,2.8239403,0.17004348,1,True
1.75,73223,0.90704304,2.8759391,0.08069616,1,True
1.75,81861,1.141285,2.9726677,0.097424306,1,True
1.75,86194,0.4927398,2.5641525,0.081394374,1,True
1.75,89050,1.1826389,3.0318182,0.12154923,1,True
1.75,90960,0.3631894,3.8642316,-0.07504059,1,True
2.0,1016,0.6013462,2.5786035,0.09909908,1,True
2.0,6368,-0.5620429,2.6342015,0.035076752,1,True
2.0,7999,-0.01625194,2.7956376,0.027433692,1,True
2.0,8902,-0.058776498,2.6195147,-0.00049789995,1,True
2.0,13411,0.51657546,2.6497586,0.09359109,1,True
2.0,18385,-0.93837285,2.8065023,0.13906659,1,True
2.0,21843,0.59824085,3.7493262,0.15436116,1,True
2.0,23834,0.9384471,3.3233206,0.056101598,1,True
2.0,24032,0.49831614,2.7052536,0.25109988,1,True
2.0,27970,0.6244276,3.7757182,0.23251326,1,True
2.0,28892,1.0296105,2.664076,0.15279362,1,True
2.0,29553,-1.1874207,3.215806,0.15626691,1,True
2.0,29998,0.6317905,3.6333075,0.04535567,1,True
2.0,34112,1.103145,2.655675,0.14417611,1,True
2.0,34929,0.8720902,2.6486075,0.037808627,1,True
2.0,36656,0.63533115,2.4969847,0.121397324,1,True
