niche,time,dpi,pathway,interaction_class,inj,uninj,log2_inj_over_uninj
N1_sfrpEGC_VLMC,1.0,5,GALANIN,Secreted Signaling,0.010559343539277953,0.01305654091370509,-0.30625258541324746
N1_sfrpEGC_VLMC,1.0,5,GAS,Secreted Signaling,0.36726176766009583,0.004768722875084144,6.267061961483063
N1_sfrpEGC_VLMC,1.0,5,GDF,Secreted Signaling,0.1394389105340161,0.6216221447428466,-2.156404696860729
N1_sfrpEGC_VLMC,1.0,5,GDNF,Secreted Signaling,0.00019609420541376137,0.0,27.546971670959362
N1_sfrpEGC_VLMC,1.0,5,GPR,Secreted Signaling,0.1303993184145647,0.10121840822139572,0.36546463718901817
N1_sfrpEGC_VLMC,1.0,5,GRN,Secreted Signaling,7.761372752074381,8.369599874414511,-0.10884680938584833
N1_sfrpEGC_VLMC,1.0,5,HH,Secreted Signaling,0.004881323087985883,0.00029949145804528555,4.026685479505391
N1_sfrpEGC_VLMC,1.0,5,HSPG,ECM-Receptor,0.19141238307277586,0.23197124453448484,-0.2772618126790381
N1_sfrpEGC_VLMC,1.0,5,JAM,Cell-Cell Contact,4.033034262137728,1.092499939366134,1.8842324623738702
N1_sfrpEGC_VLMC,1.0,5,L1CAM,Cell-Cell Contact,11.939382579162997,4.143363131356545,1.5268540612921002
N1_sfrpEGC_VLMC,1.0,5,LAMININ,ECM-Receptor,12.148803160719302,16.376184418413743,-0.4307850605636462
N1_sfrpEGC_VLMC,1.0,5,MAG,Cell-Cell Contact,0.0025373328603553883,5.6234360605283966e-05,5.495717033909528
N1_sfrpEGC_VLMC,1.0,5,MPZ,Cell-Cell Contact,0.07052327857363079,0.00020392098563437746,8.433945477102906
N1_sfrpEGC_VLMC,1.0,5,MSTN,Secreted Signaling,0.008209114823997879,0.0,32.93457952100349
N1_sfrpEGC_VLMC,1.0,5,NCAM,Cell-Cell Contact,6.5339802521752475,4.455681614771221,0.5523159473562518
N1_sfrpEGC_VLMC,1.0,5,NEGR,Cell-Cell Contact,0.2876725603394767,0.4304917546550469,-0.5815579893835554
N1_sfrpEGC_VLMC,1.0,5,NGL,Cell-Cell Contact,0.43923939801666667,0.42418982241021325,0.050297457429886366
N1_sfrpEGC_VLMC,1.0,5,NMU,Secreted Signaling,0.00046131226558294774,0.006111905810923736,-3.7278067505691665
N1_sfrpEGC_VLMC,1.0,5,NOTCH,Cell-Cell Contact,0.011769198041334673,0.18114010775005582,-3.9440180978265196
N1_sfrpEGC_VLMC,1.0,5,NPFF,Secreted Signaling,0.0008452482162585519,0.00046512895913816525,0.8617442996826367
N1_sfrpEGC_VLMC,1.0,5,NPR2,Secreted Signaling,0.004078420489117812,0.001734695974491394,1.2333276898198382
N1_sfrpEGC_VLMC,1.0,5,NPW-B,Secreted Signaling,0.0005316327141580666,0.0,28.9858546457748
N1_sfrpEGC_VLMC,1.0,5,NPY,Secreted Signaling,0.47795874182486464,0.31747398401745325,0.5902477153376324
N1_sfrpEGC_VLMC,1.0,5,NRG,Secreted Signaling,1.7679510468946897,2.3419469401907826,-0.40563006185674894
N1_sfrpEGC_VLMC,1.0,5,NRXN,Cell-Cell Contact,29.177622601910404,35.34743262607638,-0.2767430952445567
N1_sfrpEGC_VLMC,1.0,5,NTS,Secreted Signaling,2.366935361060069,1.4635548970408432,0.693543446504967
N1_sfrpEGC_VLMC,1.0,5,PARs,Secreted Signaling,0.018205927153327937,0.0007224671680512931,4.655332374093261
N1_sfrpEGC_VLMC,1.0,5,PDGF,Secreted Signaling,0.10036952604600913,0.06025855808143549,0.7360832517539329
N1_sfrpEGC_VLMC,1.0,5,PECAM1,Cell-Cell Contact,0.010739237629167014,0.01611989211773087,-0.5859505075619186
N1_sfrpEGC_VLMC,1.0,5,PROS,Secreted Signaling,0.7833532173901493,0.6804114195640855,0.2032556173012066
N1_sfrpEGC_VLMC,1.0,5,PSAP,Secreted Signaling,46.300976010636184,36.74585741379467,0.33346099014019887
N1_sfrpEGC_VLMC,1.0,5,PTH,Secreted Signaling,0.00043370212317379755,0.0,28.69212926830752
N1_sfrpEGC_VLMC,1.0,5,PTPRM,Cell-Cell Contact,0.12747735142479458,0.17903681646345374,-0.49001533851232554
N1_sfrpEGC_VLMC,1.0,5,RELN,ECM-Receptor,0.0657186303194181,0.0014348143789003733,5.517366398093816
N1_sfrpEGC_VLMC,1.0,5,SEMA3,Secreted Signaling,3.933708777615027,3.158821469798039,0.31650375403367054
N1_sfrpEGC_VLMC,1.0,5,SEMA4,Cell-Cell Contact,3.1924882222337856,3.3078904894596155,-0.0512301761182146
N1_sfrpEGC_VLMC,1.0,5,SEMA5,Cell-Cell Contact,16.215878765764554,13.360335889955467,0.2794509291637049
N1_sfrpEGC_VLMC,1.0,5,SEMA6,Cell-Cell Contact,4.4395746701474526,8.468231219779494,-0.931639194805869
N1_sfrpEGC_VLMC,1.0,5,SEMATOSTATIN,Secreted Signaling,0.5554232313004335,0.1259890752333609,2.1402888808560023
N1_sfrpEGC_VLMC,1.0,5,TAC,Secreted Signaling,0.04398566086055155,0.005953969426416164,2.8851095692202877
N1_sfrpEGC_VLMC,1.0,5,TENASCIN,ECM-Receptor,3.955484370041449,3.3886480955184513,0.2231445476352309
N1_sfrpEGC_VLMC,1.0,5,TGFb,Secreted Signaling,0.022160032602245364,0.004369223479649915,2.3425111990340075
N1_sfrpEGC_VLMC,1.0,5,THBS,ECM-Receptor,6.398599447867023,3.2651873294584304,0.9705903924978919
N1_sfrpEGC_VLMC,1.0,5,THY1,Cell-Cell Contact,0.0008321704941789005,0.0,29.632303897260858
N1_sfrpEGC_VLMC,1.0,5,UCN,Secreted Signaling,0.03558357407739411,0.07743691721958615,-1.1218100949966048
N1_sfrpEGC_VLMC,1.0,5,UROTENSIN,Secreted Signaling,0.0,0.0,0.0
N1_sfrpEGC_VLMC,1.0,5,VEGF,Secreted Signaling,0.056642054453323896,0.013953272268054531,2.021270096955695
N1_sfrpEGC_VLMC,1.0,5,VIP,Secreted Signaling,0.016209310027222285,0.0065987724485037915,1.2965531076753964
N1_sfrpEGC_VLMC,1.0,5,VISTA,Cell-Cell Contact,0.3990479426153481,0.6617245992322336,-0.7296688260684656
N1_sfrpEGC_VLMC,1.0,5,WNT,Secreted Signaling,29.785441092227313,56.30043035617111,-0.918538626105236
N1_sfrpEGC_VLMC,1.0,5,ncWNT,Secreted Signaling,0.42891735017013943,1.4241567423364931,-1.7313363568581035
N1_sfrpEGC_VLMC,2.0,10,ACTIVIN,Secreted Signaling,0.036196860764600255,0.06440216354899732,-0.8312445730332583
N1_sfrpEGC_VLMC,2.0,10,ADIPONECTIN,Secreted Signaling,0.0006370771927703261,0.0,29.246892951552635
N1_sfrpEGC_VLMC,2.0,10,AGRN,ECM-Receptor,17.554270531833204,25.326788466228038,-0.528842103157343
N1_sfrpEGC_VLMC,2.0,10,AGT,Secreted Signaling,0.192297528594684,1.2757145304585944,-2.7298934036500233
N1_sfrpEGC_VLMC,2.0,10,ANGPT,Secreted Signaling,0.021021722654856235,0.052063291078107525,-1.3083856138668166
N1_sfrpEGC_VLMC,2.0,10,ANGPTL,Secreted Signaling,10.935906626472022,13.010394311863351,-0.25059185710960274
N1_sfrpEGC_VLMC,2.0,10,BAG,Secreted Signaling,0.0,0.0,0.0
N1_sfrpEGC_VLMC,2.0,10,BMP,Secreted Signaling,0.06181400762407924,0.587176700200731,-3.247789013325431
N1_sfrpEGC_VLMC,2.0,10,CALCR,Secreted Signaling,0.21015438470897224,0.24798974614287306,-0.23883091190097402
N1_sfrpEGC_VLMC,2.0,10,CCK,Secreted Signaling,0.049454857927934984,0.07644082852365139,-0.628231172197325
N1_sfrpEGC_VLMC,2.0,10,CCL,Secreted Signaling,0.0,0.0012951018683747513,-30.270418435034475
N1_sfrpEGC_VLMC,2.0,10,CD34,Cell-Cell Contact,0.07121926930274586,0.11303309812636209,-0.666405742489085
N1_sfrpEGC_VLMC,2.0,10,CD40,Secreted Signaling,0.012875624552898111,0.05153252846392143,-2.0008409663083735
N1_sfrpEGC_VLMC,2.0,10,CD45,Cell-Cell Contact,0.0030405793626468456,0.0,31.50169910049149
N1_sfrpEGC_VLMC,2.0,10,CDH,Cell-Cell Contact,23.8140718939719,12.562470171038209,0.9226941529434285
N1_sfrpEGC_VLMC,2.0,10,CDH1,Cell-Cell Contact,0.004772328615296091,0.0,32.152046242530226
N1_sfrpEGC_VLMC,2.0,10,CDH5,Cell-Cell Contact,0.11443518373120933,0.06396839500927161,0.83909949381422
N1_sfrpEGC_VLMC,2.0,10,CLDN,Cell-Cell Contact,0.04207217918822655,0.028067555814027353,0.5839631102749405
N1_sfrpEGC_VLMC,2.0,10,CNTN,Cell-Cell Contact,5.8468919384159665,13.975881130033702,-1.257197409819597
N1_sfrpEGC_VLMC,2.0,10,COLLAGEN,ECM-Receptor,13.53558986139745,18.33731918566696,-0.4380249808547796
N1_sfrpEGC_VLMC,2.0,10,CSPG4,Cell-Cell Contact,0.04303095847543574,0.011119098521189932,1.9523351486918352
N1_sfrpEGC_VLMC,2.0,10,CXCL,Secreted Signaling,0.5574425251878886,1.5772026553793128,-1.5004730749647943
N1_sfrpEGC_VLMC,2.0,10,EDN,Secreted Signaling,0.02890570199862762,0.029494037923277774,-0.029069240330216746
N1_sfrpEGC_VLMC,2.0,10,EGF,Secreted Signaling,0.4567393450918911,0.4749955313547742,-0.05654286721206439
N1_sfrpEGC_VLMC,2.0,10,EPHA,Cell-Cell Contact,10.42151787254503,12.19828498451341,-0.22711290814722712
N1_sfrpEGC_VLMC,2.0,10,EPHB,Cell-Cell Contact,20.662346523772086,59.2452324502158,-1.519694959443667
N1_sfrpEGC_VLMC,2.0,10,ESAM,Cell-Cell Contact,0.041279621819693815,0.03328152107736957,0.31070838266782186
N1_sfrpEGC_VLMC,2.0,10,FGF,Secreted Signaling,9.24125289905825,15.954892748825207,-0.7878385447149926
N1_sfrpEGC_VLMC,2.0,10,FN1,ECM-Receptor,2.155869668162194,4.411124435758261,-1.0328764953133862
N1_sfrpEGC_VLMC,2.0,10,GALANIN,Secreted Signaling,0.033577992384913845,0.04236381076672559,-0.3353163957325276
N1_sfrpEGC_VLMC,2.0,10,GAS,Secreted Signaling,1.3102834417001037,1.4295239186035924,-0.1256558285319693
N1_sfrpEGC_VLMC,2.0,10,GDF,Secreted Signaling,0.682910524286279,0.5749962973620718,0.24814390137207684
N1_sfrpEGC_VLMC,2.0,10,GDNF,Secreted Signaling,0.0002860880705493513,0.0,28.091884104801384
N1_sfrpEGC_VLMC,2.0,10,GPR,Secreted Signaling,0.04980429083933664,0.2312057062918481,-2.2148350580888674
N1_sfrpEGC_VLMC,2.0,10,GRN,Secreted Signaling,8.819643610788727,5.706068821970946,0.6282232120716569
N1_sfrpEGC_VLMC,2.0,10,HH,Secreted Signaling,0.0,0.008608950417691599,-33.003190212624624
N1_sfrpEGC_VLMC,2.0,10,HSPG,ECM-Receptor,1.681782094566654,7.700314057643624,-2.1949264970454587
N1_sfrpEGC_VLMC,2.0,10,JAM,Cell-Cell Contact,7.803427409957882,4.380656249095947,0.8329609110192493
N1_sfrpEGC_VLMC,2.0,10,L1CAM,Cell-Cell Contact,5.057252946462557,11.350371742681286,-1.1663137047964736
N1_sfrpEGC_VLMC,2.0,10,LAMININ,ECM-Receptor,17.009385964928832,35.03914276678345,-1.0426364188429194
N1_sfrpEGC_VLMC,2.0,10,MAG,Cell-Cell Contact,0.00046521568767151207,0.0,28.79332450936432
N1_sfrpEGC_VLMC,2.0,10,MPZ,Cell-Cell Contact,0.01387216425699621,0.005898975413849575,1.2336565849123637
N1_sfrpEGC_VLMC,2.0,10,MSTN,Secreted Signaling,0.014948912373197133,0.007173669068314931,1.059257424713002
N1_sfrpEGC_VLMC,2.0,10,NCAM,Cell-Cell Contact,5.102565683142677,9.376881873405155,-0.8778854096000217
N1_sfrpEGC_VLMC,2.0,10,NEGR,Cell-Cell Contact,0.2432432915923588,0.4012661154841026,-0.7221593168557283
N1_sfrpEGC_VLMC,2.0,10,NGL,Cell-Cell Contact,0.915958188339046,1.6358654402315513,-0.8367004340255428
N1_sfrpEGC_VLMC,2.0,10,NMU,Secreted Signaling,0.0027121963995110736,0.023316269800480918,-3.1038034423965604
N1_sfrpEGC_VLMC,2.0,10,NOTCH,Cell-Cell Contact,0.40249830085644495,0.07943389686330234,2.3411560071068096
N1_sfrpEGC_VLMC,2.0,10,NPFF,Secreted Signaling,0.006308274581115507,0.0,32.55459831209104
N1_sfrpEGC_VLMC,2.0,10,NPR2,Secreted Signaling,0.007101125527562114,0.017795437207618482,-1.3253877631998843
N1_sfrpEGC_VLMC,2.0,10,NPW-B,Secreted Signaling,0.0006482338997135036,2.266053478713853e-06,8.160188115358077
N1_sfrpEGC_VLMC,2.0,10,NPY,Secreted Signaling,0.25669016542539264,0.23977773533621885,0.09833032006393203
N1_sfrpEGC_VLMC,2.0,10,NRG,Secreted Signaling,2.495496892975545,7.059688402879914,-1.5002774003142016
N1_sfrpEGC_VLMC,2.0,10,NRXN,Cell-Cell Contact,23.976565093584277,56.982479534654125,-1.2488934087974974
N1_sfrpEGC_VLMC,2.0,10,NTS,Secreted Signaling,1.0852511632861546,0.9736605029375032,0.15653824448716788
N1_sfrpEGC_VLMC,2.0,10,PARs,Secreted Signaling,0.09590579755947119,0.45764350353217526,-2.2545342663071195
N1_sfrpEGC_VLMC,2.0,10,PDGF,Secreted Signaling,0.34152089326603075,0.7321587874603797,-1.1001827268102318
N1_sfrpEGC_VLMC,2.0,10,PECAM1,Cell-Cell Contact,0.03289419200166269,0.04212704862721852,-0.35691397042157064
