niche,time,dpi,condition,pathway,interaction_class,lr_score
N1_sfrpEGC_VLMC,0.0,2,uninj,NRG,Secreted Signaling,2.2537970723470186
N1_sfrpEGC_VLMC,0.0,2,uninj,NRXN,Cell-Cell Contact,25.324093917114823
N1_sfrpEGC_VLMC,0.0,2,uninj,NTS,Secreted Signaling,0.6731246431467415
N1_sfrpEGC_VLMC,0.0,2,uninj,PARs,Secreted Signaling,0.3517249834643974
N1_sfrpEGC_VLMC,0.0,2,uninj,PDGF,Secreted Signaling,0.05815938430678848
N1_sfrpEGC_VLMC,0.0,2,uninj,PECAM1,Cell-Cell Contact,0.010051528387557775
N1_sfrpEGC_VLMC,0.0,2,uninj,PROS,Secreted Signaling,0.9644485233451627
N1_sfrpEGC_VLMC,0.0,2,uninj,PSAP,Secreted Signaling,47.359451742435105
N1_sfrpEGC_VLMC,0.0,2,uninj,PTH,Secreted Signaling,0.0
N1_sfrpEGC_VLMC,0.0,2,uninj,PTPRM,Cell-Cell Contact,0.3254192666793568
N1_sfrpEGC_VLMC,0.0,2,uninj,RELN,ECM-Receptor,0.04333262379229778
N1_sfrpEGC_VLMC,0.0,2,uninj,SEMA3,Secreted Signaling,3.6425919869528123
N1_sfrpEGC_VLMC,0.0,2,uninj,SEMA4,Cell-Cell Contact,4.043782233956504
N1_sfrpEGC_VLMC,0.0,2,uninj,SEMA5,Cell-Cell Contact,26.285821145043027
N1_sfrpEGC_VLMC,0.0,2,uninj,SEMA6,Cell-Cell Contact,5.780477093858318
N1_sfrpEGC_VLMC,0.0,2,uninj,SEMATOSTATIN,Secreted Signaling,0.2562010313018264
N1_sfrpEGC_VLMC,0.0,2,uninj,TAC,Secreted Signaling,0.0038878321226792968
N1_sfrpEGC_VLMC,0.0,2,uninj,TENASCIN,ECM-Receptor,2.7451273307072523
N1_sfrpEGC_VLMC,0.0,2,uninj,TGFb,Secreted Signaling,0.048191684079607035
N1_sfrpEGC_VLMC,0.0,2,uninj,THBS,ECM-Receptor,3.4898673364481105
N1_sfrpEGC_VLMC,0.0,2,uninj,THY1,Cell-Cell Contact,0.0006113268968686281
N1_sfrpEGC_VLMC,0.0,2,uninj,UCN,Secreted Signaling,0.025991966249682332
N1_sfrpEGC_VLMC,0.0,2,uninj,UROTENSIN,Secreted Signaling,0.0004954551135097603
N1_sfrpEGC_VLMC,0.0,2,uninj,VEGF,Secreted Signaling,0.04573901601087105
N1_sfrpEGC_VLMC,0.0,2,uninj,VIP,Secreted Signaling,0.00019641604236038027
N1_sfrpEGC_VLMC,0.0,2,uninj,VISTA,Cell-Cell Contact,0.4701530478771029
N1_sfrpEGC_VLMC,0.0,2,uninj,WNT,Secreted Signaling,42.94090188995881
N1_sfrpEGC_VLMC,0.0,2,uninj,ncWNT,Secreted Signaling,0.6003134691934318
N2_reaEGC_wntEGC,0.0,2,uninj,ACTIVIN,Secreted Signaling,0.15953447231050763
N2_reaEGC_wntEGC,0.0,2,uninj,ADIPONECTIN,Secreted Signaling,0.0
N2_reaEGC_wntEGC,0.0,2,uninj,AGRN,ECM-Receptor,6.272711374525665
N2_reaEGC_wntEGC,0.0,2,uninj,AGT,Secreted Signaling,0.0
N2_reaEGC_wntEGC,0.0,2,uninj,ANGPT,Secreted Signaling,0.024393268057755428
N2_reaEGC_wntEGC,0.0,2,uninj,ANGPTL,Secreted Signaling,8.807035300087716
N2_reaEGC_wntEGC,0.0,2,uninj,BAG,Secreted Signaling,0.0
N2_reaEGC_wntEGC,0.0,2,uninj,BMP,Secreted Signaling,0.29358437174773244
N2_reaEGC_wntEGC,0.0,2,uninj,CALCR,Secreted Signaling,0.026877266135060373
N2_reaEGC_wntEGC,0.0,2,uninj,CCK,Secreted Signaling,0.00941283701884496
N2_reaEGC_wntEGC,0.0,2,uninj,CCL,Secreted Signaling,0.004777278835959884
N2_reaEGC_wntEGC,0.0,2,uninj,CD34,Cell-Cell Contact,0.0
N2_reaEGC_wntEGC,0.0,2,uninj,CD40,Secreted Signaling,0.008492010437245533
N2_reaEGC_wntEGC,0.0,2,uninj,CD45,Cell-Cell Contact,0.0
N2_reaEGC_wntEGC,0.0,2,uninj,CDH,Cell-Cell Contact,3.7650400097120587
N2_reaEGC_wntEGC,0.0,2,uninj,CDH1,Cell-Cell Contact,0.0
N2_reaEGC_wntEGC,0.0,2,uninj,CDH5,Cell-Cell Contact,0.004717726545402279
N2_reaEGC_wntEGC,0.0,2,uninj,CLDN,Cell-Cell Contact,0.04048815539044515
N2_reaEGC_wntEGC,0.0,2,uninj,CNTN,Cell-Cell Contact,14.185149257815217
N2_reaEGC_wntEGC,0.0,2,uninj,COLLAGEN,ECM-Receptor,0.9327078977155018
N2_reaEGC_wntEGC,0.0,2,uninj,CSPG4,Cell-Cell Contact,0.02375325968176824
N2_reaEGC_wntEGC,0.0,2,uninj,CXCL,Secreted Signaling,0.030643418859539223
