"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","pattern","significant_fdr_0p05"
"GO:0034470","ncRNA processing","21/1205","24/1691",0.0541370225328928,0.999985291063607,0.999985291063607,"Ankrd16/Bcdin3d/Exosc8/Fdxacb1/Ftsj3/Ints11/Lage3/Larp7/Ncl/Nsun5/Nup155/Pus1/Riok1/Rnasel/Rpl26/Rpl7/Trmt44/Tyw3/Utp18/Utp4/Zc3h10",21,2,FALSE
"GO:0001817","regulation of cytokine production","92/1205","118/1691",0.0564465851364343,0.999985291063607,0.999985291063607,"Abcd1/Agt/Aif1/Alox5/Angpt1/Anxa4/Axl/B2m/Bank1/Bmpr1a/Btk/C3ar1/Ccbe1/Ccl5/Ccn1/Cd34/Cd74/Ceacam1/Chrna7/Clu/Crhr2/Csf1r/Dll1/Drd2/Epha2/Ephb2/F2r/Fbln1/Fgfr1/Fgfr4/Flt1/Fn1/Foxp1/Fzd5/Gas6/Gpnmb/Hdac3/Hdac7/Heg1/Hmox1/Ifngr1/Il17d/Il17ra/Il18r1/Ilrun/Inhbb/Iqgap1/Irf1/Irf8/Isl1/Itgb6/Itgb8/Laptm5/Ltb/Lum/Lyn/Met/Mul1/Ncl/Nr4a3/Polr3c/Prkd2/Ptafr/Ptprc/Rabgef1/Rock2/Rps3/S1pr3/Selenok/Siglec1/Slc7a5/Snai2/Stat1/Sulf1/Sulf2/Tek/Thbs1/Tnfrsf1b/Tnfrsf4/Tnfrsf8/Traf3ip3/Trem2/Trim32/Trim38/Trim65/Tsku/Tspo/Twist2/Vegfd/Vsir/Wnt11/Zbtb25",92,2,FALSE
"GO:0006809","nitric oxide biosynthetic process","13/1205","14/1691",0.0571370573998583,0.999985291063607,0.999985291063607,"Agt/Aif1/Asl/Cav1/Clu/Cyb5r3/Itgb2/Pkd2/Ptgis/Ptx3/Rock2/Slc7a2/Tspo",13,2,FALSE
"GO:0007093","mitotic cell cycle checkpoint signaling","13/1205","14/1691",0.0571370573998583,0.999985291063607,0.999985291063607,"Ccnd1/Cdkn1a/Knl1/Mad1l1/Mbtps2/Nabp2/Ppp1r10/Rpa2/Rpl26/Trim39/Trip13/Xpc/Zfyve19",13,2,FALSE
"GO:1903509","liposaccharide metabolic process","13/1205","14/1691",0.0571370573998583,0.999985291063607,0.999985291063607,"Aoah/Gal3st3/Itgb8/Neu1/Pgap1/Pigf/Pigm/Psap/St3gal1/St3gal6/St6galnac6/St8sia2/St8sia5",13,2,FALSE
"GO:0009611","response to wounding","89/1205","114/1691",0.0572103814815346,0.999985291063607,0.999985291063607,"Adipor2/Alox5/Anxa2/Apoh/Axl/Bloc1s3/C1qtnf1/Cav1/Ccn1/Cd151/Cd9/Cdkn1a/Ceacam1/Celsr1/Cers2/Col3a1/Cxcr4/Ecrg4/Ednra/Elk3/Emilin2/Eng/Epha4/Ephb2/F10/F13a1/F13b/F2r/F2rl2/Fbln1/Fgf2/Fgfr3/Fgl1/Fkbp10/Flna/Fn1/Fzd7/Gas6/Gna13/Grn/Hbegf/Hgfac/Hmox1/Hps6/Itgb1/Itgb3/Itgb4/Itgb6/Kdr/Lcp1/Lyn/Mmp2/Morn4/Mylk/Ndnf/Nefl/Nfatc1/Nrp1/Ntrk3/Omg/Pdgfa/Pdgfra/Pecam1/Plpp3/Prcp/Pros1/Ptprf/Rtn4rl2/S100a10/Sdc4/Slc12a2/Slc1a3/Slc4a1/Slc7a11/Snai2/Sulf2/Tbxa2r/Tfpi/Tfpi2/Thbs1/Timp1/Tnc/Tnfrsf12a/Trem2/Tsku/Tyro3/Vwf/Wnt7a/Zfp36l2",89,2,FALSE
"GO:0001885","endothelial cell development","17/1205","19/1691",0.0573572686200801,0.999985291063607,0.999985291063607,"Agt/Cdh5/Clic4/Ednra/Ednrb/Heg1/Id1/Met/Myadm/Pecam1/Rdx/Robo4/Rock2/S1pr2/S1pr3/Tjp2/Vcl",17,2,FALSE
"GO:0017148","negative regulation of translation","17/1205","19/1691",0.0573572686200801,0.999985291063607,0.999985291063607,"Bank1/Dcp2/Dcps/Eif4ebp1/Exosc8/Grb7/Ncl/Parp16/Polr2g/Rgs2/Rnf139/Rock2/Rps3/Shfl/Trim2/Zar1/Zfp36l2",17,2,FALSE
"GO:1901991","negative regulation of mitotic cell cycle phase transition","17/1205","19/1691",0.0573572686200801,0.999985291063607,0.999985291063607,"Ccnd1/Cdk2ap2/Cdkn1a/Crlf3/Fhl1/Gpnmb/Knl1/Mad1l1/Mbtps2/Nabp2/Pkd2/Rpa2/Rpl26/Trim39/Trip13/Zfp36l2/Zfyve19",17,2,FALSE
"GO:0010629","negative regulation of gene expression","100/1205","129/1691",0.0602817889234694,0.999985291063607,0.999985291063607,"Abcd1/Acvr1b/Adipor2/Agt/Aif1/Angpt1/Anxa4/Aplnr/Axin2/Axl/Bank1/Bcdin3d/Bend3/Bmpr1a/Btk/Carhsp1/Ccdc3/Cd34/Cdkn1a/Ceacam1/Chrna7/Crhr2/Cst7/Ctsz/Dcp2/Dcps/Ddrgk1/Dll1/Eif4ebp1/Emilin1/Eng/Epha2/Ephb2/Exosc8/Fbln1/Fgfr1/Fgfr3/Fgfr4/Flt1/Fn1/Foxp1/Gas6/Gja1/Glg1/Gpnmb/Grb7/Hdac3/Hdac7/Hmox1/Id1/Ilrun/Inhbb/Itgb8/Kcnq1/Kdm1a/Kdr/Laptm5/Larp7/Ldlr/Met/Mul1/Myadm/Ncl/Nup155/Parp16/Pmp22/Polr2g/Ptprc/Rabgef1/Rgs2/Rnaseh2b/Rnasel/Rnf139/Rock2/Rps3/Serpinf1/Sfrp1/Shfl/Siglec1/Slc7a5/Slit2/Smad5/Smo/Spi1/Srsf7/Thbs1/Tmbim6/Tnfrsf4/Trem2/Trim2/Tsku/Tspo/Twist2/Vim/Vsir/Wnt11/Wnt8b/Zar1/Zc3h10/Zfp36l2",100,2,FALSE
