benchmark,split,method,space,projection_repeat,projection_seed,projection_sha256,n_projections,primary_metric,primary_value,sliced_w2,exact_w1,exact_w2,n_predicted,n_observed,predicted_weight_sum,exact_ot_predicted_points,exact_ot_observed_points,target,dataset
zebrafish,loto_t3,SpaTrack (PCA/Euclidean),state,2,3567148712,d11cc606064aa0c9ed60b155fa990c2020dfe4da04fda3ab500fe61e6a681ff1,1024,sliced_w2,0.0458457556575179,0.0458457556575179,0.8542510622423086,0.8867935186494591,5000,3048,5000.0,800,800,3,zebrafish
zebrafish,loto_t3,SpaTrack (PCA/Euclidean),state,3,4207211794,f4d437fffbf98d832bc3429d5ad46205179d9c10724baefddc3451321c2bfa8c,1024,sliced_w2,0.0461919303833248,0.0461919303833248,0.8542510622423086,0.8867935186494591,5000,3048,5000.0,800,800,3,zebrafish
zebrafish,loto_t3,SpaTrack (PCA/Euclidean),state,4,58858167,8e234de70126af6dca3b426ba228671d71533d8b034821635318f8d90d5f582b,1024,sliced_w2,0.0463841822302213,0.0463841822302213,0.8542510622423086,0.8867935186494591,5000,3048,5000.0,800,800,3,zebrafish
zebrafish,loto_t3,SpaTrack (PCA/Euclidean),spatial,0,326032750,2bb276ca5387238387ac1c2d8dc72447de561842b88d901de8efbe64624b3c1a,1024,sliced_w2,0.1571677519200901,0.1571677519200901,0.2396027505883805,0.2731422228244765,5000,3048,5000.0,800,800,3,zebrafish
zebrafish,loto_t3,SpaTrack (PCA/Euclidean),spatial,1,4015215290,014410ce573dad509353d05bee07d5518c8827d858208fd94ca586e0f9030ff0,1024,sliced_w2,0.160394353719978,0.160394353719978,0.2396027505883805,0.2731422228244765,5000,3048,5000.0,800,800,3,zebrafish
zebrafish,loto_t3,SpaTrack (PCA/Euclidean),spatial,2,4114612002,b61449d5dfdf8c9a5ffdc131e3356201783c488b6e1b7f2af103894854b7f415,1024,sliced_w2,0.1568650373459387,0.1568650373459387,0.2396027505883805,0.2731422228244765,5000,3048,5000.0,800,800,3,zebrafish
zebrafish,loto_t3,SpaTrack (PCA/Euclidean),spatial,3,3112416844,c511469c52217dc21dbc98fe62e0a02d7c1ef54c228844b0bfd2d48de4c7afeb,1024,sliced_w2,0.1590079662526961,0.1590079662526961,0.2396027505883805,0.2731422228244765,5000,3048,5000.0,800,800,3,zebrafish
zebrafish,loto_t3,SpaTrack (PCA/Euclidean),spatial,4,4212668411,ea3553f83e3c991eb7412ea0cdc6d71aea316a501aa259eadbb173f9f355de47,1024,sliced_w2,0.1577258255477839,0.1577258255477839,0.2396027505883805,0.2731422228244765,5000,3048,5000.0,800,800,3,zebrafish
mosta,loto_t1,SpaTrack (PCA/Euclidean),joint,0,2402810919,3e9bbee02e7b8dcf9ff05a2ff5b52d1f066b1a3cc4c8314534d1d12044cd5e7d,1024,sliced_w2,0.063476045922584,0.063476045922584,1.0471147842290829,1.0623380277158134,5000,77369,5000.0,800,800,1,mosta
mosta,loto_t1,SpaTrack (PCA/Euclidean),joint,1,2036309633,f7f6fea7f2108d1512965651bf637edb07bafc22bc66a18174de6cfb254f6c6c,1024,sliced_w2,0.0637104888420088,0.0637104888420088,1.0471147842290829,1.0623380277158134,5000,77369,5000.0,800,800,1,mosta
mosta,loto_t1,SpaTrack (PCA/Euclidean),joint,2,350204240,2ff59957114e932536c0ac041e1ed74a29d66646b1c79db90c43c910bceace56,1024,sliced_w2,0.0625771057130384,0.0625771057130384,1.0471147842290829,1.0623380277158134,5000,77369,5000.0,800,800,1,mosta
mosta,loto_t1,SpaTrack (PCA/Euclidean),joint,3,52759170,aa051c08df4595955fcb4d45b62bfaae060f2a2d1b33ed35b809cc57ffa31f85,1024,sliced_w2,0.0635747441908311,0.0635747441908311,1.0471147842290829,1.0623380277158134,5000,77369,5000.0,800,800,1,mosta
mosta,loto_t1,SpaTrack (PCA/Euclidean),joint,4,605972128,cb34dcc432b956edd923f65b779936ceb9a78ba71eec4e20f5bc8b1d1045986e,1024,sliced_w2,0.0621608640285039,0.0621608640285039,1.0471147842290829,1.0623380277158134,5000,77369,5000.0,800,800,1,mosta
mosta,loto_t1,SpaTrack (PCA/Euclidean),state,0,3270192688,4e027d0c3d18aa29ed117b70002855f706fd6ee94e2b5a7b7e864668d2a98797,1024,sliced_w2,0.0552987572449103,0.0552987572449103,0.9420457310182352,0.9543473364488104,5000,77369,5000.0,800,800,1,mosta
mosta,loto_t1,SpaTrack (PCA/Euclidean),state,1,1611721740,9607ad287d1e21ff7833365af1b42ff0e5e6540a70ed4d364e040782295be563,1024,sliced_w2,0.0566975162752758,0.0566975162752758,0.9420457310182352,0.9543473364488104,5000,77369,5000.0,800,800,1,mosta
mosta,loto_t1,SpaTrack (PCA/Euclidean),state,2,2746707391,aff5d79d79b657e3bfc7ba8428e60dce4a498a707aa161599abaef6dadc3d9b9,1024,sliced_w2,0.0547936650944909,0.0547936650944909,0.9420457310182352,0.9543473364488104,5000,77369,5000.0,800,800,1,mosta
