source_obs_id,time_point_processed,Annotation,Batch,CellID
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.177,0.0,obNBL,Injury_2DPI_rep1_SS200000147BL_D5,CELL.177
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.178,0.0,VLMC,Injury_2DPI_rep1_SS200000147BL_D5,CELL.178
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.180,0.0,VLMC,Injury_2DPI_rep1_SS200000147BL_D5,CELL.180
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.181,0.0,obNBL,Injury_2DPI_rep1_SS200000147BL_D5,CELL.181
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.183,0.0,VLMC,Injury_2DPI_rep1_SS200000147BL_D5,CELL.183
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.185,0.0,obNBL,Injury_2DPI_rep1_SS200000147BL_D5,CELL.185
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.186,0.0,obNBL,Injury_2DPI_rep1_SS200000147BL_D5,CELL.186
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.187,0.0,VLMC,Injury_2DPI_rep1_SS200000147BL_D5,CELL.187
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.188,0.0,VLMC,Injury_2DPI_rep1_SS200000147BL_D5,CELL.188
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.189,0.0,VLMC,Injury_2DPI_rep1_SS200000147BL_D5,CELL.189
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.190,0.0,VLMC,Injury_2DPI_rep1_SS200000147BL_D5,CELL.190
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.191,0.0,VLMC,Injury_2DPI_rep1_SS200000147BL_D5,CELL.191
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.192,0.0,obNBL,Injury_2DPI_rep1_SS200000147BL_D5,CELL.192
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.193,0.0,VLMC,Injury_2DPI_rep1_SS200000147BL_D5,CELL.193
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.194,0.0,obNBL,Injury_2DPI_rep1_SS200000147BL_D5,CELL.194
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.195,0.0,obNBL,Injury_2DPI_rep1_SS200000147BL_D5,CELL.195
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.196,0.0,obNBL,Injury_2DPI_rep1_SS200000147BL_D5,CELL.196
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.197,0.0,VLMC,Injury_2DPI_rep1_SS200000147BL_D5,CELL.197
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.198,0.0,MSN,Injury_2DPI_rep1_SS200000147BL_D5,CELL.198
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.199,0.0,VLMC,Injury_2DPI_rep1_SS200000147BL_D5,CELL.199
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.200,0.0,VLMC,Injury_2DPI_rep1_SS200000147BL_D5,CELL.200
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.201,0.0,obNBL,Injury_2DPI_rep1_SS200000147BL_D5,CELL.201
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.202,0.0,VLMC,Injury_2DPI_rep1_SS200000147BL_D5,CELL.202
