dataset,target,method,space,sliced_w2,projection_sd,n_projection_repeats,input_manifest_sha256,display_name,source_role,source_file_sha256
zebrafish,3,CytoBridge-0.015,state,0.06231106914135408,0.000543095308920214,5,3b9335b83452097eabdef6922f88bba547208228e60a4dfe825e23ec48f5caf7,CytoBridge,frozen_unaffected_formal_evaluation,d4c945c7663d69ed8d5eb51d65df4b3821081378f87b95f9f87f8134b961c5d5
zebrafish,3,CytoBridge-0.015,spatial,0.05873256087900562,0.0003841997895703599,5,3b9335b83452097eabdef6922f88bba547208228e60a4dfe825e23ec48f5caf7,CytoBridge,frozen_unaffected_formal_evaluation,d4c945c7663d69ed8d5eb51d65df4b3821081378f87b95f9f87f8134b961c5d5
zebrafish,3,stvcr,joint,0.07088266722818208,0.000646845071810132,5,3b9335b83452097eabdef6922f88bba547208228e60a4dfe825e23ec48f5caf7,stVCR,frozen_unaffected_formal_evaluation,d4c945c7663d69ed8d5eb51d65df4b3821081378f87b95f9f87f8134b961c5d5
zebrafish,3,stvcr,state,0.07126364246681867,0.0004578382767481197,5,3b9335b83452097eabdef6922f88bba547208228e60a4dfe825e23ec48f5caf7,stVCR,frozen_unaffected_formal_evaluation,d4c945c7663d69ed8d5eb51d65df4b3821081378f87b95f9f87f8134b961c5d5
zebrafish,3,stvcr,spatial,0.13411448479103139,0.0012091783874767052,5,3b9335b83452097eabdef6922f88bba547208228e60a4dfe825e23ec48f5caf7,stVCR,frozen_unaffected_formal_evaluation,d4c945c7663d69ed8d5eb51d65df4b3821081378f87b95f9f87f8134b961c5d5
zebrafish,3,moscot,joint,0.04577189379160804,0.000708840657498028,5,3b9335b83452097eabdef6922f88bba547208228e60a4dfe825e23ec48f5caf7,MOSCOT,frozen_unaffected_formal_evaluation,d4c945c7663d69ed8d5eb51d65df4b3821081378f87b95f9f87f8134b961c5d5
zebrafish,3,moscot,state,0.04856006709094512,0.0002279367535040788,5,3b9335b83452097eabdef6922f88bba547208228e60a4dfe825e23ec48f5caf7,MOSCOT,frozen_unaffected_formal_evaluation,d4c945c7663d69ed8d5eb51d65df4b3821081378f87b95f9f87f8134b961c5d5
zebrafish,3,moscot,spatial,0.09471069727356243,0.0007040334386979334,5,3b9335b83452097eabdef6922f88bba547208228e60a4dfe825e23ec48f5caf7,MOSCOT,frozen_unaffected_formal_evaluation,d4c945c7663d69ed8d5eb51d65df4b3821081378f87b95f9f87f8134b961c5d5
zebrafish,3,paste,joint,0.04186947799001108,0.0007268355282389345,5,3b9335b83452097eabdef6922f88bba547208228e60a4dfe825e23ec48f5caf7,PASTE,frozen_unaffected_formal_evaluation,d4c945c7663d69ed8d5eb51d65df4b3821081378f87b95f9f87f8134b961c5d5
zebrafish,3,paste,state,0.03920168850275746,0.0003635788296465812,5,3b9335b83452097eabdef6922f88bba547208228e60a4dfe825e23ec48f5caf7,PASTE,frozen_unaffected_formal_evaluation,d4c945c7663d69ed8d5eb51d65df4b3821081378f87b95f9f87f8134b961c5d5
zebrafish,3,paste,spatial,0.09796584510701274,0.0004894622508696231,5,3b9335b83452097eabdef6922f88bba547208228e60a4dfe825e23ec48f5caf7,PASTE,frozen_unaffected_formal_evaluation,d4c945c7663d69ed8d5eb51d65df4b3821081378f87b95f9f87f8134b961c5d5
zebrafish,3,spateo,joint,0.07500340005577191,0.001303316843941918,5,3b9335b83452097eabdef6922f88bba547208228e60a4dfe825e23ec48f5caf7,Spateo,frozen_unaffected_formal_evaluation,d4c945c7663d69ed8d5eb51d65df4b3821081378f87b95f9f87f8134b961c5d5
zebrafish,3,spateo,state,0.04653753547366082,0.00020590296241903883,5,3b9335b83452097eabdef6922f88bba547208228e60a4dfe825e23ec48f5caf7,Spateo,frozen_unaffected_formal_evaluation,d4c945c7663d69ed8d5eb51d65df4b3821081378f87b95f9f87f8134b961c5d5
zebrafish,3,spateo,spatial,0.3025047903992165,0.0026604261842166953,5,3b9335b83452097eabdef6922f88bba547208228e60a4dfe825e23ec48f5caf7,Spateo,frozen_unaffected_formal_evaluation,d4c945c7663d69ed8d5eb51d65df4b3821081378f87b95f9f87f8134b961c5d5
zebrafish,3,random_independent_pairs,joint,0.047911185002062276,0.0007674327577185433,5,3b9335b83452097eabdef6922f88bba547208228e60a4dfe825e23ec48f5caf7,Random interpolation,frozen_unaffected_formal_evaluation,d4c945c7663d69ed8d5eb51d65df4b3821081378f87b95f9f87f8134b961c5d5
zebrafish,3,random_independent_pairs,state,0.04289483738332744,0.00030219576585317667,5,3b9335b83452097eabdef6922f88bba547208228e60a4dfe825e23ec48f5caf7,Random interpolation,frozen_unaffected_formal_evaluation,d4c945c7663d69ed8d5eb51d65df4b3821081378f87b95f9f87f8134b961c5d5
zebrafish,3,random_independent_pairs,spatial,0.1322068160026575,0.0005553374111360286,5,3b9335b83452097eabdef6922f88bba547208228e60a4dfe825e23ec48f5caf7,Random interpolation,frozen_unaffected_formal_evaluation,d4c945c7663d69ed8d5eb51d65df4b3821081378f87b95f9f87f8134b961c5d5
zebrafish,3,mioflow,state,0.04473469706253788,0.00036178341404967184,5,3b9335b83452097eabdef6922f88bba547208228e60a4dfe825e23ec48f5caf7,MIOFlow,frozen_unaffected_formal_evaluation,d4c945c7663d69ed8d5eb51d65df4b3821081378f87b95f9f87f8134b961c5d5
zebrafish,3,stories,state,0.04677271738165404,0.0003212857476467493,5,3b9335b83452097eabdef6922f88bba547208228e60a4dfe825e23ec48f5caf7,STORIES,frozen_unaffected_formal_evaluation,d4c945c7663d69ed8d5eb51d65df4b3821081378f87b95f9f87f8134b961c5d5
zebrafish,3,wot,state,0.04709352260695486,0.0002738245574502003,5,3b9335b83452097eabdef6922f88bba547208228e60a4dfe825e23ec48f5caf7,Waddington-OT,frozen_unaffected_formal_evaluation,d4c945c7663d69ed8d5eb51d65df4b3821081378f87b95f9f87f8134b961c5d5
mosta,1,CytoBridge-0.015,joint,0.05143740291474126,0.0008494246121392041,5,cfcae1667edc50b99ac4906ca1260140324279e36c281bdae86b6fba0ff968d9,CytoBridge,frozen_unaffected_formal_evaluation,432db324680e781cc21de32040136dc109801f10176167f35dcf00560243f4d1
mosta,1,CytoBridge-0.015,state,0.05144806574952167,0.0017612560362374025,5,cfcae1667edc50b99ac4906ca1260140324279e36c281bdae86b6fba0ff968d9,CytoBridge,frozen_unaffected_formal_evaluation,432db324680e781cc21de32040136dc109801f10176167f35dcf00560243f4d1
mosta,1,CytoBridge-0.015,spatial,0.04973698848077734,0.0004247317832341444,5,cfcae1667edc50b99ac4906ca1260140324279e36c281bdae86b6fba0ff968d9,CytoBridge,frozen_unaffected_formal_evaluation,432db324680e781cc21de32040136dc109801f10176167f35dcf00560243f4d1
mosta,1,stvcr,joint,0.047728942072083405,0.0006251379491769006,5,cfcae1667edc50b99ac4906ca1260140324279e36c281bdae86b6fba0ff968d9,stVCR,frozen_unaffected_formal_evaluation,432db324680e781cc21de32040136dc109801f10176167f35dcf00560243f4d1
mosta,1,stvcr,state,0.047040226209862576,0.0008422581787108198,5,cfcae1667edc50b99ac4906ca1260140324279e36c281bdae86b6fba0ff968d9,stVCR,frozen_unaffected_formal_evaluation,432db324680e781cc21de32040136dc109801f10176167f35dcf00560243f4d1
mosta,1,stvcr,spatial,0.082949906724098,0.0005362834444793241,5,cfcae1667edc50b99ac4906ca1260140324279e36c281bdae86b6fba0ff968d9,stVCR,frozen_unaffected_formal_evaluation,432db324680e781cc21de32040136dc109801f10176167f35dcf00560243f4d1
mosta,1,moscot,joint,0.05537664842446784,0.0005946859968833584,5,cfcae1667edc50b99ac4906ca1260140324279e36c281bdae86b6fba0ff968d9,MOSCOT,frozen_unaffected_formal_evaluation,432db324680e781cc21de32040136dc109801f10176167f35dcf00560243f4d1
mosta,1,moscot,state,0.06066365467656341,0.0008499328414162432,5,cfcae1667edc50b99ac4906ca1260140324279e36c281bdae86b6fba0ff968d9,MOSCOT,frozen_unaffected_formal_evaluation,432db324680e781cc21de32040136dc109801f10176167f35dcf00560243f4d1
mosta,1,moscot,spatial,0.04984913557163616,0.0003927633287156894,5,cfcae1667edc50b99ac4906ca1260140324279e36c281bdae86b6fba0ff968d9,MOSCOT,frozen_unaffected_formal_evaluation,432db324680e781cc21de32040136dc109801f10176167f35dcf00560243f4d1
mosta,1,paste,joint,0.04949752171362162,0.0006908848529190925,5,cfcae1667edc50b99ac4906ca1260140324279e36c281bdae86b6fba0ff968d9,PASTE,frozen_unaffected_formal_evaluation,432db324680e781cc21de32040136dc109801f10176167f35dcf00560243f4d1
mosta,1,paste,state,0.04661876366330248,0.001102165880114743,5,cfcae1667edc50b99ac4906ca1260140324279e36c281bdae86b6fba0ff968d9,PASTE,frozen_unaffected_formal_evaluation,432db324680e781cc21de32040136dc109801f10176167f35dcf00560243f4d1
