source_time,target_time,source,target,count,source_fraction
2.0,2.5,Connective tissue,Connective tissue,6169,0.7626406230683644
2.0,2.5,Connective tissue,Spinal cord,419,0.05179873902831005
2.0,2.5,Dorsal root ganglion,Dorsal root ganglion,983,0.7752365930599369
2.0,2.5,Dorsal root ganglion,Spinal cord,122,0.09621451104100946
2.0,2.5,Epidermis,Epidermis,681,0.4277638190954774
2.0,2.5,Epidermis,Spinal cord,266,0.1670854271356784
2.0,2.5,Epidermis,Cavity,262,0.16457286432160803
2.0,2.5,Epidermis,Connective tissue,218,0.13693467336683418
2.0,2.5,Facial nerve,Facial nerve,2,0.5
2.0,2.5,Facial nerve,Brain,1,0.25
2.0,2.5,Facial nerve,Choroid plexus,1,0.25
2.0,2.5,GI tract,Cavity,285,0.488013698630137
2.0,2.5,GI tract,GI tract,113,0.1934931506849315
2.0,2.5,GI tract,Connective tissue,70,0.11986301369863013
2.0,2.5,Heart,Heart,1915,0.9246740704973443
2.0,2.5,Jaw and tooth,Jaw and tooth,2836,0.8287551139684395
2.0,2.5,Kidney,Kidney,47,0.40869565217391307
2.0,2.5,Kidney,Cavity,29,0.25217391304347825
2.0,2.5,Kidney,Connective tissue,29,0.25217391304347825
2.0,2.5,Liver,Liver,1750,0.8365200764818356
2.0,2.5,Lung,Lung,444,0.7196110210696921
2.0,2.5,Lung,Liver,54,0.08752025931928688
2.0,2.5,Meninges,Meninges,2257,0.6478185993111366
2.0,2.5,Meninges,Brain,747,0.21440872560275545
2.0,2.5,Mesentery,Cavity,1,1.0
2.0,2.5,Mesothelium,Smooth muscle,1,1.0
2.0,2.5,Mucosal epithelium,Jaw and tooth,49,0.4224137931034483
2.0,2.5,Mucosal epithelium,Connective tissue,23,0.19827586206896552
2.0,2.5,Mucosal epithelium,Mucosal epithelium,21,0.1810344827586207
2.0,2.5,Muscle,Connective tissue,698,0.5415050426687354
2.0,2.5,Muscle,Muscle,377,0.2924747866563227
2.0,2.5,Pancreas,Cavity,24,0.46153846153846156
2.0,2.5,Pancreas,Pancreas,8,0.15384615384615385
2.0,2.5,Pancreas,Connective tissue,7,0.1346153846153846
2.0,2.5,Pancreas,Lung,5,0.09615384615384616
2.0,2.5,Smooth muscle,Cavity,78,0.5454545454545454
2.0,2.5,Smooth muscle,Smooth muscle,50,0.34965034965034963
2.0,2.5,Spinal cord,Spinal cord,2542,0.8269355888093689
2.0,2.5,Sympathetic nerve,Connective tissue,8,0.5714285714285714
2.0,2.5,Sympathetic nerve,Sympathetic nerve,3,0.21428571428571427
2.0,2.5,Sympathetic nerve,Smooth muscle,2,0.14285714285714285
2.5,3.0,Adipose tissue,Adipose tissue,247,0.4229452054794521
2.5,3.0,Adipose tissue,Meninges,128,0.2191780821917808
2.5,3.0,Adipose tissue,Spinal cord,112,0.1917808219178082
2.5,3.0,Adrenal gland,Cavity,13,0.7647058823529411
2.5,3.0,Adrenal gland,Adrenal gland,2,0.11764705882352941
2.5,3.0,Blood vessel,Heart,29,0.43283582089552236
2.5,3.0,Blood vessel,Connective tissue,20,0.29850746268656714
2.5,3.0,Blood vessel,Blood vessel,10,0.14925373134328357
2.5,3.0,Brain,Brain,10309,0.8647039087401442
2.5,3.0,Cartilage,Cartilage,58,0.42962962962962964
2.5,3.0,Cartilage,Connective tissue,19,0.14074074074074075
2.5,3.0,Cartilage,Spinal cord,18,0.13333333333333333
2.5,3.0,Cartilage,Adipose tissue,13,0.0962962962962963
2.5,3.0,Cartilage primordium,Cartilage,348,0.2714508580343214
2.5,3.0,Cartilage primordium,Cartilage primordium,253,0.19734789391575663
2.5,3.0,Cartilage primordium,Connective tissue,243,0.18954758190327614
2.5,3.0,Cartilage primordium,Meninges,131,0.10218408736349453
2.5,3.0,Cartilage primordium,Brain,115,0.08970358814352575
2.5,3.0,Cavity,Cavity,4924,0.7017243836397321
2.5,3.0,Cavity,Connective tissue,390,0.05557930739632321
2.5,3.0,Cavity,Smooth muscle,310,0.04417842382784666
2.5,3.0,Choroid plexus,Choroid plexus,129,0.5330578512396694
2.5,3.0,Choroid plexus,Brain,105,0.43388429752066116
2.5,3.0,Connective tissue,Connective tissue,6400,0.6948214091846705
2.5,3.0,Connective tissue,Cavity,631,0.06850504831180111
2.5,3.0,Connective tissue,Spinal cord,483,0.0524373032244056
2.5,3.0,Dorsal root ganglion,Dorsal root ganglion,830,0.7377777777777778
2.5,3.0,Dorsal root ganglion,Spinal cord,162,0.144
2.5,3.0,Epidermis,Epidermis,612,0.5640552995391706
2.5,3.0,Epidermis,Spinal cord,187,0.17235023041474654
2.5,3.0,Epidermis,Cavity,125,0.1152073732718894
2.5,3.0,Facial nerve,Brain,3,0.375
2.5,3.0,Facial nerve,Inner ear,3,0.375
2.5,3.0,Facial nerve,Choroid plexus,1,0.125
2.5,3.0,GI tract,Cavity,117,0.4854771784232365
2.5,3.0,GI tract,Smooth muscle,44,0.1825726141078838
2.5,3.0,GI tract,GI tract,36,0.14937759336099585
2.5,3.0,Heart,Heart,2276,0.9389438943894389
2.5,3.0,Jaw and tooth,Jaw and tooth,2552,0.7794746487477092
2.5,3.0,Jaw and tooth,Connective tissue,396,0.1209529627367135
2.5,3.0,Kidney,Kidney,40,0.3883495145631068
2.5,3.0,Kidney,Cavity,27,0.2621359223300971
2.5,3.0,Kidney,Connective tissue,19,0.18446601941747573
2.5,3.0,Liver,Liver,1695,0.8366238894373149
2.5,3.0,Lung,Lung,435,0.6926751592356688
2.5,3.0,Lung,Cavity,65,0.1035031847133758
2.5,3.0,Lung,Liver,57,0.09076433121019108
2.5,3.0,Meninges,Meninges,2432,0.6583649160801299
2.5,3.0,Meninges,Brain,740,0.20032485110990797
2.5,3.0,Mucosal epithelium,Mucosal epithelium,46,0.38333333333333336
2.5,3.0,Mucosal epithelium,Jaw and tooth,32,0.26666666666666666
2.5,3.0,Mucosal epithelium,Connective tissue,20,0.16666666666666666
2.5,3.0,Muscle,Connective tissue,313,0.6480331262939959
2.5,3.0,Muscle,Muscle,107,0.22153209109730848
2.5,3.0,Olfactory epithelium,Olfactory epithelium,1,1.0
2.5,3.0,Pancreas,Cavity,15,0.4166666666666667
2.5,3.0,Pancreas,Pancreas,11,0.3055555555555556
2.5,3.0,Pancreas,Connective tissue,4,0.1111111111111111
2.5,3.0,Smooth muscle,Cavity,167,0.48265895953757226
2.5,3.0,Smooth muscle,Smooth muscle,135,0.3901734104046243
2.5,3.0,Spinal cord,Spinal cord,3201,0.8159571756308948
2.5,3.0,Sympathetic nerve,Connective tissue,5,0.8333333333333334
