"SYMBOL","mapped"
"Lipo5",TRUE
"Llgl2",TRUE
"Lpl",TRUE
"Lrrc4c",TRUE
"Lrrc52",TRUE
"Lrrc6",FALSE
"Lrrtm4",TRUE
"Lsamp",TRUE
"Lst1",TRUE
"Ly6g5c",TRUE
"Lyg2",TRUE
"Lypd6b",TRUE
"Lyz2",TRUE
"Mafa",TRUE
"Magea2",TRUE
"Majin",TRUE
"Mal",TRUE
"Malrd1",TRUE
"Map3k11",TRUE
"Mapt",TRUE
"Mast3",TRUE
"Matn1",TRUE
"Matn2",TRUE
"Mctp2",TRUE
"Mdga2",TRUE
"Megf8",TRUE
"Mep1b",TRUE
"Mfsd12",TRUE
"Mgat4a",TRUE
"Mgat4c",TRUE
"Mlxipl",TRUE
"Mmp23",TRUE
"Mog",TRUE
"Mogat1",TRUE
"Morc1",TRUE
"Mpl",TRUE
"Mpzl2",TRUE
"Mrgprd",TRUE
"Mslnl",TRUE
"Msmb",TRUE
"Mt1",TRUE
"Mt2",TRUE
"Mt4",TRUE
"Muc1",TRUE
"Muc3",FALSE
"Mybpc1",TRUE
"Myh11",TRUE
"Myh14",TRUE
"Myh3",TRUE
"Myh7",TRUE
"Myh8",TRUE
"Myl1",TRUE
"Myl3",TRUE
"Myl4",TRUE
"Mylk",TRUE
"Mylpf",TRUE
"Myo5c",TRUE
"Myoc",TRUE
"N4bp3",TRUE
"Naa11",TRUE
"Naga",TRUE
"Nalcn",TRUE
"Nat3",TRUE
"Nav3",TRUE
"Ncf2",TRUE
"Ncmap",TRUE
"Neb",TRUE
"Nebl",TRUE
"Nefl",TRUE
"Nefm",TRUE
"Negr1",TRUE
"Ngp",TRUE
"Nipal1",TRUE
"Nlrp4a",TRUE
"Nlrp4b",TRUE
"Nnat",TRUE
"Npbwr1",TRUE
"Npsr1",TRUE
"Npy",TRUE
"Nrg3",TRUE
"Nrp2",TRUE
"Nrros",TRUE
"Nrxn1",TRUE
"Nrxn3",TRUE
"Ntm",TRUE
"Ntrk1",TRUE
"Nts",TRUE
"Nxf7",TRUE
"Nxph1",TRUE
"Oas3",TRUE
"Oasl2",TRUE
"Oc90",TRUE
"Odf3l2",FALSE
"Ofcc1",TRUE
"Olfml2a",TRUE
"Olfml2b",TRUE
"Olfr1030",FALSE
"Olfr107",FALSE
"Olfr115",FALSE
"Olfr118",FALSE
"Olfr1191-ps1",FALSE
"Olfr1322",FALSE
"Olfr1330",FALSE
"Olfr1385",FALSE
"Olfr139",FALSE
"Olfr1392",FALSE
"Olfr1428",FALSE
"Olfr157",FALSE
"Olfr160",FALSE
"Olfr288",FALSE
"Olfr372",FALSE
"Olfr391-ps",FALSE
"Olfr398",FALSE
"Olfr432",FALSE
"Olfr60",FALSE
"Olfr704",FALSE
"Olfr71",FALSE
"Olfr710",FALSE
"Olfr718-ps1",FALSE
"Olfr720",FALSE
"Olfr869",FALSE
"Olfr876",FALSE
"Olfr93",FALSE
"Olfr945",FALSE
"Olfr986",FALSE
"Ovol1",TRUE
"Ovol2",TRUE
"Pacsin1",TRUE
"Padi3",TRUE
"Papln",TRUE
"Parp4",TRUE
"Pax1",TRUE
"Pax4",TRUE
"Pcdh7",TRUE
"Pcdhb13",TRUE
"Pcdhb3",TRUE
"Pcdhga12",TRUE
"Pcp4",TRUE
"Pcsk2",TRUE
"Pcsk9",TRUE
"Pde3a",TRUE
"Penk",TRUE
"Perp",TRUE
"Phactr1",TRUE
"Pid1",TRUE
"Piezo2",TRUE
"Pilrb1",TRUE
"Pitpnm1",TRUE
"Piwil2",TRUE
"Pkd1",TRUE
"Pkhd1l1",TRUE
"Pkp3",TRUE
"Pla2g10os",TRUE
"Platr29",TRUE
"Plb1",TRUE
"Plbd2",TRUE
"Plcb2",TRUE
"Plcz1",TRUE
"Plekha2",TRUE
"Plscr2",TRUE
"Pmp22",TRUE
"Pnliprp1",TRUE
"Pnmal2",FALSE
"Pnpo",TRUE
"Postn",TRUE
"Pou6f2",TRUE
"Ppara",TRUE
"Ppef2",TRUE
"Ppl",TRUE
"Ppp1r15a",TRUE
"Pramel7",TRUE
"Prkcb",TRUE
"Prkg1",TRUE
"Prok1",TRUE
"Prok2",TRUE
"Prph",TRUE
"Prr27",TRUE
"Prrg3",TRUE
"Prrx1",TRUE
"Prss30",TRUE
"Prss39",TRUE
"Prss43",TRUE
"Prss51",TRUE
"Psg21",TRUE
"Psg29",TRUE
"Ptchd4",TRUE
"Ptgds",TRUE
"Ptges",TRUE
"Ptgs2os2",TRUE
"Ptprd",TRUE
"Ptprm",TRUE
"Pxdn",TRUE
"Rab6b",TRUE
"Ranbp3l",TRUE
"Rasa4",TRUE
"Rbfox1",TRUE
"Rbm47",TRUE
"Rbms3",TRUE
"Rbp4",TRUE
"Rcan2",TRUE
"Rdh19",TRUE
"Ren1",TRUE
"Rgs4",TRUE
"Rgs6",TRUE
"Rhog",TRUE
"Rhov",TRUE
"Rhox4c",TRUE
"Rilp",TRUE
"Rimkla",TRUE
"Robo2",TRUE
"Ros1",TRUE
"Rpl3l",TRUE
"Rtp2",TRUE
"Runx2",TRUE
"S100a3",TRUE
"S100a4",TRUE
"S100a6",TRUE
"S100a8",TRUE
"S100a9",TRUE
"Samd7",TRUE
"Sbno2",TRUE
"Scgb3a2",TRUE
"Scml4",TRUE
"Scn11a",TRUE
"Sec14l4",TRUE
"Sema6d",TRUE
"Sept14",FALSE
"Serpina1b",TRUE
"Serpina1e",TRUE
"Serpina6",TRUE
"Serpinb3b",TRUE
"Serpinb5",TRUE
"Serpinf2",TRUE
"Serping1",TRUE
"Sfi1",TRUE
"Sfn",TRUE
"Sftpc",TRUE
"Sgcd",TRUE
"Sgcz",TRUE
"Sh3gl2",TRUE
"Shisa6",TRUE
"Siglec1",TRUE
"Sit1",TRUE
"Ski",TRUE
"Skint9",TRUE
"Slc10a6",TRUE
"Slc12a1",TRUE
"Slc25a37",TRUE
"Slc26a9",TRUE
"Slc27a2",TRUE
"Slc29a3",TRUE
"Slc2a10",TRUE
"Slc44a4",TRUE
"Slc4a1",TRUE
"Slc4a3",TRUE
"Slc6a14",TRUE
"Slc6a19",TRUE
"Slc7a3",TRUE
"Slc9a1",TRUE
"Slco1a5",TRUE
"Slco1b2",TRUE
"Sln",TRUE
"Smim6",TRUE
"Snca",TRUE
"Sncg",TRUE
"Snhg11",TRUE
"Sp6",TRUE
"Sparc",TRUE
"Spata18",TRUE
"Spink5",TRUE
"Spinkl",TRUE
"Spp1",TRUE
"Sprr1a",TRUE
"Spryd3",TRUE
"Srgn",TRUE
"Srpk3",TRUE
"St8sia4",TRUE
"Stac2",TRUE
"Stfa1",TRUE
"Stfa3",TRUE
"Strc",TRUE
"Sult2a3",TRUE
"Sult2a5",TRUE
"Sult3a2",TRUE
"Sun5",TRUE
"Susd2",TRUE
"Syt10",TRUE
"Syt12",TRUE
"Syt7",TRUE
"Sytl1",TRUE
"Tac1",TRUE
"Tac2",TRUE
"Tacstd2",TRUE
"Tagln",TRUE
"Taok2",TRUE
"Tas1r2",TRUE
"Tceal7",TRUE
"Tcp10b",TRUE
"Tcp10c",TRUE
"Tdrd12",TRUE
"Tdrd9",TRUE
