stage,stage_label,sender_type,receiver_type,n_sender_cells_mean,n_sender_cells_std,n_sender_cells_min,n_sender_cells_max,n_receiver_cells_mean,n_receiver_cells_std,n_receiver_cells_min,n_receiver_cells_max,edge_count_mean,edge_count_std,edge_count_min,edge_count_max,G_AB_attention_mean_mean,G_AB_attention_mean_std,G_AB_attention_mean_min,G_AB_attention_mean_max,A_AB_mass_attention_mean,A_AB_mass_attention_std,A_AB_mass_attention_min,A_AB_mass_attention_max,edge_predictor_probability_mean_mean,edge_predictor_probability_mean_std,edge_predictor_probability_mean_min,edge_predictor_probability_mean_max,spatial_distance_mean_mean,spatial_distance_mean_std,spatial_distance_mean_min,spatial_distance_mean_max,D_AB_joint_mean,D_AB_joint_std,D_AB_joint_min,D_AB_joint_max,D_AB_spatial_mean,D_AB_spatial_std,D_AB_spatial_min,D_AB_spatial_max,D_AB_state_mean,D_AB_state_std,D_AB_state_min,D_AB_state_max,n_grouping_seeds
4.0,terminal_4,Nervous System,Posterior Erythroid Lineage Cell,824.0,0.0,824,824,5.0,0.0,5,5,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
4.0,terminal_4,Nervous System,Pronephros,824.0,0.0,824,824,210.0,0.0,210,210,2.8,1.3038404810405297,1,4,2.001386960347493,0.12486088947804486,1.844422161579132,2.1910414695739746,0.00638009252944694,0.006529351403095082,0.0009485027512130984,0.013705325556656938,0.6932835002740224,0.02657656945375239,0.674706757068634,0.7384874820709229,0.06979267535110315,0.0070564003767401105,0.05778931453824043,0.07473503425717354,0.028652696991703606,0.031114176626123907,0.003891773516890611,0.06339525575231279,0.0005052777111761678,0.0002442230999704771,0.0002628944830278603,0.0007926343176683037,0.028638883150206757,0.031108645723634445,0.0038828839279026394,0.0633743527523976,5
4.0,terminal_4,Nervous System,Slow Muscle Cell,824.0,0.0,824,824,41.0,0.0,41,41,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
4.0,terminal_4,Nervous System,Spinal Cord Anterior Region,824.0,0.0,824,824,64.0,0.0,64,64,152.4,7.436396977031284,142,163,1.7055928314917783,0.03591540331737331,1.6651701154677492,1.759884774684906,0.6263143955424033,0.06960922391245944,0.5417326638488584,0.6900840931904426,0.7800919592432226,0.005737164763410989,0.7718347609043121,0.7874308989091885,0.06866018332902193,0.0011331467844078649,0.0674301846976098,0.07040744869064697,3.616437504377546,0.41669350907911096,3.125354659461064,4.018423058618573,0.24169671283167976,0.0350624498826071,0.20001654168465305,0.2727921488687061,3.606901687028482,0.4149217517072014,3.1175956167433903,4.007382698778444,5
4.0,terminal_4,Nervous System,Spinal Cord Dorsal Region,824.0,0.0,824,824,272.0,0.0,272,272,21.8,3.2710854467592254,18,26,0.7515214250377384,0.03441320621548941,0.6950295533125217,0.7798962859730971,0.01314706958050951,0.002567109385911709,0.009769049348506883,0.016104591350421443,0.7754929787610799,0.00529990139868969,0.7684148458334116,0.7804051015688025,0.06550831446325692,0.004116162147342345,0.06204382965908102,0.072472941958242,0.09080797028658341,0.01970137607719056,0.0638779698004962,0.11304875199975968,0.00023883986945432692,5.740585702753441e-05,0.00017674361408829238,0.00030846766739717267,0.09080762229529785,0.019701292613315997,0.06387769831523495,0.11304829424177691,5
4.0,terminal_4,Nervous System,Spinal Cord Ventral Region,824.0,0.0,824,824,232.0,0.0,232,232,61.2,3.898717737923586,57,67,1.9501261840040922,0.06031103665069538,1.8662539337998005,2.024664007780845,0.0861696422859759,0.01665657723953372,0.07276834349173988,0.10580869161264693,0.7737112963088262,0.009366911877016841,0.7651362210985214,0.7890945913498861,0.06799216352334184,0.0007989518438511551,0.06671343060305059,0.0687565575840313,0.4853545723208481,0.09691458261598153,0.4056949328187289,0.5982593075176555,0.033585392533799344,0.010154342624545521,0.02410292710245032,0.047801393596449464,0.48399498778320266,0.09642877751073303,0.404695283365965,0.59610479685916,5
4.0,terminal_4,Nervous System,Yolk Syncytial Layer,824.0,0.0,824,824,27.0,0.0,27,27,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
4.0,terminal_4,Notochord,Anterior Erythroid Lineage Cell,171.0,0.0,171,171,23.0,0.0,23,23,4.8,2.2803508501982757,2,8,1.2855981041987739,0.18913542037460165,1.070998564362526,1.5427516847848892,0.11113487464116296,0.02978019844706872,0.06707616020803867,0.14599723530852277,0.7144083127379417,0.02335509421903292,0.6905747354030609,0.7487049698829651,0.07074969202900926,0.0037993451292522304,0.06398175843060017,0.07294124861558278,0.5400139065788243,0.15137246310937738,0.30117485529947824,0.6645247317761759,0.019500511760588944,0.011118928348972414,0.0037297700697657486,0.034295499106481935,0.5394856962545623,0.15104715060999663,0.3011517595497133,0.6635703766171342,5
4.0,terminal_4,Notochord,Epidermis,171.0,0.0,171,171,47.0,0.0,47,47,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
4.0,terminal_4,Notochord,Eye,171.0,0.0,171,171,71.0,0.0,71,71,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
