variant,reference,timepoint,velocity_key,n_cells,n_nonzero_pairs,zero_pair_fraction,mean_cosine_raw,median_cosine_raw,mean_cosine_rigid_adjusted,median_cosine_rigid_adjusted,meaningful_velocity_cutoff_baseline_p10,n_meaningful_pairs,mean_cosine_meaningful,median_cosine_meaningful,global_vector_cosine_rigid_adjusted,magnitude_spearman,relative_vector_field_rmse,mean_delta_l2_rigid_adjusted
rotate_strong,baseline_repeat,D14,full,1967,1967,0.0,0.7775875986339241,0.914268724555607,0.8162382835064277,0.9573512649594522,0.16149507359991605,1644,0.8714088198880873,0.9672255444900382,0.8934178877214118,0.8076663390223229,0.5104387116511758,0.15687001756276736
rotate_strong,baseline_repeat,D14,interaction,1967,1963,0.0020335536349771477,0.6239336513945017,0.8733798352448869,0.6324326967300069,0.8930947809389582,0.011280512489434383,1635,0.6863017903041925,0.9133207200885362,0.6575345189620234,0.38490853449542484,0.8302808669034125,0.040171685944033676
translate_rotate_low,baseline_repeat,D4,full,147,147,0.0,0.9406398779922337,0.9844588302960184,0.9301775523343846,0.9806740974295254,0.07811896361619332,126,0.9543992386674109,0.9838471787549723,0.9541801307842879,0.9368412303833047,0.3016386475985855,0.056090884564264955
translate_rotate_low,baseline_repeat,D4,interaction,147,147,0.0,0.9783275390872743,0.9934154304628356,0.9812495144874598,0.9978700066491274,0.005463815425728138,126,0.9924176270209987,0.9981679844602782,0.9774620093972485,0.9544386432840445,0.6154444965517585,0.00910316700750795
translate_rotate_low,baseline_repeat,D7,full,528,528,0.0,0.9679355251158955,0.9967671720143398,0.968372814909296,0.9968848355562393,0.05534534910194697,469,0.9844356131034319,0.9975454912528942,0.9858171334997885,0.9785912014329817,0.16860007671450147,0.02412544830959642
translate_rotate_low,baseline_repeat,D7,interaction,528,526,0.0037878787878787845,0.9496676115078075,0.9943642917925366,0.9505757070189123,0.9946464194185536,0.0017844352666525802,450,0.9744987635219226,0.9963616284388007,0.6504241167284229,0.9216828737780675,0.7603492268299207,0.001343066120070934
translate_rotate_low,baseline_repeat,D10,full,908,908,0.0,0.9795054711509514,0.9956841913417189,0.9761780930898428,0.9930209391179665,0.07197982912175008,796,0.9845672383944927,0.9936009627325324,0.9836371796881574,0.9784001334821592,0.1839008114082962,0.030629900022945678
translate_rotate_low,baseline_repeat,D10,interaction,908,904,0.004405286343612369,0.8522149420802848,0.9806735971517926,0.8543294117198937,0.9827071970798045,0.002246412270358618,761,0.9150554018576824,0.9873619381976916,0.9182548769211504,0.8754511106485309,0.40092825171853913,0.004615959180957021
translate_rotate_low,baseline_repeat,D14,full,1967,1967,0.0,0.9490201989829822,0.9825264329210565,0.9551695636408621,0.9878095821224148,0.16149507359991605,1721,0.9744130647817165,0.9891778612766653,0.9758218717046963,0.9452218474668015,0.23167731358033708,0.07223346246834271
translate_rotate_low,baseline_repeat,D14,interaction,1967,1963,0.0020335536349771477,0.8816587734703305,0.9820826555114878,0.8819373333242674,0.9834866355742733,0.011280512489434383,1688,0.9404024489397051,0.9874438633227737,0.9305912274273902,0.8586068236669664,0.382673794546048,0.017466170852233214
