dataset,target,space,metric,full,no_lr_prior,no_interaction,no_lr_prior_minus_full,no_lr_prior_relative_to_full,no_interaction_minus_full,no_interaction_relative_to_full
zebrafish,2,spatial,exact_w1,0.0957797314938,0.0717577728001,0.055968216448,-0.0240219586937,-0.250804197496,-0.0398115150459,-0.415656991567
zebrafish,2,spatial,exact_w2,0.129654341438,0.0898755295003,0.0658178179495,-0.0397788119375,-0.306806632901,-0.0638365234883,-0.492359320794
zebrafish,2,spatial,sliced_w2,0.0192525926684,0.0269268615468,0.022908773212,0.00767426887838,0.398609631988,0.00365618054359,0.189905879512
zebrafish,2,state,exact_w1,1.20645389323,1.13027318114,1.23013016322,-0.0761807120829,-0.0631443211469,0.0236762699947,0.0196246786783
zebrafish,2,state,exact_w2,1.23208232382,1.15535340497,1.25460231274,-0.0767289188475,-0.0622758052477,0.0225199889219,0.0182779904285
zebrafish,2,state,sliced_w2,0.0402231666807,0.0656483473823,0.042905641245,0.0254251807016,0.632102909833,0.00268247456431,0.0666897906273
zebrafish,3,joint,exact_w1,1.1298509559,0.991052516192,1.17920441047,-0.138798439712,-0.122846680783,0.0493534545696,0.0436813849754
zebrafish,3,joint,exact_w2,1.15087663672,1.01265106746,1.2002244414,-0.138225569256,-0.120104592314,0.0493478046838,0.0428784485751
zebrafish,3,joint,sliced_w2,0.0313007060461,0.0290449784323,0.0378995822839,-0.00225572761378,-0.072066349253,0.0065988762378,0.210821961271
zebrafish,3,spatial,exact_w1,0.0892104665744,0.077063822231,0.074650592579,-0.0121466443433,-0.136157166415,-0.0145598739954,-0.163208136382
zebrafish,3,spatial,exact_w2,0.110582429794,0.0968716453692,0.0915513766081,-0.0137107844246,-0.123987006346,-0.0190310531857,-0.17209834529
zebrafish,3,spatial,sliced_w2,0.0227492256292,0.0322867987052,0.0210557954889,0.00953757307599,0.41924825185,-0.00169343014025,-0.0744390234576
zebrafish,3,state,exact_w1,1.05273246274,0.908659854385,1.0971623917,-0.144072608357,-0.136855861727,0.0444299289591,0.0422043876593
zebrafish,3,state,exact_w2,1.07469283629,0.931278431996,1.12063349632,-0.143414404289,-0.133446878445,0.0459406600319,0.0427477121656
zebrafish,3,state,sliced_w2,0.0331342951339,0.0296840400321,0.0404497787368,-0.00345025510184,-0.104129425053,0.00731548360287,0.220782834622
zebrafish,4,joint,exact_w1,1.28980430982,1.00468397738,1.17667000249,-0.285120332434,-0.221057047386,-0.11313430733,-0.087714319505
zebrafish,4,joint,exact_w2,2.10285130712,1.02530246687,1.19539888256,-1.07754884024,-0.512422745535,-0.907452424556,-0.431534279901
zebrafish,4,joint,sliced_w2,0.278015614198,0.0298790297768,0.0367552350925,-0.248136584421,-0.892527511942,-0.241260379106,-0.867794349614
zebrafish,4,spatial,exact_w1,0.119889758861,0.118790112172,0.113183631768,-0.00109964668901,-0.0091721486427,-0.00670612709265,-0.0559357793055
zebrafish,4,spatial,exact_w2,0.150101655459,0.152345749448,0.138519778536,0.00224409398942,0.0149504946002,-0.011581876923,-0.0771602211022
zebrafish,4,spatial,sliced_w2,0.0598867567819,0.0443570892015,0.0297760087213,-0.0155296675803,-0.259317224957,-0.0301107480605,-0.502794769304
zebrafish,4,state,exact_w1,1.32257296323,0.892622935785,1.07469076634,-0.429950027447,-0.325086055288,-0.247882196892,-0.187424213093
