dataset,target,method,space,sliced_w2,projection_sd,n_projection_repeats,display_name
admouse,1,moscot,joint,0.04475012797882718,0.00025537804525494064,5,MOSCOT
admouse,1,paste,joint,0.03824811555192716,0.00025812598501319064,5,PASTE
admouse,1,random_independent_pairs,joint,0.0620828020663164,0.0003776231291037957,5,Random interpolation
admouse,1,spateo,joint,0.03961304674630518,0.00016870394682398142,5,Spateo
admouse,1,stvcr,joint,0.029096755960628738,0.0003879059342934596,5,stVCR
admouse,1,CytoBridge-0.015,spatial,0.03653058326867182,0.0004146993247459748,5,CytoBridge
admouse,1,exact_ot_displacement,spatial,0.032747739758191056,8.897536974419344e-05,5,Linear OT displacement
admouse,1,moscot,spatial,0.04235822112768158,0.0003440481247429187,5,MOSCOT
admouse,1,paste,spatial,0.11910934216226639,0.0010129187083148764,5,PASTE
admouse,1,random_independent_pairs,spatial,0.21189836488572888,0.0011129828399142716,5,Random interpolation
admouse,1,spateo,spatial,0.048824807743581236,0.00044517155941143196,5,Spateo
admouse,1,stvcr,spatial,0.08304988593177608,0.0007220015625854288,5,stVCR
admouse,1,CytoBridge-0.015,state,0.02337356064681222,0.00028214498171862394,5,CytoBridge
admouse,1,exact_ot_displacement,state,0.03270042208490404,0.00027707434491934036,5,Linear OT displacement
admouse,1,mioflow,state,0.033617001557884676,0.0004049984563203479,5,MIOFlow
admouse,1,moscot,state,0.05324968169012945,0.0002194296435610713,5,MOSCOT
admouse,1,paste,state,0.03181305227980826,0.0003008239712181044,5,PASTE
admouse,1,random_independent_pairs,state,0.04841179001391544,0.00023862303104143012,5,Random interpolation
admouse,1,spateo,state,0.0455576841097946,0.0002233310118599914,5,Spateo
admouse,1,stories,state,0.045304450954189154,0.0002782112000764182,5,STORIES
admouse,1,stvcr,state,0.025015117280379418,0.00029659579111489064,5,stVCR
admouse,1,wot,state,0.04749544371239428,0.0002625181150632494,5,Waddington-OT
chicken_heart,1,CytoBridge-0.015,joint,0.0806279626659498,0.0006514055897079857,5,CytoBridge
chicken_heart,2,CytoBridge-0.015,joint,0.07178998461237054,0.0010852526719617177,5,CytoBridge
chicken_heart,1,exact_ot_displacement,joint,0.08930841300728472,0.0006572278187214132,5,Linear OT displacement
chicken_heart,2,exact_ot_displacement,joint,0.05673162017870892,0.0007030967855068492,5,Linear OT displacement
chicken_heart,1,moscot,joint,0.09781187199972584,0.000607865021201063,5,MOSCOT
chicken_heart,2,moscot,joint,0.06578330061930278,0.0006959124618106533,5,MOSCOT
chicken_heart,1,paste,joint,0.09555080167121663,0.0005268580711569174,5,PASTE
chicken_heart,2,paste,joint,0.0632678232870327,0.0006750965083449808,5,PASTE
chicken_heart,1,random_independent_pairs,joint,0.08980399875846752,0.00057749047561285,5,Random interpolation
chicken_heart,2,random_independent_pairs,joint,0.0669284092284839,0.0007052097147708633,5,Random interpolation
chicken_heart,1,spateo,joint,0.10945670372246459,0.0003262299283548737,5,Spateo
chicken_heart,2,spateo,joint,0.08481732256711037,0.0009579615157642406,5,Spateo
chicken_heart,1,stvcr,joint,0.17670111341477496,0.0007832300353356257,5,stVCR
chicken_heart,2,stvcr,joint,0.2528782192970383,0.003772496436712146,5,stVCR
chicken_heart,1,CytoBridge-0.015,spatial,0.06315394216134476,0.0003659397869740131,5,CytoBridge
chicken_heart,2,CytoBridge-0.015,spatial,0.09136746308231292,0.0008406505213181878,5,CytoBridge
chicken_heart,1,exact_ot_displacement,spatial,0.0671114296971396,0.00033017718606034635,5,Linear OT displacement
chicken_heart,2,exact_ot_displacement,spatial,0.05525938103157586,0.0005233006029513045,5,Linear OT displacement
chicken_heart,1,moscot,spatial,0.08584299780563542,0.0003789234899813504,5,MOSCOT
chicken_heart,2,moscot,spatial,0.05523866161024334,0.0005330704832493358,5,MOSCOT
chicken_heart,1,paste,spatial,0.16456279489786263,0.0007671459509713799,5,PASTE
chicken_heart,2,paste,spatial,0.12082568313211875,0.00034837594136306475,5,PASTE
chicken_heart,1,random_independent_pairs,spatial,0.11988088054566082,0.0003591858591801479,5,Random interpolation
chicken_heart,2,random_independent_pairs,spatial,0.12262535638027457,0.00042968963700084115,5,Random interpolation
chicken_heart,1,spateo,spatial,0.1935045950554914,0.0006777659217890442,5,Spateo
chicken_heart,2,spateo,spatial,0.2011694635339981,0.0005684273283857389,5,Spateo
