time,pair,score_min,score_geometric_mean,ligand,receptor,ligand_n_subunits,receptor_n_subunits,is_multisubunit,score_difference,absolute_difference,symmetric_relative_difference
0.0,bmp5_acvr1ba_acvr2aa,0.0,0.0,bmp5,acvr1ba_acvr2aa,1,2,True,0.0,0.0,0.0
0.0,bmp5_acvr1ba_acvr2ab,0.0,0.0,bmp5,acvr1ba_acvr2ab,1,2,True,0.0,0.0,0.0
0.0,bmp5_acvr1ba_acvr2ba,0.0,0.0,bmp5,acvr1ba_acvr2ba,1,2,True,0.0,0.0,0.0
0.0,bmp5_acvr1ba_acvr2bb,0.0,0.0,bmp5,acvr1ba_acvr2bb,1,2,True,0.0,0.0,0.0
0.0,bmp5_acvr1bb_acvr2aa,0.0,0.0,bmp5,acvr1bb_acvr2aa,1,2,True,0.0,0.0,0.0
0.0,bmp5_acvr1bb_acvr2ab,0.0,0.0,bmp5,acvr1bb_acvr2ab,1,2,True,0.0,0.0,0.0
0.0,bmp5_acvr1bb_acvr2ba,0.0,0.0,bmp5,acvr1bb_acvr2ba,1,2,True,0.0,0.0,0.0
0.0,bmp5_acvr1bb_acvr2bb,0.0,0.0,bmp5,acvr1bb_acvr2bb,1,2,True,0.0,0.0,0.0
0.0,bmp5_bmpr1aa_acvr2aa,0.0,0.0,bmp5,bmpr1aa_acvr2aa,1,2,True,0.0,0.0,0.0
0.0,bmp5_bmpr1aa_acvr2ab,0.0,0.0,bmp5,bmpr1aa_acvr2ab,1,2,True,0.0,0.0,0.0
0.0,bmp5_bmpr1aa_acvr2ba,0.0,0.0,bmp5,bmpr1aa_acvr2ba,1,2,True,0.0,0.0,0.0
0.0,bmp5_bmpr1aa_acvr2bb,0.0,0.0,bmp5,bmpr1aa_acvr2bb,1,2,True,0.0,0.0,0.0
0.0,bmp5_bmpr1aa_bmpr2b,0.0,0.0,bmp5,bmpr1aa_bmpr2b,1,2,True,0.0,0.0,0.0
0.0,bmp5_bmpr1ab_acvr2aa,0.0,0.0,bmp5,bmpr1ab_acvr2aa,1,2,True,0.0,0.0,0.0
0.0,bmp5_bmpr1ab_acvr2ab,0.0,0.0,bmp5,bmpr1ab_acvr2ab,1,2,True,0.0,0.0,0.0
0.0,bmp5_bmpr1ab_acvr2ba,0.0,0.0,bmp5,bmpr1ab_acvr2ba,1,2,True,0.0,0.0,0.0
0.0,bmp5_bmpr1ab_acvr2bb,0.0,0.0,bmp5,bmpr1ab_acvr2bb,1,2,True,0.0,0.0,0.0
0.0,bmp5_bmpr1ab_bmpr2b,0.0,0.0,bmp5,bmpr1ab_bmpr2b,1,2,True,0.0,0.0,0.0
0.0,bmp5_bmpr1ba_acvr2aa,0.0,0.0,bmp5,bmpr1ba_acvr2aa,1,2,True,0.0,0.0,0.0
