pair,pair_id,ligand,receptor,auc,peak_time,peak_score,start_score,end_score,delta_end_start,score_range,pair_id_identity,ligand_identity,receptor_identity,cluster
LAMA3_SV2B,"[""LAMA3"",""SV2B""]",LAMA3,SV2B,0.1457792211654641,1.5,0.0556422210793468,0.0079075763432813,0.0182951247982673,0.0103875484549859,0.0477346447360654,"[""LAMA3"",""SV2B""]",LAMA3,SV2B,1
BTC_ERBB4,"[""BTC"",""ERBB4""]",BTC,ERBB4,0.1328850368689936,1.5,0.0713994563874262,0.0276340902367758,0.0382949026009518,0.0106608123641759,0.0620588640951109,"[""BTC"",""ERBB4""]",BTC,ERBB4,1
TNN_SDC4,"[""TNN"",""SDC4""]",TNN,SDC4,0.0784340545696877,1.5,0.0318972247182,0.0154183480065745,0.0093953684434337,-0.0060229795631408,0.0244491464611708,"[""TNN"",""SDC4""]",TNN,SDC4,1
WNT3A_FZD5_LRP6,"[""WNT3A"",""FZD5_LRP6""]",WNT3A,FZD5_LRP6,0.0694788946656196,1.5,0.0251114525817246,0.0037085072856108,0.011924091921663,0.0082155846360522,0.0214029452961137,"[""WNT3A"",""FZD5_LRP6""]",WNT3A,FZD5_LRP6,1
CD40LG_ITGA5_ITGB1,"[""CD40LG"",""ITGA5_ITGB1""]",CD40LG,ITGA5_ITGB1,0.0543657713455382,1.5,0.0193376860487953,0.011856568294518,0.0092388556683639,-0.002617712626154,0.0147118602608595,"[""CD40LG"",""ITGA5_ITGB1""]",CD40LG,ITGA5_ITGB1,1
IHH_PTCH1_SMO,"[""IHH"",""PTCH1_SMO""]",IHH,PTCH1_SMO,0.0408923783415785,1.5,0.0168703039887605,0.0050887940401895,0.0061657636329027,0.0010769695927131,0.0122641678413699,"[""IHH"",""PTCH1_SMO""]",IHH,PTCH1_SMO,1
BTC_ERBB2_ERBB4,"[""BTC"",""ERBB2_ERBB4""]",BTC,ERBB2_ERBB4,0.039703867030133,1.5,0.0159943842270142,0.0085840684489454,0.0130647664687244,0.004480698019779,0.0129665139604531,"[""BTC"",""ERBB2_ERBB4""]",BTC,ERBB2_ERBB4,1
COL9A2_ITGA9_ITGB1,"[""COL9A2"",""ITGA9_ITGB1""]",COL9A2,ITGA9_ITGB1,0.0350923610312834,1.5,0.0138035732071386,0.0023729758456906,0.0116977006711128,0.0093247248254221,0.0114305973614479,"[""COL9A2"",""ITGA9_ITGB1""]",COL9A2,ITGA9_ITGB1,1
ANGPTL1_ITGA1_ITGB1,"[""ANGPTL1"",""ITGA1_ITGB1""]",ANGPTL1,ITGA1_ITGB1,0.0307379865267636,1.5,0.011156665062446,0.0038735143258427,0.0037347458309548,-0.0001387684948878,0.0080062148500858,"[""ANGPTL1"",""ITGA1_ITGB1""]",ANGPTL1,ITGA1_ITGB1,1
IHH_PTCH2_SMO,"[""IHH"",""PTCH2_SMO""]",IHH,PTCH2_SMO,0.0228937766411137,1.5,0.0104872759091238,0.002677187489881,0.0041059027119955,0.0014287152221144,0.0078641881914131,"[""IHH"",""PTCH2_SMO""]",IHH,PTCH2_SMO,1
TNN_ITGA9_ITGB1,"[""TNN"",""ITGA9_ITGB1""]",TNN,ITGA9_ITGB1,0.0041701359751252,1.5,0.0020838745270555,0.0005007309153886,0.0003859727488531,-0.0001147581665354,0.0017746019692208,"[""TNN"",""ITGA9_ITGB1""]",TNN,ITGA9_ITGB1,1
WNT7B_FZD2_LRP5,"[""WNT7B"",""FZD2_LRP5""]",WNT7B,FZD2_LRP5,15.208671050111205,2.0,4.770111603353449,3.322944894480696,4.603337990354186,1.2803930958734902,2.9376386072366634,"[""WNT7B"",""FZD2_LRP5""]",WNT7B,FZD2_LRP5,1
EFNA1_EPHA5,"[""EFNA1"",""EPHA5""]",EFNA1,EPHA5,5.326115044571328,2.0,1.7612256517083156,1.494896226160597,1.6045898741217026,0.1096936479611057,0.9280163384070754,"[""EFNA1"",""EPHA5""]",EFNA1,EPHA5,1
FGF7_FGFR1,"[""FGF7"",""FGFR1""]",FGF7,FGFR1,1.0772474185873633,2.0,0.5356871966880518,0.1507196520516554,0.2394005117321711,0.0886808596805157,0.3914972418171761,"[""FGF7"",""FGFR1""]",FGF7,FGFR1,1
WNT4_FZD2_LRP6,"[""WNT4"",""FZD2_LRP6""]",WNT4,FZD2_LRP6,0.4855157055751063,2.0,0.1801904633724498,0.0456219313087429,0.1392099470038015,0.0935880156950586,0.1345685320637068,"[""WNT4"",""FZD2_LRP6""]",WNT4,FZD2_LRP6,1
WNT4_FZD2_LRP5,"[""WNT4"",""FZD2_LRP5""]",WNT4,FZD2_LRP5,0.4379136609232771,2.0,0.1651210610503684,0.0501496207128769,0.1173783364152087,0.0672287157023317,0.1149714403374914,"[""WNT4"",""FZD2_LRP5""]",WNT4,FZD2_LRP5,1
WNT4_FZD3_LRP5,"[""WNT4"",""FZD3_LRP5""]",WNT4,FZD3_LRP5,0.4218533927867085,2.0,0.1485216776423115,0.0501534578064041,0.1173783364152087,0.0672248786088046,0.0983682198359073,"[""WNT4"",""FZD3_LRP5""]",WNT4,FZD3_LRP5,1
CD34_SELP,"[""CD34"",""SELP""]",CD34,SELP,0.1379277811094744,2.0,0.0693332122191808,0.0244526900473161,0.0211048298407834,-0.0033478602065326,0.0607444946239079,"[""CD34"",""SELP""]",CD34,SELP,1
COL6A6_CD44,"[""COL6A6"",""CD44""]",COL6A6,CD44,0.0145305612675038,2.0,0.0065578854910474,0.000550879195752,0.0050531055650569,0.0045022263693049,0.0060070062952954,"[""COL6A6"",""CD44""]",COL6A6,CD44,1
MAG_MAG,"[""MAG"",""MAG""]",MAG,MAG,0.0009620671606724,2.0,0.0005078976306116,7.019840582424357e-06,0.000331683208798,0.0003246633682155,0.0005008777900291,"[""MAG"",""MAG""]",MAG,MAG,1
SEMA3A_NRP1_PLXNA4,"[""SEMA3A"",""NRP1_PLXNA4""]",SEMA3A,NRP1_PLXNA4,3.824317583694083,2.5,1.5249699718725345,0.6839743363726034,1.0917528744991307,0.4077785381265273,0.9977102173523796,"[""SEMA3A"",""NRP1_PLXNA4""]",SEMA3A,NRP1_PLXNA4,1
SEMA3A_NRP1_PLXNA3,"[""SEMA3A"",""NRP1_PLXNA3""]",SEMA3A,NRP1_PLXNA3,3.4647380897968487,2.5,1.4714057433355068,0.7185277667466401,1.0503387383662983,0.3318109716196582,0.986699611886494,"[""SEMA3A"",""NRP1_PLXNA3""]",SEMA3A,NRP1_PLXNA3,1
